Time,wordle game
2025-12-11,60
2025-12-12,65
2025-12-13,51
2025-12-14,50
2025-12-15,61
2025-12-16,62
2025-12-17,63
2025-12-18,65
2025-12-19,66
2025-12-20,53
2025-12-21,54
2025-12-22,50
2025-12-23,42
2025-12-24,41
2025-12-25,39
2025-12-26,41
2025-12-27,45
2025-12-28,48
2025-12-29,42
2025-12-30,37
2025-12-31,43
2026-01-01,39
2026-01-02,37
2026-01-03,40
2026-01-04,43
2026-01-05,50
2026-01-06,57
2026-01-07,52
2026-01-08,54
2026-01-09,66
2026-01-10,42
2026-01-11,51
2026-01-12,58
2026-01-13,63
2026-01-14,61
2026-01-15,58
2026-01-16,63
2026-01-17,48
2026-01-18,50
2026-01-19,46
2026-01-20,58
2026-01-21,52
2026-01-22,54
2026-01-23,63
2026-01-24,39
2026-01-25,47
2026-01-26,48
2026-01-27,47
2026-01-28,50
2026-01-29,58
2026-01-30,58
2026-01-31,42
2026-02-01,38
2026-02-02,52
2026-02-03,52
2026-02-04,70
2026-02-05,58
2026-02-06,57
2026-02-07,44
2026-02-08,35
2026-02-09,51
2026-02-10,54
2026-02-11,61
2026-02-12,60
2026-02-13,58
2026-02-14,37
2026-02-15,42
2026-02-16,37
2026-02-17,51
2026-02-18,54
2026-02-19,55
2026-02-20,58
2026-02-21,40
2026-02-22,41
2026-02-23,54
2026-02-24,55
2026-02-25,60
2026-02-26,58
2026-02-27,59
2026-02-28,45
2026-03-01,36
2026-03-02,52
2026-03-03,64
2026-03-04,63
2026-03-05,61
2026-03-06,65
2026-03-07,45
2026-03-08,42
2026-03-09,67
2026-03-10,58
2026-03-11,61
2026-03-12,64
2026-03-13,61
2026-03-14,43
2026-03-15,44
2026-03-16,53
2026-03-17,52
2026-03-18,55
2026-03-19,63
2026-03-20,54
2026-03-21,41
2026-03-22,36
2026-03-23,57
2026-03-24,56
2026-03-25,61
2026-03-26,60
2026-03-27,60
2026-03-28,45
2026-03-29,40
2026-03-30,47
2026-03-31,53
2026-04-01,51
2026-04-02,56
2026-04-03,45
2026-04-04,42
2026-04-05,44
2026-04-06,54
2026-04-07,57
2026-04-08,59
2026-04-09,58
2026-04-10,66
2026-04-11,43
2026-04-12,40
2026-04-13,51
2026-04-14,53
2026-04-15,55
2026-04-16,63
2026-04-17,66
2026-04-18,42
2026-04-19,40
2026-04-20,58
2026-04-21,61
2026-04-22,59
2026-04-23,67
2026-04-24,62
2026-04-25,39
2026-04-26,39
2026-04-27,59
2026-04-28,63
2026-04-29,64
2026-04-30,59
2026-05-01,67
2026-05-02,38
2026-05-03,38
2026-05-04,58
2026-05-05,57
2026-05-06,62
2026-05-07,63
2026-05-08,65
2026-05-09,43
2026-05-10,40
2026-05-11,92
2026-05-12,72
2026-05-13,66
2026-05-14,67
2026-05-15,66
2026-05-16,44
2026-05-17,49
2026-05-18,60
2026-05-19,63
2026-05-20,67
2026-05-21,61
2026-05-22,61
2026-05-23,48
2026-05-24,45
2026-05-25,39
2026-05-26,46
2026-05-27,100
2026-05-28,64
2026-05-29,58
2026-05-30,42
2026-05-31,45
