Time,wordle game
2023-04-26,77
2023-04-27,79
2023-04-28,80
2023-04-29,81
2023-04-30,83
2023-05-01,80
2023-05-02,80
2023-05-03,79
2023-05-04,85
2023-05-05,82
2023-05-06,82
2023-05-07,85
2023-05-08,91
2023-05-09,83
2023-05-10,83
2023-05-11,81
2023-05-12,86
2023-05-13,80
2023-05-14,80
2023-05-15,79
2023-05-16,82
2023-05-17,81
2023-05-18,79
2023-05-19,83
2023-05-20,72
2023-05-21,83
2023-05-22,83
2023-05-23,81
2023-05-24,76
2023-05-25,75
2023-05-26,75
2023-05-27,76
2023-05-28,82
2023-05-29,82
2023-05-30,77
2023-05-31,78
2023-06-01,82
2023-06-02,77
2023-06-03,76
2023-06-04,73
2023-06-05,81
2023-06-06,80
2023-06-07,70
2023-06-08,74
2023-06-09,77
2023-06-10,84
2023-06-11,74
2023-06-12,72
2023-06-13,73
2023-06-14,72
2023-06-15,76
2023-06-16,73
2023-06-17,77
2023-06-18,92
2023-06-19,98
2023-06-20,88
2023-06-21,83
2023-06-22,80
2023-06-23,79
2023-06-24,86
2023-06-25,89
2023-06-26,80
2023-06-27,77
2023-06-28,89
2023-06-29,84
2023-06-30,87
2023-07-01,98
2023-07-02,99
2023-07-03,92
2023-07-04,97
2023-07-05,93
2023-07-06,86
2023-07-07,88
2023-07-08,100
2023-07-09,79
2023-07-10,71
2023-07-11,71
2023-07-12,79
2023-07-13,83
2023-07-14,79
2023-07-15,85
2023-07-16,95
2023-07-17,81
2023-07-18,87
2023-07-19,87
2023-07-20,85
2023-07-21,79
2023-07-22,84
2023-07-23,90
2023-07-24,78
2023-07-25,79
2023-07-26,74
2023-07-27,73
2023-07-28,75
2023-07-29,80
2023-07-30,84
2023-07-31,74
2023-08-01,69
2023-08-02,72
2023-08-03,72
2023-08-04,72
2023-08-05,81
2023-08-06,96
2023-08-07,74
2023-08-08,74
2023-08-09,71
2023-08-10,75
2023-08-11,79
2023-08-12,77
2023-08-13,84
2023-08-14,74
2023-08-15,78
2023-08-16,80
2023-08-17,80
2023-08-18,83
2023-08-19,79
2023-08-20,83
2023-08-21,81
2023-08-22,79
2023-08-23,79
2023-08-24,83
2023-08-25,80
2023-08-26,86
2023-08-27,88
2023-08-28,79
2023-08-29,84
2023-08-30,83
2023-08-31,83
2023-09-01,85
2023-09-02,85
2023-09-03,88
2023-09-04,86
2023-09-05,81
2023-09-06,88
2023-09-07,89
2023-09-08,89
2023-09-09,82
2023-09-10,80
2023-09-11,83
2023-09-12,90
2023-09-13,90
2023-09-14,83
2023-09-15,94
2023-09-16,86
2023-09-17,92
2023-09-18,82
2023-09-19,90
2023-09-20,86
2023-09-21,87
2023-09-22,90
2023-09-23,89
2023-09-24,87
2023-09-25,84
2023-09-26,88
2023-09-27,83
2023-09-28,86
2023-09-29,90
2023-09-30,84
2023-10-01,85
2023-10-02,84
2023-10-03,80
2023-10-04,81
2023-10-05,85
2023-10-06,88
2023-10-07,85
2023-10-08,87
2023-10-09,76
2023-10-10,80
2023-10-11,83
2023-10-12,84
2023-10-13,83
2023-10-14,78
2023-10-15,85
2023-10-16,81
2023-10-17,83
2023-10-18,83
2023-10-19,82
2023-10-20,87
2023-10-21,79
2023-10-22,87
2023-10-23,83
2023-10-24,84
2023-10-25,82
2023-10-26,83
2023-10-27,85
2023-10-28,83
2023-10-29,80
2023-10-30,79
2023-10-31,83
2023-11-01,78
2023-11-02,81
2023-11-03,83
2023-11-04,88
2023-11-05,86
2023-11-06,80
2023-11-07,75
2023-11-08,85
2023-11-09,82
2023-11-10,79
2023-11-11,87
2023-11-12,80
2023-11-13,78
2023-11-14,84
2023-11-15,76
2023-11-16,78
2023-11-17,81
2023-11-18,82
2023-11-19,88
2023-11-20,81
2023-11-21,82
2023-11-22,77
2023-11-23,86
2023-11-24,87
2023-11-25,85
2023-11-26,87
2023-11-27,79
2023-11-28,80
2023-11-29,89
2023-11-30,82
2023-12-01,87
2023-12-02,77
2023-12-03,84
2023-12-04,81
2023-12-05,86
2023-12-06,95
2023-12-07,78
2023-12-08,80
2023-12-09,93
2023-12-10,93
2023-12-11,90
2023-12-12,98
2023-12-13,97
2023-12-14,74
2023-12-15,85
2023-12-16,73
2023-12-17,77
2023-12-18,68
2023-12-19,72
2023-12-20,76
2023-12-21,74
2023-12-22,75
2023-12-23,77
2023-12-24,85
2023-12-25,84
2023-12-26,73
2023-12-27,67
2023-12-28,64
2023-12-29,68
2023-12-30,72
2023-12-31,72
2024-01-01,74
2024-01-02,69
2024-01-03,71
2024-01-04,67
2024-01-05,71
2024-01-06,69
2024-01-07,72
2024-01-08,70
2024-01-09,76
2024-01-10,69
2024-01-11,69
2024-01-12,74
2024-01-13,68
2024-01-14,72
2024-01-15,67
2024-01-16,70
2024-01-17,67
2024-01-18,69
2024-01-19,69
2024-01-20,72
