Time,autozone
2023-12-22,70
2023-12-23,80
2023-12-24,75
2023-12-25,54
2023-12-26,69
2023-12-27,67
2023-12-28,77
2023-12-29,81
2023-12-30,79
2023-12-31,71
2024-01-01,68
2024-01-02,61
2024-01-03,62
2024-01-04,62
2024-01-05,67
2024-01-06,77
2024-01-07,67
2024-01-08,55
2024-01-09,52
2024-01-10,57
2024-01-11,58
2024-01-12,64
2024-01-13,76
2024-01-14,75
2024-01-15,72
2024-01-16,63
2024-01-17,68
2024-01-18,66
2024-01-19,62
2024-01-20,80
2024-01-21,67
2024-01-22,57
2024-01-23,56
2024-01-24,53
2024-01-25,58
2024-01-26,62
2024-01-27,83
2024-01-28,64
2024-01-29,54
2024-01-30,55
2024-01-31,56
2024-02-01,59
2024-02-02,66
2024-02-03,94
2024-02-04,77
2024-02-05,53
2024-02-06,55
2024-02-07,53
2024-02-08,55
2024-02-09,63
2024-02-10,88
2024-02-11,58
2024-02-12,48
2024-02-13,54
2024-02-14,52
2024-02-15,55
2024-02-16,62
2024-02-17,71
2024-02-18,74
2024-02-19,63
2024-02-20,55
2024-02-21,58
2024-02-22,62
2024-02-23,69
2024-02-24,87
2024-02-25,93
2024-02-26,65
2024-02-27,61
2024-02-28,57
2024-02-29,58
2024-03-01,64
2024-03-02,90
2024-03-03,87
2024-03-04,67
2024-03-05,59
2024-03-06,60
2024-03-07,62
2024-03-08,68
2024-03-09,82
2024-03-10,78
2024-03-11,64
2024-03-12,62
2024-03-13,65
2024-03-14,59
2024-03-15,67
2024-03-16,91
2024-03-17,82
2024-03-18,57
2024-03-19,55
2024-03-20,65
2024-03-21,62
2024-03-22,61
2024-03-23,76
2024-03-24,81
2024-03-25,59
2024-03-26,56
2024-03-27,61
2024-03-28,62
2024-03-29,75
2024-03-30,90
2024-03-31,73
2024-04-01,61
2024-04-02,55
2024-04-03,55
2024-04-04,59
2024-04-05,64
2024-04-06,83
2024-04-07,78
2024-04-08,55
2024-04-09,60
2024-04-10,58
2024-04-11,59
2024-04-12,68
2024-04-13,88
2024-04-14,84
2024-04-15,62
2024-04-16,63
2024-04-17,55
2024-04-18,58
2024-04-19,67
2024-04-20,85
2024-04-21,75
2024-04-22,64
2024-04-23,58
2024-04-24,58
2024-04-25,60
2024-04-26,63
2024-04-27,89
2024-04-28,79
2024-04-29,66
2024-04-30,60
2024-05-01,60
2024-05-02,65
2024-05-03,69
2024-05-04,80
2024-05-05,69
2024-05-06,59
2024-05-07,57
2024-05-08,62
2024-05-09,61
2024-05-10,69
2024-05-11,87
2024-05-12,73
2024-05-13,61
2024-05-14,56
2024-05-15,59
2024-05-16,63
2024-05-17,70
2024-05-18,89
2024-05-19,86
2024-05-20,74
2024-05-21,70
2024-05-22,66
2024-05-23,70
2024-05-24,78
2024-05-25,94
2024-05-26,80
2024-05-27,91
2024-05-28,63
2024-05-29,65
2024-05-30,67
2024-05-31,76
2024-06-01,88
2024-06-02,83
2024-06-03,72
2024-06-04,68
2024-06-05,67
2024-06-06,72
2024-06-07,78
2024-06-08,97
2024-06-09,85
2024-06-10,75
2024-06-11,71
2024-06-12,75
2024-06-13,73
2024-06-14,76
2024-06-15,96
2024-06-16,77
2024-06-17,71
2024-06-18,67
2024-06-19,80
2024-06-20,71
2024-06-21,84
2024-06-22,97
2024-06-23,85
2024-06-24,76
2024-06-25,70
2024-06-26,67
2024-06-27,74
2024-06-28,81
2024-06-29,92
2024-06-30,88
2024-07-01,77
2024-07-02,75
2024-07-03,81
2024-07-04,100
2024-07-05,78
2024-07-06,88
2024-07-07,80
2024-07-08,74
2024-07-09,71
2024-07-10,72
2024-07-11,72
2024-07-12,79
2024-07-13,93
2024-07-14,79
2024-07-15,70
2024-07-16,70
2024-07-17,79
2024-07-18,74
2024-07-19,81
2024-07-20,93
2024-07-21,81
2024-07-22,69
2024-07-23,65
2024-07-24,64
2024-07-25,71
2024-07-26,77
2024-07-27,88
2024-07-28,80
2024-07-29,67
2024-07-30,63
2024-07-31,66
2024-08-01,64
2024-08-02,76
2024-08-03,88
2024-08-04,85
2024-08-05,68
2024-08-06,67
2024-08-07,69
2024-08-08,65
2024-08-09,75
2024-08-10,88
2024-08-11,89
2024-08-12,72
2024-08-13,69
2024-08-14,72
2024-08-15,71
2024-08-16,75
2024-08-17,92
2024-08-18,79
2024-08-19,64
2024-08-20,67
2024-08-21,67
2024-08-22,68
2024-08-23,73
2024-08-24,97
2024-08-25,89
2024-08-26,69
2024-08-27,59
2024-08-28,63
2024-08-29,66
2024-08-30,80
2024-08-31,89
2024-09-01,83
2024-09-02,90
2024-09-03,62
2024-09-04,65
2024-09-05,60
2024-09-06,65
2024-09-07,80
2024-09-08,71
2024-09-09,62
2024-09-10,64
2024-09-11,54
2024-09-12,64
2024-09-13,69
2024-09-14,83
2024-09-15,67
2024-09-16,58
