Time,clima
2023-12-22,42
2023-12-23,34
2023-12-24,28
2023-12-25,27
2023-12-26,40
2023-12-27,41
2023-12-28,38
2023-12-29,37
2023-12-30,37
2023-12-31,24
2024-01-01,24
2024-01-02,36
2024-01-03,46
2024-01-04,40
2024-01-05,43
2024-01-06,54
2024-01-07,45
2024-01-08,55
2024-01-09,70
2024-01-10,52
2024-01-11,50
2024-01-12,65
2024-01-13,58
2024-01-14,67
2024-01-15,100
2024-01-16,99
2024-01-17,72
2024-01-18,59
2024-01-19,62
2024-01-20,63
2024-01-21,63
2024-01-22,74
2024-01-23,60
2024-01-24,60
2024-01-25,49
2024-01-26,28
2024-01-27,21
2024-01-28,20
2024-01-29,19
2024-01-30,17
2024-01-31,21
2024-02-01,21
2024-02-02,22
2024-02-03,22
2024-02-04,24
2024-02-05,25
2024-02-06,22
2024-02-07,19
2024-02-08,19
2024-02-09,18
2024-02-10,20
2024-02-11,18
2024-02-12,20
2024-02-13,19
2024-02-14,17
2024-02-15,18
2024-02-16,21
2024-02-17,29
2024-02-18,23
2024-02-19,22
2024-02-20,18
2024-02-21,18
2024-02-22,16
2024-02-23,17
2024-02-24,14
2024-02-25,13
2024-02-26,18
2024-02-27,19
2024-02-28,22
2024-02-29,22
2024-03-01,24
2024-03-02,24
2024-03-03,21
2024-03-04,20
2024-03-05,21
2024-03-06,25
2024-03-07,22
2024-03-08,21
2024-03-09,19
2024-03-10,18
2024-03-11,15
2024-03-12,15
2024-03-13,16
2024-03-14,22
2024-03-15,22
2024-03-16,19
2024-03-17,17
2024-03-18,17
2024-03-19,16
2024-03-20,20
2024-03-21,22
2024-03-22,23
2024-03-23,25
2024-03-24,22
2024-03-25,20
2024-03-26,19
2024-03-27,19
2024-03-28,18
2024-03-29,17
2024-03-30,20
2024-03-31,20
2024-04-01,21
2024-04-02,21
2024-04-03,23
2024-04-04,22
2024-04-05,21
2024-04-06,16
2024-04-07,15
2024-04-08,17
2024-04-09,19
2024-04-10,21
2024-04-11,22
2024-04-12,19
2024-04-13,18
2024-04-14,19
2024-04-15,15
2024-04-16,16
2024-04-17,18
2024-04-18,18
2024-04-19,17
2024-04-20,20
2024-04-21,18
2024-04-22,18
2024-04-23,16
2024-04-24,15
2024-04-25,16
2024-04-26,19
2024-04-27,21
2024-04-28,18
2024-04-29,17
2024-04-30,17
2024-05-01,15
2024-05-02,18
2024-05-03,18
2024-05-04,22
2024-05-05,22
2024-05-06,19
2024-05-07,17
2024-05-08,19
2024-05-09,22
2024-05-10,19
2024-05-11,16
2024-05-12,19
2024-05-13,22
2024-05-14,22
2024-05-15,20
2024-05-16,21
2024-05-17,22
2024-05-18,20
2024-05-19,15
2024-05-20,14
2024-05-21,15
2024-05-22,17
2024-05-23,20
2024-05-24,18
2024-05-25,17
2024-05-26,18
2024-05-27,21
2024-05-28,20
2024-05-29,20
2024-05-30,19
2024-05-31,18
2024-06-01,17
2024-06-02,17
2024-06-03,18
2024-06-04,16
2024-06-05,21
2024-06-06,20
2024-06-07,16
2024-06-08,17
2024-06-09,18
2024-06-10,18
2024-06-11,19
2024-06-12,18
2024-06-13,18
2024-06-14,19
2024-06-15,16
2024-06-16,15
2024-06-17,21
2024-06-18,33
2024-06-19,45
2024-06-20,39
2024-06-21,33
2024-06-22,37
2024-06-23,33
2024-06-24,30
2024-06-25,31
2024-06-26,40
2024-06-27,51
2024-06-28,48
2024-06-29,50
2024-06-30,59
2024-07-01,46
2024-07-02,42
2024-07-03,45
2024-07-04,54
2024-07-05,64
2024-07-06,56
2024-07-07,55
2024-07-08,65
2024-07-09,52
2024-07-10,53
2024-07-11,52
2024-07-12,57
2024-07-13,54
2024-07-14,41
2024-07-15,45
2024-07-16,46
2024-07-17,63
2024-07-18,55
2024-07-19,45
2024-07-20,45
2024-07-21,50
2024-07-22,65
2024-07-23,66
2024-07-24,63
2024-07-25,59
2024-07-26,46
2024-07-27,42
2024-07-28,43
2024-07-29,57
2024-07-30,47
2024-07-31,43
2024-08-01,42
2024-08-02,51
2024-08-03,56
2024-08-04,51
2024-08-05,47
2024-08-06,58
2024-08-07,54
2024-08-08,51
2024-08-09,54
2024-08-10,35
2024-08-11,31
2024-08-12,36
2024-08-13,36
2024-08-14,31
2024-08-15,37
2024-08-16,37
2024-08-17,45
2024-08-18,47
2024-08-19,41
2024-08-20,34
2024-08-21,32
2024-08-22,35
2024-08-23,35
2024-08-24,30
2024-08-25,28
2024-08-26,41
2024-08-27,39
2024-08-28,43
2024-08-29,49
2024-08-30,53
2024-08-31,43
2024-09-01,45
2024-09-02,41
2024-09-03,42
2024-09-04,42
2024-09-05,46
2024-09-06,44
2024-09-07,48
2024-09-08,33
2024-09-09,39
2024-09-10,41
2024-09-11,42
2024-09-12,42
2024-09-13,41
2024-09-14,35
2024-09-15,34
2024-09-16,40
