Time,eric dane
2022-08-29,32
2022-08-30,15
2022-08-31,24
2022-09-01,19
2022-09-02,27
2022-09-03,27
2022-09-04,35
2022-09-05,47
2022-09-06,32
2022-09-07,20
2022-09-08,12
2022-09-09,22
2022-09-10,36
2022-09-11,33
2022-09-12,18
2022-09-13,30
2022-09-14,41
2022-09-15,29
2022-09-16,29
2022-09-17,29
2022-09-18,25
2022-09-19,21
2022-09-20,20
2022-09-21,29
2022-09-22,18
2022-09-23,13
2022-09-24,21
2022-09-25,0
2022-09-26,11
2022-09-27,20
2022-09-28,16
2022-09-29,20
2022-09-30,19
2022-10-01,27
2022-10-02,22
2022-10-03,39
2022-10-04,25
2022-10-05,20
2022-10-06,15
2022-10-07,25
2022-10-08,24
2022-10-09,17
2022-10-10,17
2022-10-11,16
2022-10-12,19
2022-10-13,16
2022-10-14,12
2022-10-15,22
2022-10-16,16
2022-10-17,16
2022-10-18,12
2022-10-19,12
2022-10-20,18
2022-10-21,28
2022-10-22,21
2022-10-23,19
2022-10-24,18
2022-10-25,16
2022-10-26,13
2022-10-27,17
2022-10-28,18
2022-10-29,17
2022-10-30,20
2022-10-31,0
2022-11-01,21
2022-11-02,11
2022-11-03,18
2022-11-04,24
2022-11-05,17
2022-11-06,16
2022-11-07,19
2022-11-08,12
2022-11-09,30
2022-11-10,22
2022-11-11,17
2022-11-12,25
2022-11-13,25
2022-11-14,16
2022-11-15,22
2022-11-16,16
2022-11-17,24
2022-11-18,19
2022-11-19,17
2022-11-20,20
2022-11-21,28
2022-11-22,15
2022-11-23,21
2022-11-24,24
2022-11-25,20
2022-11-26,16
2022-11-27,41
2022-11-28,24
2022-11-29,58
2022-11-30,23
2022-12-01,18
2022-12-02,13
2022-12-03,100
2022-12-04,82
2022-12-05,35
2022-12-06,30
2022-12-07,27
2022-12-08,22
2022-12-09,25
2022-12-10,30
2022-12-11,37
2022-12-12,32
2022-12-13,29
2022-12-14,39
2022-12-15,30
2022-12-16,29
2022-12-17,31
2022-12-18,19
2022-12-19,0
2022-12-20,33
2022-12-21,25
2022-12-22,23
2022-12-23,34
2022-12-24,30
2022-12-25,26
2022-12-26,31
2022-12-27,34
2022-12-28,28
2022-12-29,17
2022-12-30,30
2022-12-31,44
2023-01-01,33
2023-01-02,43
2023-01-03,17
2023-01-04,57
2023-01-05,88
2023-01-06,37
2023-01-07,32
2023-01-08,32
2023-01-09,27
2023-01-10,24
2023-01-11,17
2023-01-12,30
2023-01-13,28
2023-01-14,27
2023-01-15,28
2023-01-16,37
2023-01-17,20
2023-01-18,19
2023-01-19,22
2023-01-20,29
2023-01-21,14
2023-01-22,33
2023-01-23,23
2023-01-24,20
2023-01-25,28
2023-01-26,15
2023-01-27,26
2023-01-28,32
2023-01-29,30
2023-01-30,20
2023-01-31,21
2023-02-01,29
2023-02-02,29
2023-02-03,20
2023-02-04,41
2023-02-05,40
2023-02-06,19
2023-02-07,23
2023-02-08,33
2023-02-09,0
2023-02-10,23
2023-02-11,20
2023-02-12,26
2023-02-13,21
2023-02-14,14
2023-02-15,30
2023-02-16,20
2023-02-17,18
2023-02-18,28
2023-02-19,31
2023-02-20,30
2023-02-21,16
2023-02-22,22
2023-02-23,19
2023-02-24,25
2023-02-25,24
2023-02-26,38
2023-02-27,27
2023-02-28,19
2023-03-01,22
2023-03-02,18
2023-03-03,25
2023-03-04,20
2023-03-05,34
2023-03-06,18
2023-03-07,31
2023-03-08,28
2023-03-09,22
2023-03-10,17
2023-03-11,32
2023-03-12,43
2023-03-13,25
2023-03-14,16
2023-03-15,23
2023-03-16,27
2023-03-17,22
2023-03-18,27
2023-03-19,33
2023-03-20,33
2023-03-21,18
2023-03-22,19
2023-03-23,26
2023-03-24,27
2023-03-25,17
2023-03-26,25
2023-03-27,17
2023-03-28,22
2023-03-29,22
2023-03-30,24
2023-03-31,19
2023-04-01,15
2023-04-02,22
2023-04-03,30
2023-04-04,21
2023-04-05,13
2023-04-06,23
2023-04-07,23
2023-04-08,23
2023-04-09,25
2023-04-10,34
2023-04-11,27
2023-04-12,31
2023-04-13,23
2023-04-14,20
2023-04-15,32
2023-04-16,35
2023-04-17,36
2023-04-18,23
2023-04-19,23
2023-04-20,25
2023-04-21,20
2023-04-22,24
2023-04-23,26
2023-04-24,23
2023-04-25,23
2023-04-26,21
2023-04-27,15
2023-04-28,17
2023-04-29,18
2023-04-30,20
2023-05-01,24
2023-05-02,28
2023-05-03,26
2023-05-04,29
2023-05-05,36
2023-05-06,35
2023-05-07,27
2023-05-08,24
2023-05-09,20
2023-05-10,23
2023-05-11,20
2023-05-12,24
2023-05-13,26
2023-05-14,19
2023-05-15,30
2023-05-16,31
2023-05-17,24
2023-05-18,32
2023-05-19,30
2023-05-20,16
2023-05-21,35
2023-05-22,21
2023-05-23,16
2023-05-24,16
2023-05-25,19
