Time,ncaa 25
2022-08-29,4
2022-08-30,3
2022-08-31,4
2022-09-01,6
2022-09-02,11
2022-09-03,24
2022-09-04,46
2022-09-05,36
2022-09-06,40
2022-09-07,16
2022-09-08,8
2022-09-09,5
2022-09-10,36
2022-09-11,66
2022-09-12,34
2022-09-13,18
2022-09-14,7
2022-09-15,8
2022-09-16,11
2022-09-17,54
2022-09-18,71
2022-09-19,27
2022-09-20,14
2022-09-21,9
2022-09-22,7
2022-09-23,8
2022-09-24,41
2022-09-25,82
2022-09-26,34
2022-09-27,16
2022-09-28,9
2022-09-29,6
2022-09-30,7
2022-10-01,39
2022-10-02,64
2022-10-03,28
2022-10-04,12
2022-10-05,6
2022-10-06,5
2022-10-07,7
2022-10-08,37
2022-10-09,71
2022-10-10,29
2022-10-11,12
2022-10-12,8
2022-10-13,5
2022-10-14,8
2022-10-15,54
2022-10-16,100
2022-10-17,37
2022-10-18,17
2022-10-19,10
2022-10-20,7
2022-10-21,7
2022-10-22,49
2022-10-23,66
2022-10-24,21
2022-10-25,8
2022-10-26,7
2022-10-27,5
2022-10-28,7
2022-10-29,42
2022-10-30,62
2022-10-31,23
2022-11-01,12
2022-11-02,16
2022-11-03,8
2022-11-04,8
2022-11-05,50
2022-11-06,99
2022-11-07,33
2022-11-08,16
2022-11-09,10
2022-11-10,6
2022-11-11,7
2022-11-12,39
2022-11-13,55
2022-11-14,23
2022-11-15,11
2022-11-16,12
2022-11-17,8
2022-11-18,8
2022-11-19,41
2022-11-20,70
2022-11-21,32
2022-11-22,15
2022-11-23,15
2022-11-24,10
2022-11-25,17
2022-11-26,51
2022-11-27,93
2022-11-28,40
2022-11-29,18
2022-11-30,16
2022-12-01,10
2022-12-02,9
2022-12-03,62
2022-12-04,45
2022-12-05,20
2022-12-06,8
2022-12-07,7
2022-12-08,7
2022-12-09,6
2022-12-10,10
2022-12-11,10
2022-12-12,16
2022-12-13,7
2022-12-14,3
2022-12-15,4
2022-12-16,3
2022-12-17,8
2022-12-18,9
2022-12-19,11
2022-12-20,7
2022-12-21,5
2022-12-22,6
2022-12-23,5
2022-12-24,3
2022-12-25,3
2022-12-26,7
2022-12-27,4
2022-12-28,4
2022-12-29,7
2022-12-30,7
2022-12-31,13
2023-01-01,9
2023-01-02,10
2023-01-03,10
2023-01-04,8
2023-01-05,5
2023-01-06,6
2023-01-07,9
2023-01-08,9
2023-01-09,10
2023-01-10,14
2023-01-11,9
2023-01-12,5
2023-01-13,4
2023-01-14,9
2023-01-15,8
2023-01-16,12
2023-01-17,7
2023-01-18,8
2023-01-19,5
2023-01-20,5
2023-01-21,8
2023-01-22,11
2023-01-23,17
2023-01-24,10
2023-01-25,7
2023-01-26,6
2023-01-27,6
2023-01-28,10
2023-01-29,10
2023-01-30,14
2023-01-31,10
2023-02-01,7
2023-02-02,5
2023-02-03,5
2023-02-04,11
2023-02-05,14
2023-02-06,21
2023-02-07,10
2023-02-08,6
2023-02-09,4
2023-02-10,4
2023-02-11,10
2023-02-12,12
2023-02-13,16
2023-02-14,9
2023-02-15,8
2023-02-16,7
2023-02-17,7
2023-02-18,11
2023-02-19,13
2023-02-20,17
2023-02-21,12
2023-02-22,8
2023-02-23,8
2023-02-24,5
2023-02-25,12
2023-02-26,15
2023-02-27,22
2023-02-28,12
2023-03-01,8
2023-03-02,7
2023-03-03,6
2023-03-04,11
2023-03-05,17
2023-03-06,13
2023-03-07,8
2023-03-08,9
2023-03-09,9
2023-03-10,12
2023-03-11,16
2023-03-12,24
2023-03-13,13
2023-03-14,9
2023-03-15,9
2023-03-16,11
2023-03-17,6
2023-03-18,10
2023-03-19,8
2023-03-20,7
2023-03-21,3
2023-03-22,3
2023-03-23,2
2023-03-24,6
2023-03-25,13
2023-03-26,9
2023-03-27,4
2023-03-28,2
2023-03-29,2
2023-03-30,1
2023-03-31,1
2023-04-01,3
2023-04-02,5
2023-04-03,3
2023-04-04,7
2023-04-05,1
2023-04-06,2
2023-04-07,0
2023-04-08,2
2023-04-09,0
2023-04-10,2
2023-04-11,2
2023-04-12,2
2023-04-13,0
2023-04-14,0
2023-04-15,2
2023-04-16,2
2023-04-17,2
2023-04-18,2
2023-04-19,0
2023-04-20,1
2023-04-21,0
2023-04-22,2
2023-04-23,1
2023-04-24,3
2023-04-25,2
2023-04-26,1
2023-04-27,2
2023-04-28,0
2023-04-29,2
2023-04-30,0
2023-05-01,1
2023-05-02,1
2023-05-03,2
2023-05-04,1
2023-05-05,0
2023-05-06,1
2023-05-07,2
2023-05-08,2
2023-05-09,1
2023-05-10,2
2023-05-11,2
2023-05-12,0
2023-05-13,2
2023-05-14,3
2023-05-15,3
2023-05-16,1
2023-05-17,0
2023-05-18,1
2023-05-19,2
2023-05-20,2
2023-05-21,2
2023-05-22,2
2023-05-23,1
2023-05-24,1
2023-05-25,2
