Time,golden state warriors
2023-12-22,19
2023-12-23,48
2023-12-24,34
2023-12-25,50
2023-12-26,16
2023-12-27,14
2023-12-28,15
2023-12-29,32
2023-12-30,16
2023-12-31,26
2024-01-01,11
2024-01-02,15
2024-01-03,30
2024-01-04,16
2024-01-05,42
2024-01-06,33
2024-01-07,15
2024-01-08,24
2024-01-09,12
2024-01-10,15
2024-01-11,33
2024-01-12,18
2024-01-13,31
2024-01-14,26
2024-01-15,15
2024-01-16,23
2024-01-17,29
2024-01-18,33
2024-01-19,18
2024-01-20,18
2024-01-21,14
2024-01-22,13
2024-01-23,14
2024-01-24,15
2024-01-25,35
2024-01-26,35
2024-01-27,17
2024-01-28,51
2024-01-29,12
2024-01-30,14
2024-01-31,32
2024-02-01,14
2024-02-02,13
2024-02-03,33
2024-02-04,42
2024-02-05,14
2024-02-06,26
2024-02-07,17
2024-02-08,41
2024-02-09,37
2024-02-10,20
2024-02-11,54
2024-02-12,16
2024-02-13,37
2024-02-14,20
2024-02-15,49
2024-02-16,50
2024-02-17,14
2024-02-18,12
2024-02-19,10
2024-02-20,9
2024-02-21,11
2024-02-22,14
2024-02-23,40
2024-02-24,44
2024-02-25,25
2024-02-26,37
2024-02-27,17
2024-02-28,31
2024-02-29,20
2024-03-01,41
2024-03-02,40
2024-03-03,59
2024-03-04,30
2024-03-05,15
2024-03-06,17
2024-03-07,44
2024-03-08,38
2024-03-09,20
2024-03-10,40
2024-03-11,17
2024-03-12,32
2024-03-13,17
2024-03-14,31
2024-03-15,12
2024-03-16,17
2024-03-17,62
2024-03-18,18
2024-03-19,39
2024-03-20,14
2024-03-21,32
2024-03-22,15
2024-03-23,36
2024-03-24,22
2024-03-25,28
2024-03-26,20
2024-03-27,40
2024-03-28,43
2024-03-29,22
2024-03-30,33
2024-03-31,23
2024-04-01,31
2024-04-02,19
2024-04-03,39
2024-04-04,21
2024-04-05,41
2024-04-06,40
2024-04-07,22
2024-04-08,35
2024-04-09,18
2024-04-10,51
2024-04-11,22
2024-04-12,47
2024-04-13,55
2024-04-14,42
2024-04-15,22
2024-04-16,23
2024-04-17,100
2024-04-18,20
2024-04-19,11
2024-04-20,12
2024-04-21,11
2024-04-22,8
2024-04-23,9
2024-04-24,8
2024-04-25,7
2024-04-26,7
2024-04-27,7
2024-04-28,9
2024-04-29,8
2024-04-30,10
2024-05-01,6
2024-05-02,6
2024-05-03,6
2024-05-04,6
2024-05-05,7
2024-05-06,5
2024-05-07,6
2024-05-08,7
2024-05-09,5
2024-05-10,5
2024-05-11,6
2024-05-12,6
2024-05-13,6
2024-05-14,6
2024-05-15,6
2024-05-16,5
2024-05-17,5
2024-05-18,5
2024-05-19,7
2024-05-20,6
2024-05-21,5
2024-05-22,5
2024-05-23,5
2024-05-24,4
2024-05-25,5
2024-05-26,6
2024-05-27,6
2024-05-28,6
2024-05-29,6
2024-05-30,5
2024-05-31,5
2024-06-01,5
2024-06-02,5
2024-06-03,5
2024-06-04,5
2024-06-05,5
2024-06-06,5
2024-06-07,5
2024-06-08,5
2024-06-09,5
2024-06-10,6
2024-06-11,4
2024-06-12,5
2024-06-13,5
2024-06-14,5
2024-06-15,6
2024-06-16,4
2024-06-17,5
2024-06-18,8
2024-06-19,6
2024-06-20,6
2024-06-21,6
2024-06-22,6
2024-06-23,6
2024-06-24,6
2024-06-25,7
2024-06-26,10
2024-06-27,22
2024-06-28,15
2024-06-29,14
2024-06-30,19
2024-07-01,27
2024-07-02,22
2024-07-03,21
2024-07-04,18
2024-07-05,16
2024-07-06,17
2024-07-07,15
2024-07-08,11
2024-07-09,10
2024-07-10,10
2024-07-11,10
2024-07-12,8
2024-07-13,7
2024-07-14,7
2024-07-15,8
2024-07-16,9
2024-07-17,9
2024-07-18,7
2024-07-19,8
2024-07-20,9
2024-07-21,7
2024-07-22,7
2024-07-23,6
2024-07-24,6
2024-07-25,5
2024-07-26,5
2024-07-27,6
2024-07-28,6
2024-07-29,5
2024-07-30,6
2024-07-31,5
2024-08-01,5
2024-08-02,5
2024-08-03,5
2024-08-04,5
2024-08-05,5
2024-08-06,4
2024-08-07,5
2024-08-08,6
2024-08-09,5
2024-08-10,9
2024-08-11,8
2024-08-12,5
2024-08-13,6
2024-08-14,5
2024-08-15,6
2024-08-16,7
2024-08-17,6
2024-08-18,8
2024-08-19,6
2024-08-20,8
2024-08-21,6
2024-08-22,6
2024-08-23,5
2024-08-24,6
2024-08-25,6
2024-08-26,5
2024-08-27,5
2024-08-28,5
2024-08-29,6
2024-08-30,5
2024-08-31,5
2024-09-01,5
2024-09-02,4
2024-09-03,5
2024-09-04,4
2024-09-05,5
2024-09-06,4
2024-09-07,5
2024-09-08,4
2024-09-09,4
2024-09-10,4
2024-09-11,4
2024-09-12,4
2024-09-13,4
2024-09-14,5
2024-09-15,5
2024-09-16,5
