Time,trump wins
2023-12-22,4
2023-12-23,6
2023-12-24,3
2023-12-25,0
2023-12-26,3
2023-12-27,3
2023-12-28,4
2023-12-29,3
2023-12-30,3
2023-12-31,5
2024-01-01,0
2024-01-02,0
2024-01-03,5
2024-01-04,3
2024-01-05,0
2024-01-06,4
2024-01-07,3
2024-01-08,3
2024-01-09,3
2024-01-10,4
2024-01-11,6
2024-01-12,4
2024-01-13,4
2024-01-14,5
2024-01-15,5
2024-01-16,85
2024-01-17,20
2024-01-18,10
2024-01-19,9
2024-01-20,4
2024-01-21,11
2024-01-22,14
2024-01-23,15
2024-01-24,68
2024-01-25,16
2024-01-26,6
2024-01-27,7
2024-01-28,6
2024-01-29,4
2024-01-30,5
2024-01-31,4
2024-02-01,4
2024-02-02,3
2024-02-03,5
2024-02-04,6
2024-02-05,5
2024-02-06,6
2024-02-07,6
2024-02-08,8
2024-02-09,12
2024-02-10,8
2024-02-11,7
2024-02-12,10
2024-02-13,5
2024-02-14,6
2024-02-15,3
2024-02-16,4
2024-02-17,6
2024-02-18,4
2024-02-19,4
2024-02-20,5
2024-02-21,4
2024-02-22,3
2024-02-23,4
2024-02-24,7
2024-02-25,60
2024-02-26,14
2024-02-27,7
2024-02-28,18
2024-02-29,9
2024-03-01,6
2024-03-02,10
2024-03-03,15
2024-03-04,19
2024-03-05,16
2024-03-06,100
2024-03-07,32
2024-03-08,16
2024-03-09,11
2024-03-10,8
2024-03-11,18
2024-03-12,9
2024-03-13,17
2024-03-14,9
2024-03-15,7
2024-03-16,5
2024-03-17,8
2024-03-18,7
2024-03-19,8
2024-03-20,18
2024-03-21,7
2024-03-22,6
2024-03-23,4
2024-03-24,6
2024-03-25,11
2024-03-26,8
2024-03-27,6
2024-03-28,5
2024-03-29,5
2024-03-30,3
2024-03-31,5
2024-04-01,4
2024-04-02,5
2024-04-03,27
2024-04-04,11
2024-04-05,6
2024-04-06,4
2024-04-07,2
2024-04-08,5
2024-04-09,2
2024-04-10,3
2024-04-11,4
2024-04-12,2
2024-04-13,0
2024-04-14,5
2024-04-15,4
2024-04-16,2
2024-04-17,3
2024-04-18,3
2024-04-19,2
2024-04-20,0
2024-04-21,3
2024-04-22,3
2024-04-23,0
2024-04-24,6
2024-04-25,5
2024-04-26,4
2024-04-27,3
2024-04-28,5
2024-04-29,4
2024-04-30,5
2024-05-01,7
2024-05-02,4
2024-05-03,3
2024-05-04,3
2024-05-05,6
2024-05-06,2
2024-05-07,4
2024-05-08,4
2024-05-09,6
2024-05-10,6
2024-05-11,3
2024-05-12,3
2024-05-13,5
2024-05-14,4
2024-05-15,5
2024-05-16,5
2024-05-17,4
2024-05-18,4
2024-05-19,4
2024-05-20,4
2024-05-21,5
2024-05-22,6
2024-05-23,8
2024-05-24,6
2024-05-25,5
2024-05-26,4
2024-05-27,3
2024-05-28,4
2024-05-29,9
2024-05-30,14
2024-05-31,19
2024-06-01,10
2024-06-02,6
2024-06-03,5
2024-06-04,6
2024-06-05,5
2024-06-06,6
2024-06-07,4
2024-06-08,5
2024-06-09,6
2024-06-10,7
2024-06-11,5
2024-06-12,4
2024-06-13,3
2024-06-14,5
2024-06-15,6
2024-06-16,4
2024-06-17,7
2024-06-18,6
2024-06-19,3
2024-06-20,6
2024-06-21,5
2024-06-22,5
2024-06-23,7
2024-06-24,7
2024-06-25,9
2024-06-26,8
2024-06-27,10
2024-06-28,55
2024-06-29,18
2024-06-30,18
2024-07-01,20
2024-07-02,18
2024-07-03,19
2024-07-04,14
2024-07-05,13
2024-07-06,10
2024-07-07,9
2024-07-08,11
2024-07-09,10
2024-07-10,11
2024-07-11,8
2024-07-12,12
2024-07-13,14
2024-07-14,34
2024-07-15,27
2024-07-16,30
2024-07-17,19
2024-07-18,24
2024-07-19,33
2024-07-20,16
2024-07-21,35
2024-07-22,26
2024-07-23,17
2024-07-24,13
2024-07-25,14
2024-07-26,11
2024-07-27,13
2024-07-28,13
2024-07-29,11
2024-07-30,8
2024-07-31,10
2024-08-01,10
2024-08-02,6
2024-08-03,6
2024-08-04,6
2024-08-05,6
2024-08-06,10
2024-08-07,11
2024-08-08,7
2024-08-09,6
2024-08-10,6
2024-08-11,6
2024-08-12,5
2024-08-13,8
2024-08-14,7
2024-08-15,6
2024-08-16,10
2024-08-17,6
2024-08-18,7
2024-08-19,5
2024-08-20,7
2024-08-21,7
2024-08-22,9
2024-08-23,11
2024-08-24,7
2024-08-25,7
2024-08-26,6
2024-08-27,7
2024-08-28,5
2024-08-29,5
2024-08-30,5
2024-08-31,5
2024-09-01,4
2024-09-02,7
2024-09-03,5
2024-09-04,6
2024-09-05,8
2024-09-06,9
2024-09-07,8
2024-09-08,9
2024-09-09,10
2024-09-10,11
2024-09-11,50
2024-09-12,14
2024-09-13,10
2024-09-14,7
2024-09-15,9
2024-09-16,9
