Time,news
2022-01-01,40
2022-01-02,40
2022-01-03,43
2022-01-04,50
2022-01-05,46
2022-01-06,42
2022-01-07,45
2022-01-08,36
2022-01-09,38
2022-01-10,42
2022-01-11,44
2022-01-12,41
2022-01-13,44
2022-01-14,37
2022-01-15,39
2022-01-16,36
2022-01-17,37
2022-01-18,39
2022-01-19,39
2022-01-20,40
2022-01-21,40
2022-01-22,37
2022-01-23,36
2022-01-24,49
2022-01-25,40
2022-01-26,38
2022-01-27,42
2022-01-28,46
2022-01-29,41
2022-01-30,39
2022-01-31,45
2022-02-01,45
2022-02-02,47
2022-02-03,49
2022-02-04,43
2022-02-05,37
2022-02-06,35
2022-02-07,42
2022-02-08,39
2022-02-09,38
2022-02-10,36
2022-02-11,43
2022-02-12,40
2022-02-13,35
2022-02-14,42
2022-02-15,43
2022-02-16,44
2022-02-17,45
2022-02-18,43
2022-02-19,39
2022-02-20,37
2022-02-21,45
2022-02-22,53
2022-02-23,52
2022-02-24,100
2022-02-25,78
2022-02-26,67
2022-02-27,65
2022-02-28,72
2022-03-01,65
2022-03-02,66
2022-03-03,57
2022-03-04,56
2022-03-05,49
2022-03-06,46
2022-03-07,51
2022-03-08,53
2022-03-09,52
2022-03-10,51
2022-03-11,48
2022-03-12,45
2022-03-13,46
2022-03-14,52
2022-03-15,58
2022-03-16,54
2022-03-17,50
2022-03-18,51
2022-03-19,45
2022-03-20,41
2022-03-21,48
2022-03-22,49
2022-03-23,48
2022-03-24,47
2022-03-25,42
2022-03-26,41
2022-03-27,40
2022-03-28,43
2022-03-29,42
2022-03-30,43
2022-03-31,44
2022-04-01,40
2022-04-02,38
2022-04-03,38
2022-04-04,42
2022-04-05,40
2022-04-06,41
2022-04-07,39
2022-04-08,40
2022-04-09,38
2022-04-10,36
2022-04-11,40
2022-04-12,46
2022-04-13,44
2022-04-14,41
2022-04-15,38
2022-04-16,35
2022-04-17,34
2022-04-18,39
2022-04-19,38
2022-04-20,38
2022-04-21,41
2022-04-22,37
2022-04-23,34
2022-04-24,36
2022-04-25,40
2022-04-26,40
2022-04-27,39
2022-04-28,39
2022-04-29,39
2022-04-30,40
2022-05-01,36
2022-05-02,37
2022-05-03,40
2022-05-04,40
2022-05-05,40
2022-05-06,37
2022-05-07,34
2022-05-08,35
2022-05-09,39
2022-05-10,40
2022-05-11,39
2022-05-12,41
2022-05-13,37
2022-05-14,34
2022-05-15,37
2022-05-16,38
2022-05-17,38
2022-05-18,39
2022-05-19,38
2022-05-20,38
2022-05-21,34
2022-05-22,35
2022-05-23,38
2022-05-24,49
2022-05-25,48
2022-05-26,43
2022-05-27,40
2022-05-28,35
2022-05-29,36
2022-05-30,37
2022-05-31,38
2022-06-01,41
2022-06-02,40
2022-06-03,39
2022-06-04,34
2022-06-05,35
2022-06-06,39
2022-06-07,39
2022-06-08,39
2022-06-09,40
2022-06-10,42
2022-06-11,34
2022-06-12,37
2022-06-13,40
2022-06-14,42
2022-06-15,41
2022-06-16,40
2022-06-17,38
2022-06-18,34
2022-06-19,33
2022-06-20,40
2022-06-21,40
2022-06-22,41
2022-06-23,41
2022-06-24,47
2022-06-25,40
2022-06-26,36
2022-06-27,41
2022-06-28,40
2022-06-29,44
2022-06-30,43
2022-07-01,42
2022-07-02,37
2022-07-03,36
2022-07-04,45
2022-07-05,48
2022-07-06,42
2022-07-07,40
2022-07-08,42
2022-07-09,37
2022-07-10,37
2022-07-11,41
2022-07-12,40
2022-07-13,43
2022-07-14,42
2022-07-15,40
2022-07-16,36
2022-07-17,35
2022-07-18,43
2022-07-19,43
2022-07-20,40
2022-07-21,40
2022-07-22,41
2022-07-23,35
2022-07-24,36
2022-07-25,41
2022-07-26,41
2022-07-27,42
2022-07-28,42
2022-07-29,40
2022-07-30,35
2022-07-31,37
2022-08-01,42
2022-08-02,45
2022-08-03,46
2022-08-04,42
2022-08-05,40
2022-08-06,38
2022-08-07,38
2022-08-08,40
2022-08-09,49
2022-08-10,46
2022-08-11,46
2022-08-12,46
2022-08-13,41
2022-08-14,41
2022-08-15,42
2022-08-16,43
2022-08-17,43
2022-08-18,43
2022-08-19,41
2022-08-20,37
2022-08-21,37
2022-08-22,40
2022-08-23,41
2022-08-24,42
2022-08-25,43
2022-08-26,40
2022-08-27,36
2022-08-28,36
2022-08-29,42
2022-08-30,43
2022-08-31,43
2022-09-01,42
2022-09-02,39
2022-09-03,36
2022-09-04,37
2022-09-05,37
2022-09-06,41
2022-09-07,41
2022-09-08,57
2022-09-09,46
2022-09-10,36
2022-09-11,36
2022-09-12,42
2022-09-13,42
2022-09-14,45
2022-09-15,42
2022-09-16,40
2022-09-17,36
2022-09-18,34
2022-09-19,40
2022-09-20,41
2022-09-21,41
2022-09-22,41
2022-09-23,38
2022-09-24,36
2022-09-25,38
2022-09-26,45
2022-09-27,45
