Time,weather
2022-01-01,71
2022-01-02,80
2022-01-03,83
2022-01-04,68
2022-01-05,72
2022-01-06,70
2022-01-07,73
2022-01-08,58
2022-01-09,59
2022-01-10,48
2022-01-11,52
2022-01-12,53
2022-01-13,55
2022-01-14,59
2022-01-15,80
2022-01-16,87
2022-01-17,67
2022-01-18,50
2022-01-19,58
2022-01-20,71
2022-01-21,63
2022-01-22,61
2022-01-23,57
2022-01-24,61
2022-01-25,46
2022-01-26,55
2022-01-27,59
2022-01-28,84
2022-01-29,79
2022-01-30,60
2022-01-31,65
2022-02-01,75
2022-02-02,92
2022-02-03,100
2022-02-04,86
2022-02-05,54
2022-02-06,47
2022-02-07,52
2022-02-08,42
2022-02-09,40
2022-02-10,39
2022-02-11,48
2022-02-12,56
2022-02-13,53
2022-02-14,46
2022-02-15,52
2022-02-16,60
2022-02-17,71
2022-02-18,64
2022-02-19,57
2022-02-20,55
2022-02-21,64
2022-02-22,77
2022-02-23,87
2022-02-24,70
2022-02-25,61
2022-02-26,47
2022-02-27,49
2022-02-28,46
2022-03-01,44
2022-03-02,46
2022-03-03,48
2022-03-04,53
2022-03-05,59
2022-03-06,63
2022-03-07,67
2022-03-08,59
2022-03-09,63
2022-03-10,62
2022-03-11,71
2022-03-12,80
2022-03-13,57
2022-03-14,51
2022-03-15,55
2022-03-16,57
2022-03-17,55
2022-03-18,62
2022-03-19,59
2022-03-20,55
2022-03-21,64
2022-03-22,64
2022-03-23,64
2022-03-24,53
2022-03-25,47
2022-03-26,53
2022-03-27,51
2022-03-28,54
2022-03-29,52
2022-03-30,66
2022-03-31,66
2022-04-01,50
2022-04-02,57
2022-04-03,53
2022-04-04,53
2022-04-05,62
2022-04-06,62
2022-04-07,62
2022-04-08,56
2022-04-09,57
2022-04-10,55
2022-04-11,67
2022-04-12,72
2022-04-13,76
2022-04-14,65
2022-04-15,54
2022-04-16,63
2022-04-17,58
2022-04-18,58
2022-04-19,56
2022-04-20,50
2022-04-21,52
2022-04-22,52
2022-04-23,54
2022-04-24,56
2022-04-25,56
2022-04-26,51
2022-04-27,42
2022-04-28,47
2022-04-29,48
2022-04-30,57
2022-05-01,58
2022-05-02,54
2022-05-03,53
2022-05-04,51
2022-05-05,56
2022-05-06,66
2022-05-07,57
2022-05-08,52
2022-05-09,47
2022-05-10,43
2022-05-11,46
2022-05-12,54
2022-05-13,58
2022-05-14,69
2022-05-15,63
2022-05-16,67
2022-05-17,50
2022-05-18,52
2022-05-19,60
2022-05-20,73
2022-05-21,82
2022-05-22,74
2022-05-23,62
2022-05-24,62
2022-05-25,65
2022-05-26,64
2022-05-27,70
2022-05-28,67
2022-05-29,55
2022-05-30,55
2022-05-31,54
2022-06-01,59
2022-06-02,61
2022-06-03,59
2022-06-04,55
2022-06-05,53
2022-06-06,56
2022-06-07,56
2022-06-08,64
2022-06-09,63
2022-06-10,58
2022-06-11,64
2022-06-12,70
2022-06-13,64
2022-06-14,59
2022-06-15,58
2022-06-16,64
2022-06-17,60
2022-06-18,60
2022-06-19,52
2022-06-20,51
2022-06-21,54
2022-06-22,60
2022-06-23,55
2022-06-24,52
2022-06-25,63
2022-06-26,66
2022-06-27,65
2022-06-28,51
2022-06-29,48
2022-06-30,51
2022-07-01,64
2022-07-02,68
2022-07-03,60
2022-07-04,58
2022-07-05,63
2022-07-06,56
2022-07-07,50
2022-07-08,56
2022-07-09,59
2022-07-10,54
2022-07-11,51
2022-07-12,55
2022-07-13,49
2022-07-14,48
2022-07-15,54
2022-07-16,61
2022-07-17,59
2022-07-18,60
2022-07-19,49
2022-07-20,53
2022-07-21,55
2022-07-22,49
2022-07-23,64
2022-07-24,64
2022-07-25,62
2022-07-26,54
2022-07-27,53
2022-07-28,55
2022-07-29,59
2022-07-30,53
2022-07-31,58
2022-08-01,53
2022-08-02,50
2022-08-03,52
2022-08-04,59
2022-08-05,62
2022-08-06,62
2022-08-07,59
2022-08-08,54
2022-08-09,54
2022-08-10,52
2022-08-11,52
2022-08-12,47
2022-08-13,48
2022-08-14,52
2022-08-15,47
2022-08-16,46
2022-08-17,51
2022-08-18,52
2022-08-19,56
2022-08-20,64
2022-08-21,63
2022-08-22,59
2022-08-23,49
2022-08-24,45
2022-08-25,46
2022-08-26,50
2022-08-27,52
2022-08-28,52
2022-08-29,54
2022-08-30,53
2022-08-31,44
2022-09-01,45
2022-09-02,50
2022-09-03,59
2022-09-04,69
2022-09-05,63
2022-09-06,59
2022-09-07,53
2022-09-08,51
2022-09-09,57
2022-09-10,62
2022-09-11,62
2022-09-12,53
2022-09-13,45
2022-09-14,40
2022-09-15,40
2022-09-16,43
2022-09-17,47
2022-09-18,51
2022-09-19,54
2022-09-20,46
2022-09-21,49
2022-09-22,61
2022-09-23,53
2022-09-24,57
2022-09-25,61
2022-09-26,59
2022-09-27,62
