Time,walgreens
2022-01-01,64.0
2022-01-02,72.0
2022-01-03,90.0
2022-01-04,100.0
2022-01-05,88.0
2022-01-06,68.0
2022-01-07,73.0
2022-01-08,68.0
2022-01-09,58.0
2022-01-10,68.0
2022-01-11,66.0
2022-01-12,67.0
2022-01-13,72.0
2022-01-14,51.0
2022-01-15,53.0
2022-01-16,43.0
2022-01-17,50.0
2022-01-18,51.0
2022-01-19,49.0
2022-01-20,45.0
2022-01-21,43.0
2022-01-22,42.0
2022-01-23,40.0
2022-01-24,52.0
2022-01-25,40.0
2022-01-26,37.0
2022-01-27,39.0
2022-01-28,42.0
2022-01-29,36.0
2022-01-30,37.0
2022-01-31,40.0
2022-02-01,42.0
2022-02-02,38.0
2022-02-03,35.0
2022-02-04,36.0
2022-02-05,35.0
2022-02-06,35.0
2022-02-07,38.0
2022-02-08,38.0
2022-02-09,35.0
2022-02-10,32.0
2022-02-11,38.0
2022-02-12,35.0
2022-02-13,35.0
2022-02-14,38.0
2022-02-15,34.0
2022-02-16,34.0
2022-02-17,32.0
2022-02-18,34.0
2022-02-19,32.0
2022-02-20,32.0
2022-02-21,34.0
2022-02-22,33.0
2022-02-23,34.0
2022-02-24,31.0
2022-02-25,31.0
2022-02-26,30.0
2022-02-27,31.0
2022-02-28,33.0
2022-03-01,31.0
2022-03-02,33.0
2022-03-03,31.0
2022-03-04,32.0
2022-03-05,31.0
2022-03-06,29.0
2022-03-07,35.0
2022-03-08,32.0
2022-03-09,33.0
2022-03-10,32.0
2022-03-11,33.0
2022-03-12,30.0
2022-03-13,30.0
2022-03-14,35.0
2022-03-15,35.0
2022-03-16,33.0
2022-03-17,33.0
2022-03-18,32.0
2022-03-19,31.0
2022-03-20,33.0
2022-03-21,35.0
2022-03-22,33.0
2022-03-23,32.0
2022-03-24,32.0
2022-03-25,29.0
2022-03-26,31.0
2022-03-27,30.0
2022-03-28,30.0
2022-03-29,30.0
2022-03-30,35.0
2022-03-31,31.0
2022-04-01,31.0
2022-04-02,31.0
2022-04-03,32.0
2022-04-04,33.0
2022-04-05,33.0
2022-04-06,30.0
2022-04-07,31.0
2022-04-08,33.0
2022-04-09,31.0
2022-04-10,31.0
2022-04-11,36.0
2022-04-12,34.0
2022-04-13,32.0
2022-04-14,34.0
2022-04-15,32.0
2022-04-16,34.0
2022-04-17,43.0
2022-04-18,37.0
2022-04-19,33.0
2022-04-20,31.0
2022-04-21,31.0
2022-04-22,32.0
2022-04-23,32.0
2022-04-24,33.0
2022-04-25,33.0
2022-04-26,32.0
2022-04-27,32.0
2022-04-28,31.0
2022-04-29,33.0
2022-04-30,34.0
2022-05-01,34.0
2022-05-02,34.0
2022-05-03,34.0
2022-05-04,33.0
2022-05-05,35.0
2022-05-06,35.0
2022-05-07,39.0
2022-05-08,37.0
2022-05-09,35.0
2022-05-10,37.0
2022-05-11,35.0
2022-05-12,38.0
2022-05-13,35.0
2022-05-14,37.0
2022-05-15,36.0
2022-05-16,38.0
2022-05-17,36.0
2022-05-18,36.0
2022-05-19,36.0
2022-05-20,37.0
2022-05-21,37.0
2022-05-22,37.0
2022-05-23,37.0
2022-05-24,38.0
2022-05-25,35.0
2022-05-26,37.0
