Time,stranger things
2023-12-22,48
2023-12-23,52
2023-12-24,54
2023-12-25,55
2023-12-26,46
2023-12-27,48
2023-12-28,52
2023-12-29,53
2023-12-30,49
2023-12-31,54
2024-01-01,54
2024-01-02,52
2024-01-03,47
2024-01-04,44
2024-01-05,44
2024-01-06,63
2024-01-07,61
2024-01-08,63
2024-01-09,65
2024-01-10,54
2024-01-11,52
2024-01-12,76
2024-01-13,70
2024-01-14,71
2024-01-15,61
2024-01-16,54
2024-01-17,55
2024-01-18,48
2024-01-19,49
2024-01-20,62
2024-01-21,62
2024-01-22,44
2024-01-23,42
2024-01-24,41
2024-01-25,40
2024-01-26,38
2024-01-27,49
2024-01-28,54
2024-01-29,40
2024-01-30,41
2024-01-31,43
2024-02-01,36
2024-02-02,37
2024-02-03,52
2024-02-04,54
2024-02-05,42
2024-02-06,38
2024-02-07,38
2024-02-08,34
2024-02-09,40
2024-02-10,54
2024-02-11,53
2024-02-12,35
2024-02-13,36
2024-02-14,38
2024-02-15,44
2024-02-16,42
2024-02-17,51
2024-02-18,60
2024-02-19,59
2024-02-20,47
2024-02-21,41
2024-02-22,37
2024-02-23,42
2024-02-24,50
2024-02-25,56
2024-02-26,44
2024-02-27,34
2024-02-28,39
2024-02-29,40
2024-03-01,48
2024-03-02,57
2024-03-03,62
2024-03-04,47
2024-03-05,39
2024-03-06,43
2024-03-07,41
2024-03-08,45
2024-03-09,71
2024-03-10,72
2024-03-11,59
2024-03-12,57
2024-03-13,52
2024-03-14,49
2024-03-15,51
2024-03-16,66
2024-03-17,71
2024-03-18,55
2024-03-19,50
2024-03-20,45
2024-03-21,44
2024-03-22,50
2024-03-23,69
2024-03-24,85
2024-03-25,54
2024-03-26,45
2024-03-27,48
2024-03-28,61
2024-03-29,56
2024-03-30,61
2024-03-31,61
2024-04-01,49
2024-04-02,45
2024-04-03,45
2024-04-04,42
2024-04-05,48
2024-04-06,53
2024-04-07,55
2024-04-08,43
2024-04-09,39
2024-04-10,40
2024-04-11,37
2024-04-12,39
2024-04-13,51
2024-04-14,56
2024-04-15,42
2024-04-16,37
2024-04-17,37
2024-04-18,37
2024-04-19,42
2024-04-20,50
2024-04-21,56
2024-04-22,40
2024-04-23,38
2024-04-24,37
2024-04-25,40
2024-04-26,39
2024-04-27,56
2024-04-28,67
2024-04-29,50
2024-04-30,46
2024-05-01,42
2024-05-02,45
2024-05-03,44
2024-05-04,54
2024-05-05,62
2024-05-06,49
2024-05-07,43
2024-05-08,44
2024-05-09,45
2024-05-10,45
2024-05-11,55
2024-05-12,62
2024-05-13,49
2024-05-14,48
2024-05-15,49
2024-05-16,47
2024-05-17,47
2024-05-18,68
2024-05-19,66
2024-05-20,52
2024-05-21,48
2024-05-22,47
2024-05-23,48
2024-05-24,52
2024-05-25,68
2024-05-26,72
2024-05-27,76
2024-05-28,63
2024-05-29,57
2024-05-30,54
2024-05-31,54
2024-06-01,62
2024-06-02,73
2024-06-03,56
2024-06-04,61
2024-06-05,62
2024-06-06,62
2024-06-07,82
2024-06-08,77
2024-06-09,75
2024-06-10,67
2024-06-11,62
2024-06-12,66
2024-06-13,65
2024-06-14,63
2024-06-15,67
2024-06-16,76
2024-06-17,64
2024-06-18,65
2024-06-19,64
2024-06-20,58
2024-06-21,64
2024-06-22,69
2024-06-23,71
2024-06-24,61
2024-06-25,58
2024-06-26,59
2024-06-27,61
2024-06-28,64
2024-06-29,74
2024-06-30,81
2024-07-01,72
2024-07-02,72
2024-07-03,74
2024-07-04,81
2024-07-05,79
2024-07-06,88
2024-07-07,91
2024-07-08,71
2024-07-09,63
2024-07-10,67
2024-07-11,67
2024-07-12,66
2024-07-13,70
2024-07-14,69
2024-07-15,79
2024-07-16,93
2024-07-17,84
2024-07-18,100
2024-07-19,91
2024-07-20,93
2024-07-21,90
2024-07-22,69
2024-07-23,68
2024-07-24,66
2024-07-25,67
2024-07-26,66
2024-07-27,69
2024-07-28,76
2024-07-29,63
2024-07-30,59
2024-07-31,54
2024-08-01,55
2024-08-02,55
2024-08-03,66
2024-08-04,67
2024-08-05,55
2024-08-06,55
2024-08-07,58
2024-08-08,53
2024-08-09,55
2024-08-10,61
2024-08-11,67
2024-08-12,57
2024-08-13,55
2024-08-14,51
2024-08-15,49
2024-08-16,52
2024-08-17,71
2024-08-18,73
2024-08-19,60
2024-08-20,58
2024-08-21,50
2024-08-22,58
2024-08-23,58
2024-08-24,69
2024-08-25,72
2024-08-26,52
2024-08-27,49
2024-08-28,47
2024-08-29,48
2024-08-30,54
2024-08-31,63
2024-09-01,74
2024-09-02,74
2024-09-03,53
2024-09-04,46
2024-09-05,46
2024-09-06,45
2024-09-07,63
2024-09-08,67
2024-09-09,49
2024-09-10,42
2024-09-11,39
2024-09-12,43
2024-09-13,45
2024-09-14,57
2024-09-15,62
2024-09-16,49
