Time,stranger things
2024-08-18,64
2024-08-19,53
2024-08-20,51
2024-08-21,44
2024-08-22,51
2024-08-23,51
2024-08-24,60
2024-08-25,63
2024-08-26,45
2024-08-27,43
2024-08-28,41
2024-08-29,42
2024-08-30,48
2024-08-31,55
2024-09-01,65
2024-09-02,65
2024-09-03,46
2024-09-04,41
2024-09-05,40
2024-09-06,39
2024-09-07,55
2024-09-08,59
2024-09-09,43
2024-09-10,37
2024-09-11,34
2024-09-12,37
2024-09-13,39
2024-09-14,50
2024-09-15,55
2024-09-16,43
2024-09-17,39
2024-09-18,40
2024-09-19,36
2024-09-20,40
2024-09-21,51
2024-09-22,57
2024-09-23,43
2024-09-24,39
2024-09-25,38
2024-09-26,37
2024-09-27,40
2024-09-28,50
2024-09-29,50
2024-09-30,37
2024-10-01,38
2024-10-02,43
2024-10-03,49
2024-10-04,43
2024-10-05,56
2024-10-06,51
2024-10-07,41
2024-10-08,35
2024-10-09,36
2024-10-10,39
2024-10-11,41
2024-10-12,50
2024-10-13,54
2024-10-14,45
2024-10-15,42
2024-10-16,48
2024-10-17,50
2024-10-18,50
2024-10-19,55
2024-10-20,57
2024-10-21,40
2024-10-22,38
2024-10-23,40
2024-10-24,41
2024-10-25,42
2024-10-26,53
2024-10-27,60
2024-10-28,43
2024-10-29,42
2024-10-30,43
2024-10-31,52
2024-11-01,54
2024-11-02,69
2024-11-03,66
2024-11-04,60
2024-11-05,55
2024-11-06,67
2024-11-07,100
2024-11-08,72
2024-11-09,69
2024-11-10,70
2024-11-11,60
2024-11-12,47
2024-11-13,42
2024-11-14,40
2024-11-15,40
2024-11-16,45
2024-11-17,51
2024-11-18,42
2024-11-19,36
2024-11-20,37
2024-11-21,37
2024-11-22,33
2024-11-23,46
2024-11-24,50
2024-11-25,42
2024-11-26,39
2024-11-27,42
2024-11-28,48
2024-11-29,46
2024-11-30,44
2024-12-01,49
2024-12-02,37
2024-12-03,33
2024-12-04,36
2024-12-05,33
2024-12-06,32
2024-12-07,60
2024-12-08,55
2024-12-09,42
2024-12-10,37
2024-12-11,33
2024-12-12,33
2024-12-13,30
2024-12-14,48
2024-12-15,44
2024-12-16,37
2024-12-17,33
2024-12-18,34
2024-12-19,34
2024-12-20,45
2024-12-21,69
2024-12-22,63
2024-12-23,52
2024-12-24,50
2024-12-25,71
2024-12-26,52
2024-12-27,55
2024-12-28,67
2024-12-29,55
2024-12-30,51
2024-12-31,49
2025-01-01,64
2025-01-02,60
2025-01-03,56
2025-01-04,67
2025-01-05,64
2025-01-06,55
2025-01-07,50
2025-01-08,43
2025-01-09,40
2025-01-10,42
2025-01-11,53
2025-01-12,52
2025-01-13,44
2025-01-14,46
2025-01-15,38
2025-01-16,40
2025-01-17,38
2025-01-18,47
2025-01-19,45
2025-01-20,45
2025-01-21,39
2025-01-22,38
2025-01-23,79
2025-01-24,38
2025-01-25,57
2025-01-26,62
2025-01-27,40
2025-01-28,35
2025-01-29,38
2025-01-30,49
2025-01-31,65
2025-02-01,69
2025-02-02,72
2025-02-03,59
2025-02-04,47
2025-02-05,53
2025-02-06,42
2025-02-07,45
2025-02-08,54
2025-02-09,59
2025-02-10,41
2025-02-11,39
2025-02-12,39
2025-02-13,42
2025-02-14,43
2025-02-15,56
2025-02-16,65
2025-02-17,64
2025-02-18,46
2025-02-19,45
2025-02-20,41
2025-02-21,43
2025-02-22,54
2025-02-23,58
2025-02-24,49
2025-02-25,45
2025-02-26,41
2025-02-27,39
2025-02-28,40
2025-03-01,48
2025-03-02,50
2025-03-03,39
2025-03-04,43
2025-03-05,38
2025-03-06,39
2025-03-07,37
2025-03-08,48
2025-03-09,57
2025-03-10,41
2025-03-11,43
2025-03-12,46
2025-03-13,44
2025-03-14,46
2025-03-15,58
2025-03-16,67
2025-03-17,51
2025-03-18,42
2025-03-19,45
2025-03-20,44
2025-03-21,45
2025-03-22,57
2025-03-23,60
2025-03-24,45
2025-03-25,44
2025-03-26,62
2025-03-27,48
2025-03-28,45
2025-03-29,55
2025-03-30,81
2025-03-31,69
2025-04-01,41
2025-04-02,42
2025-04-03,40
2025-04-04,43
2025-04-05,56
2025-04-06,58
2025-04-07,45
2025-04-08,46
2025-04-09,42
2025-04-10,39
2025-04-11,45
2025-04-12,56
2025-04-13,58
2025-04-14,47
2025-04-15,52
2025-04-16,55
2025-04-17,51
2025-04-18,53
2025-04-19,58
2025-04-20,54
2025-04-21,45
2025-04-22,44
2025-04-23,52
2025-04-24,53
2025-04-25,50
2025-04-26,56
2025-04-27,60
2025-04-28,48
2025-04-29,43
2025-04-30,43
2025-05-01,43
2025-05-02,45
2025-05-03,55
2025-05-04,62
2025-05-05,48
2025-05-06,44
2025-05-07,44
2025-05-08,43
2025-05-09,45
2025-05-10,59
2025-05-11,67
2025-05-12,61
2025-05-13,68
2025-05-14,65
