Time,dahmer netflix
2023-04-26,31
2023-04-27,15
2023-04-28,16
2023-04-29,22
2023-04-30,30
2023-05-01,24
2023-05-02,37
2023-05-03,20
2023-05-04,23
2023-05-05,26
2023-05-06,21
2023-05-07,21
2023-05-08,16
2023-05-09,16
2023-05-10,16
2023-05-11,27
2023-05-12,19
2023-05-13,29
2023-05-14,26
2023-05-15,37
2023-05-16,26
2023-05-17,12
2023-05-18,20
2023-05-19,23
2023-05-20,25
2023-05-21,40
2023-05-22,22
2023-05-23,19
2023-05-24,18
2023-05-25,22
2023-05-26,37
2023-05-27,30
2023-05-28,31
2023-05-29,26
2023-05-30,31
2023-05-31,23
2023-06-01,23
2023-06-02,20
2023-06-03,23
2023-06-04,27
2023-06-05,19
2023-06-06,25
2023-06-07,25
2023-06-08,19
2023-06-09,25
2023-06-10,31
2023-06-11,28
2023-06-12,20
2023-06-13,28
2023-06-14,23
2023-06-15,17
2023-06-16,25
2023-06-17,23
2023-06-18,29
2023-06-19,24
2023-06-20,37
2023-06-21,23
2023-06-22,31
2023-06-23,26
2023-06-24,0
2023-06-25,47
2023-06-26,22
2023-06-27,29
2023-06-28,27
2023-06-29,18
2023-06-30,16
2023-07-01,29
2023-07-02,30
2023-07-03,17
2023-07-04,28
2023-07-05,23
2023-07-06,34
2023-07-07,26
2023-07-08,33
2023-07-09,36
2023-07-10,14
2023-07-11,22
2023-07-12,33
2023-07-13,52
2023-07-14,33
2023-07-15,31
2023-07-16,40
2023-07-17,33
2023-07-18,37
2023-07-19,32
2023-07-20,30
2023-07-21,31
2023-07-22,25
2023-07-23,38
2023-07-24,32
2023-07-25,27
2023-07-26,34
2023-07-27,30
2023-07-28,40
2023-07-29,28
2023-07-30,34
2023-07-31,30
2023-08-01,27
2023-08-02,28
2023-08-03,26
2023-08-04,40
2023-08-05,42
2023-08-06,38
2023-08-07,20
2023-08-08,33
2023-08-09,28
2023-08-10,27
2023-08-11,17
2023-08-12,27
2023-08-13,50
2023-08-14,32
2023-08-15,34
2023-08-16,28
2023-08-17,24
2023-08-18,32
2023-08-19,40
2023-08-20,43
2023-08-21,30
2023-08-22,26
2023-08-23,28
2023-08-24,31
2023-08-25,27
2023-08-26,33
2023-08-27,30
2023-08-28,32
2023-08-29,29
2023-08-30,29
2023-08-31,20
2023-09-01,31
2023-09-02,17
2023-09-03,29
2023-09-04,32
2023-09-05,25
2023-09-06,30
2023-09-07,25
2023-09-08,27
2023-09-09,25
2023-09-10,51
2023-09-11,44
2023-09-12,52
2023-09-13,35
2023-09-14,43
2023-09-15,27
2023-09-16,42
2023-09-17,31
2023-09-18,30
2023-09-19,32
2023-09-20,31
2023-09-21,32
2023-09-22,48
2023-09-23,39
2023-09-24,38
2023-09-25,27
2023-09-26,31
2023-09-27,37
2023-09-28,29
2023-09-29,36
2023-09-30,39
2023-10-01,42
2023-10-02,24
2023-10-03,41
2023-10-04,25
2023-10-05,28
2023-10-06,32
2023-10-07,26
2023-10-08,44
2023-10-09,26
2023-10-10,27
2023-10-11,34
2023-10-12,26
2023-10-13,24
2023-10-14,32
2023-10-15,33
2023-10-16,31
2023-10-17,29
2023-10-18,23
2023-10-19,33
2023-10-20,22
2023-10-21,25
2023-10-22,39
2023-10-23,15
2023-10-24,30
2023-10-25,29
2023-10-26,26
2023-10-27,25
2023-10-28,23
2023-10-29,36
2023-10-30,25
2023-10-31,22
2023-11-01,28
2023-11-02,22
2023-11-03,24
2023-11-04,23
2023-11-05,39
2023-11-06,22
2023-11-07,16
2023-11-08,13
2023-11-09,31
2023-11-10,19
2023-11-11,34
2023-11-12,20
2023-11-13,15
2023-11-14,21
2023-11-15,0
2023-11-16,18
2023-11-17,16
2023-11-18,22
2023-11-19,23
2023-11-20,17
2023-11-21,17
2023-11-22,23
2023-11-23,28
2023-11-24,0
2023-11-25,30
2023-11-26,22
2023-11-27,19
2023-11-28,17
2023-11-29,20
2023-11-30,21
2023-12-01,22
2023-12-02,14
2023-12-03,38
2023-12-04,21
2023-12-05,18
2023-12-06,32
2023-12-07,13
2023-12-08,11
2023-12-09,31
2023-12-10,18
2023-12-11,15
2023-12-12,13
2023-12-13,32
2023-12-14,18
2023-12-15,21
2023-12-16,0
2023-12-17,26
2023-12-18,32
2023-12-19,24
2023-12-20,24
2023-12-21,23
2023-12-22,29
2023-12-23,24
2023-12-24,28
2023-12-25,41
2023-12-26,24
2023-12-27,25
2023-12-28,23
2023-12-29,37
2023-12-30,27
2023-12-31,35
2024-01-01,24
2024-01-02,29
2024-01-03,41
2024-01-04,32
2024-01-05,20
2024-01-06,40
2024-01-07,24
2024-01-08,27
2024-01-09,33
2024-01-10,26
2024-01-11,18
2024-01-12,17
2024-01-13,21
2024-01-14,22
2024-01-15,17
2024-01-16,100
2024-01-17,52
2024-01-18,27
2024-01-19,22
2024-01-20,39
