Time,delta airlines
2023-04-26,77
2023-04-27,75
2023-04-28,77
2023-04-29,73
2023-04-30,72
2023-05-01,71
2023-05-02,76
2023-05-03,72
2023-05-04,77
2023-05-05,67
2023-05-06,59
2023-05-07,68
2023-05-08,79
2023-05-09,77
2023-05-10,71
2023-05-11,78
2023-05-12,70
2023-05-13,65
2023-05-14,66
2023-05-15,76
2023-05-16,80
2023-05-17,78
2023-05-18,76
2023-05-19,73
2023-05-20,68
2023-05-21,71
2023-05-22,73
2023-05-23,75
2023-05-24,73
2023-05-25,75
2023-05-26,68
2023-05-27,63
2023-05-28,61
2023-05-29,69
2023-05-30,72
2023-05-31,82
2023-06-01,70
2023-06-02,71
2023-06-03,76
2023-06-04,76
2023-06-05,75
2023-06-06,76
2023-06-07,76
2023-06-08,75
2023-06-09,69
2023-06-10,67
2023-06-11,81
2023-06-12,80
2023-06-13,74
2023-06-14,81
2023-06-15,79
2023-06-16,74
2023-06-17,69
2023-06-18,77
2023-06-19,80
2023-06-20,82
2023-06-21,80
2023-06-22,73
2023-06-23,75
2023-06-24,72
2023-06-25,81
2023-06-26,93
2023-06-27,100
2023-06-28,92
2023-06-29,96
2023-06-30,74
2023-07-01,72
2023-07-02,70
2023-07-03,73
2023-07-04,73
2023-07-05,78
2023-07-06,81
2023-07-07,75
2023-07-08,77
2023-07-09,92
2023-07-10,86
2023-07-11,82
2023-07-12,79
2023-07-13,79
2023-07-14,79
2023-07-15,76
2023-07-16,84
2023-07-17,85
2023-07-18,83
2023-07-19,77
2023-07-20,75
2023-07-21,83
2023-07-22,76
2023-07-23,77
2023-07-24,78
2023-07-25,80
2023-07-26,78
2023-07-27,74
2023-07-28,68
2023-07-29,76
2023-07-30,71
2023-07-31,73
2023-08-01,81
2023-08-02,71
2023-08-03,73
2023-08-04,73
2023-08-05,65
2023-08-06,71
2023-08-07,86
2023-08-08,87
2023-08-09,76
2023-08-10,77
2023-08-11,71
2023-08-12,66
2023-08-13,73
2023-08-14,71
2023-08-15,80
2023-08-16,73
2023-08-17,71
2023-08-18,65
2023-08-19,63
2023-08-20,68
2023-08-21,68
2023-08-22,72
2023-08-23,76
2023-08-24,67
2023-08-25,65
2023-08-26,57
2023-08-27,64
2023-08-28,73
2023-08-29,77
2023-08-30,76
2023-08-31,69
2023-09-01,66
2023-09-02,61
2023-09-03,59
2023-09-04,79
2023-09-05,75
2023-09-06,82
2023-09-07,81
2023-09-08,82
2023-09-09,70
2023-09-10,73
2023-09-11,73
2023-09-12,79
2023-09-13,71
2023-09-14,70
2023-09-15,66
2023-09-16,71
2023-09-17,65
2023-09-18,66
2023-09-19,71
2023-09-20,69
2023-09-21,68
2023-09-22,62
2023-09-23,64
2023-09-24,66
2023-09-25,74
2023-09-26,65
2023-09-27,68
2023-09-28,76
2023-09-29,65
2023-09-30,60
2023-10-01,64
2023-10-02,70
2023-10-03,65
2023-10-04,72
2023-10-05,64
2023-10-06,69
2023-10-07,60
2023-10-08,59
2023-10-09,76
2023-10-10,67
2023-10-11,75
2023-10-12,67
2023-10-13,60
2023-10-14,55
2023-10-15,69
2023-10-16,66
2023-10-17,62
2023-10-18,60
2023-10-19,68
2023-10-20,65
2023-10-21,58
2023-10-22,58
2023-10-23,61
2023-10-24,66
2023-10-25,58
2023-10-26,57
2023-10-27,56
2023-10-28,50
2023-10-29,53
2023-10-30,59
2023-10-31,57
2023-11-01,58
2023-11-02,60
2023-11-03,58
2023-11-04,51
2023-11-05,62
2023-11-06,60
2023-11-07,63
2023-11-08,60
2023-11-09,58
2023-11-10,58
2023-11-11,51
2023-11-12,56
2023-11-13,60
2023-11-14,59
2023-11-15,57
2023-11-16,55
2023-11-17,55
2023-11-18,55
2023-11-19,55
2023-11-20,59
2023-11-21,58
2023-11-22,57
2023-11-23,46
2023-11-24,56
2023-11-25,54
2023-11-26,62
2023-11-27,69
2023-11-28,77
2023-11-29,72
2023-11-30,62
2023-12-01,51
2023-12-02,51
2023-12-03,57
2023-12-04,58
2023-12-05,61
2023-12-06,59
2023-12-07,57
2023-12-08,57
2023-12-09,50
2023-12-10,56
2023-12-11,53
2023-12-12,55
2023-12-13,65
2023-12-14,65
2023-12-15,54
2023-12-16,51
2023-12-17,56
2023-12-18,57
2023-12-19,60
2023-12-20,57
2023-12-21,54
2023-12-22,52
2023-12-23,50
2023-12-24,45
2023-12-25,44
2023-12-26,62
2023-12-27,80
2023-12-28,69
2023-12-29,66
2023-12-30,63
2023-12-31,59
2024-01-01,62
2024-01-02,70
2024-01-03,73
2024-01-04,70
2024-01-05,72
2024-01-06,73
2024-01-07,74
2024-01-08,75
2024-01-09,74
2024-01-10,73
2024-01-11,74
2024-01-12,76
2024-01-13,72
2024-01-14,72
2024-01-15,73
2024-01-16,71
2024-01-17,73
2024-01-18,65
2024-01-19,63
2024-01-20,65
