Time,delta airlines
2025-12-11,56
2025-12-12,50
2025-12-13,52
2025-12-14,58
2025-12-15,64
2025-12-16,56
2025-12-17,57
2025-12-18,50
2025-12-19,56
2025-12-20,56
2025-12-21,53
2025-12-22,58
2025-12-23,55
2025-12-24,51
2025-12-25,43
2025-12-26,51
2025-12-27,66
2025-12-28,70
2025-12-29,72
2025-12-30,70
2025-12-31,60
2026-01-01,56
2026-01-02,63
2026-01-03,68
2026-01-04,73
2026-01-05,75
2026-01-06,81
2026-01-07,75
2026-01-08,71
2026-01-09,62
2026-01-10,65
2026-01-11,63
2026-01-12,69
2026-01-13,79
2026-01-14,71
2026-01-15,68
2026-01-16,64
2026-01-17,62
2026-01-18,63
2026-01-19,70
2026-01-20,67
2026-01-21,71
2026-01-22,69
2026-01-23,65
2026-01-24,64
2026-01-25,62
2026-01-26,73
2026-01-27,72
2026-01-28,70
2026-01-29,69
2026-01-30,64
2026-01-31,64
2026-02-01,67
2026-02-02,65
2026-02-03,66
2026-02-04,63
2026-02-05,61
2026-02-06,56
2026-02-07,56
2026-02-08,57
2026-02-09,55
2026-02-10,62
2026-02-11,66
2026-02-12,62
2026-02-13,63
2026-02-14,58
2026-02-15,65
2026-02-16,72
2026-02-17,67
2026-02-18,67
2026-02-19,66
2026-02-20,67
2026-02-21,69
2026-02-22,75
2026-02-23,78
2026-02-24,72
2026-02-25,70
2026-02-26,68
2026-02-27,61
2026-02-28,62
2026-03-01,66
2026-03-02,67
2026-03-03,69
2026-03-04,69
2026-03-05,66
2026-03-06,68
2026-03-07,76
2026-03-08,74
2026-03-09,75
2026-03-10,76
2026-03-11,71
2026-03-12,74
2026-03-13,74
2026-03-14,70
2026-03-15,77
2026-03-16,83
2026-03-17,78
2026-03-18,75
2026-03-19,70
2026-03-20,60
2026-03-21,64
2026-03-22,69
2026-03-23,59
2026-03-24,77
2026-03-25,82
2026-03-26,68
2026-03-27,61
2026-03-28,56
2026-03-29,60
2026-03-30,64
2026-03-31,67
2026-04-01,62
2026-04-02,62
2026-04-03,57
2026-04-04,56
2026-04-05,56
2026-04-06,64
2026-04-07,64
2026-04-08,69
2026-04-09,60
2026-04-10,58
2026-04-11,55
2026-04-12,61
2026-04-13,62
2026-04-14,63
2026-04-15,64
2026-04-16,65
2026-04-17,60
2026-04-18,54
2026-04-19,57
2026-04-20,65
2026-04-21,65
2026-04-22,63
2026-04-23,65
2026-04-24,59
2026-04-25,54
2026-04-26,60
2026-04-27,67
2026-04-28,68
2026-04-29,69
2026-04-30,62
2026-05-01,58
2026-05-02,89
2026-05-03,100
2026-05-04,88
2026-05-05,78
2026-05-06,78
2026-05-07,68
2026-05-08,61
2026-05-09,56
2026-05-10,57
2026-05-11,69
2026-05-12,71
2026-05-13,69
2026-05-14,63
2026-05-15,60
2026-05-16,58
2026-05-17,62
2026-05-18,67
2026-05-19,66
2026-05-20,70
2026-05-21,67
2026-05-22,65
2026-05-23,59
2026-05-24,59
2026-05-25,65
2026-05-26,70
2026-05-27,69
2026-05-28,65
2026-05-29,63
2026-05-30,58
2026-05-31,63
