Time,delta airlines
2023-12-22,36
2023-12-23,35
2023-12-24,31
2023-12-25,30
2023-12-26,43
2023-12-27,56
2023-12-28,48
2023-12-29,46
2023-12-30,44
2023-12-31,41
2024-01-01,43
2024-01-02,48
2024-01-03,51
2024-01-04,49
2024-01-05,50
2024-01-06,51
2024-01-07,52
2024-01-08,52
2024-01-09,51
2024-01-10,51
2024-01-11,52
2024-01-12,53
2024-01-13,50
2024-01-14,50
2024-01-15,51
2024-01-16,49
2024-01-17,50
2024-01-18,45
2024-01-19,44
2024-01-20,45
2024-01-21,45
2024-01-22,44
2024-01-23,46
2024-01-24,48
2024-01-25,48
2024-01-26,41
2024-01-27,43
2024-01-28,44
2024-01-29,46
2024-01-30,49
2024-01-31,46
2024-02-01,45
2024-02-02,43
2024-02-03,43
2024-02-04,48
2024-02-05,46
2024-02-06,47
2024-02-07,53
2024-02-08,44
2024-02-09,44
2024-02-10,41
2024-02-11,40
2024-02-12,39
2024-02-13,48
2024-02-14,43
2024-02-15,48
2024-02-16,43
2024-02-17,44
2024-02-18,49
2024-02-19,50
2024-02-20,60
2024-02-21,48
2024-02-22,46
2024-02-23,43
2024-02-24,45
2024-02-25,47
2024-02-26,47
2024-02-27,45
2024-02-28,44
2024-02-29,48
2024-03-01,44
2024-03-02,43
2024-03-03,47
2024-03-04,47
2024-03-05,48
2024-03-06,49
2024-03-07,47
2024-03-08,45
2024-03-09,47
2024-03-10,48
2024-03-11,44
2024-03-12,51
2024-03-13,48
2024-03-14,45
2024-03-15,43
2024-03-16,45
2024-03-17,47
2024-03-18,48
2024-03-19,51
2024-03-20,49
2024-03-21,46
2024-03-22,43
2024-03-23,43
2024-03-24,46
2024-03-25,44
2024-03-26,48
2024-03-27,51
2024-03-28,46
2024-03-29,42
2024-03-30,36
2024-03-31,40
2024-04-01,49
2024-04-02,46
2024-04-03,50
2024-04-04,45
2024-04-05,45
2024-04-06,40
2024-04-07,44
2024-04-08,39
2024-04-09,45
2024-04-10,49
2024-04-11,51
2024-04-12,48
2024-04-13,47
2024-04-14,48
2024-04-15,44
2024-04-16,47
2024-04-17,46
2024-04-18,47
2024-04-19,54
2024-04-20,54
2024-04-21,47
2024-04-22,49
2024-04-23,44
2024-04-24,46
2024-04-25,45
2024-04-26,43
2024-04-27,63
2024-04-28,59
2024-04-29,53
2024-04-30,45
2024-05-01,43
2024-05-02,41
2024-05-03,41
2024-05-04,38
2024-05-05,44
2024-05-06,46
2024-05-07,47
2024-05-08,47
2024-05-09,45
2024-05-10,45
2024-05-11,39
2024-05-12,39
2024-05-13,47
2024-05-14,51
2024-05-15,45
2024-05-16,49
2024-05-17,44
2024-05-18,41
2024-05-19,44
2024-05-20,47
2024-05-21,52
2024-05-22,48
2024-05-23,46
2024-05-24,45
2024-05-25,40
2024-05-26,38
2024-05-27,52
2024-05-28,48
2024-05-29,50
2024-05-30,47
2024-05-31,47
2024-06-01,44
2024-06-02,47
2024-06-03,54
2024-06-04,53
2024-06-05,52
2024-06-06,49
2024-06-07,44
2024-06-08,42
2024-06-09,49
2024-06-10,49
2024-06-11,51
2024-06-12,50
2024-06-13,50
2024-06-14,45
2024-06-15,42
2024-06-16,40
2024-06-17,50
2024-06-18,48
2024-06-19,46
2024-06-20,45
2024-06-21,45
2024-06-22,45
2024-06-23,50
2024-06-24,48
2024-06-25,51
2024-06-26,50
2024-06-27,47
2024-06-28,42
2024-06-29,42
2024-06-30,46
2024-07-01,49
2024-07-02,50
2024-07-03,47
2024-07-04,45
2024-07-05,41
2024-07-06,45
2024-07-07,47
2024-07-08,53
2024-07-09,49
2024-07-10,49
2024-07-11,52
2024-07-12,55
2024-07-13,73
2024-07-14,53
2024-07-15,53
2024-07-16,62
2024-07-17,54
2024-07-18,51
2024-07-19,100
2024-07-20,70
2024-07-21,66
2024-07-22,79
2024-07-23,98
2024-07-24,68
2024-07-25,58
2024-07-26,45
2024-07-27,42
2024-07-28,45
2024-07-29,47
2024-07-30,48
2024-07-31,48
2024-08-01,46
2024-08-02,47
2024-08-03,46
2024-08-04,55
2024-08-05,52
2024-08-06,47
2024-08-07,49
2024-08-08,44
2024-08-09,43
2024-08-10,40
2024-08-11,43
2024-08-12,47
2024-08-13,45
2024-08-14,49
2024-08-15,43
2024-08-16,40
2024-08-17,37
2024-08-18,44
2024-08-19,47
2024-08-20,44
2024-08-21,42
2024-08-22,43
2024-08-23,38
2024-08-24,38
2024-08-25,40
2024-08-26,43
2024-08-27,56
2024-08-28,55
2024-08-29,50
2024-08-30,41
2024-08-31,37
2024-09-01,51
2024-09-02,56
2024-09-03,47
2024-09-04,49
2024-09-05,42
2024-09-06,39
2024-09-07,38
2024-09-08,40
2024-09-09,42
2024-09-10,47
2024-09-11,42
2024-09-12,43
2024-09-13,39
2024-09-14,38
2024-09-15,37
2024-09-16,41
