Time,ups
2024-08-18,53
2024-08-19,76
2024-08-20,80
2024-08-21,75
2024-08-22,76
2024-08-23,73
2024-08-24,64
2024-08-25,52
2024-08-26,74
2024-08-27,78
2024-08-28,75
2024-08-29,73
2024-08-30,72
2024-08-31,66
2024-09-01,51
2024-09-02,56
2024-09-03,75
2024-09-04,78
2024-09-05,73
2024-09-06,72
2024-09-07,66
2024-09-08,49
2024-09-09,74
2024-09-10,75
2024-09-11,72
2024-09-12,73
2024-09-13,74
2024-09-14,61
2024-09-15,47
2024-09-16,70
2024-09-17,73
2024-09-18,77
2024-09-19,70
2024-09-20,77
2024-09-21,65
2024-09-22,48
2024-09-23,67
2024-09-24,71
2024-09-25,70
2024-09-26,72
2024-09-27,64
2024-09-28,61
2024-09-29,49
2024-09-30,69
2024-10-01,70
2024-10-02,72
2024-10-03,69
2024-10-04,70
2024-10-05,65
2024-10-06,47
2024-10-07,69
2024-10-08,71
2024-10-09,69
2024-10-10,69
2024-10-11,71
2024-10-12,64
2024-10-13,52
2024-10-14,77
2024-10-15,78
2024-10-16,76
2024-10-17,71
2024-10-18,72
2024-10-19,62
2024-10-20,46
2024-10-21,71
2024-10-22,73
2024-10-23,73
2024-10-24,72
2024-10-25,71
2024-10-26,60
2024-10-27,50
2024-10-28,70
2024-10-29,72
2024-10-30,65
2024-10-31,65
2024-11-01,67
2024-11-02,64
2024-11-03,52
2024-11-04,68
2024-11-05,64
2024-11-06,50
2024-11-07,68
2024-11-08,68
2024-11-09,61
2024-11-10,51
2024-11-11,86
2024-11-12,79
2024-11-13,76
2024-11-14,72
2024-11-15,69
2024-11-16,59
2024-11-17,50
2024-11-18,67
2024-11-19,78
2024-11-20,80
2024-11-21,72
2024-11-22,69
2024-11-23,65
2024-11-24,51
2024-11-25,72
2024-11-26,79
2024-11-27,82
2024-11-28,41
2024-11-29,63
2024-11-30,64
2024-12-01,56
2024-12-02,77
2024-12-03,84
2024-12-04,83
2024-12-05,81
2024-12-06,84
2024-12-07,79
2024-12-08,62
2024-12-09,80
2024-12-10,93
2024-12-11,84
2024-12-12,88
2024-12-13,81
2024-12-14,85
2024-12-15,68
2024-12-16,88
2024-12-17,96
2024-12-18,99
2024-12-19,100
2024-12-20,96
2024-12-21,88
2024-12-22,68
2024-12-23,99
2024-12-24,92
2024-12-25,36
2024-12-26,78
2024-12-27,82
2024-12-28,79
2024-12-29,64
2024-12-30,90
2024-12-31,98
2025-01-01,59
2025-01-02,85
2025-01-03,89
2025-01-04,81
2025-01-05,61
2025-01-06,81
2025-01-07,81
2025-01-08,83
2025-01-09,76
2025-01-10,77
2025-01-11,72
2025-01-12,56
2025-01-13,74
2025-01-14,79
2025-01-15,73
2025-01-16,77
2025-01-17,76
2025-01-18,69
2025-01-19,53
2025-01-20,75
2025-01-21,73
2025-01-22,74
2025-01-23,75
2025-01-24,74
2025-01-25,67
2025-01-26,55
2025-01-27,69
2025-01-28,73
2025-01-29,68
2025-01-30,73
2025-01-31,76
2025-02-01,69
2025-02-02,51
2025-02-03,63
2025-02-04,68
2025-02-05,67
2025-02-06,66
2025-02-07,66
2025-02-08,64
2025-02-09,49
2025-02-10,58
2025-02-11,69
2025-02-12,67
2025-02-13,69
2025-02-14,67
2025-02-15,58
2025-02-16,52
2025-02-17,74
2025-02-18,68
2025-02-19,65
2025-02-20,64
2025-02-21,64
2025-02-22,59
2025-02-23,48
2025-02-24,65
2025-02-25,71
2025-02-26,64
2025-02-27,65
2025-02-28,65
2025-03-01,53
2025-03-02,50
2025-03-03,63
2025-03-04,67
2025-03-05,66
2025-03-06,69
2025-03-07,64
2025-03-08,59
2025-03-09,50
2025-03-10,66
2025-03-11,71
2025-03-12,69
2025-03-13,65
2025-03-14,64
2025-03-15,56
2025-03-16,50
2025-03-17,65
2025-03-18,68
2025-03-19,68
2025-03-20,62
2025-03-21,62
2025-03-22,58
2025-03-23,49
2025-03-24,66
2025-03-25,68
2025-03-26,69
2025-03-27,66
2025-03-28,65
2025-03-29,58
2025-03-30,46
2025-03-31,63
2025-04-01,61
2025-04-02,62
2025-04-03,68
2025-04-04,67
2025-04-05,61
2025-04-06,50
2025-04-07,68
2025-04-08,69
2025-04-09,70
2025-04-10,66
2025-04-11,67
2025-04-12,62
2025-04-13,50
2025-04-14,65
2025-04-15,71
2025-04-16,67
2025-04-17,70
2025-04-18,62
2025-04-19,54
2025-04-20,39
2025-04-21,67
2025-04-22,68
2025-04-23,63
2025-04-24,63
2025-04-25,64
2025-04-26,58
2025-04-27,49
2025-04-28,65
2025-04-29,79
2025-04-30,79
2025-05-01,67
2025-05-02,71
2025-05-03,58
2025-05-04,49
2025-05-05,65
2025-05-06,67
2025-05-07,67
2025-05-08,66
2025-05-09,63
2025-05-10,59
2025-05-11,45
2025-05-12,68
2025-05-13,69
2025-05-14,68
