Time,ups
2023-12-22,100
2023-12-23,90
2023-12-24,52
2023-12-25,30
2023-12-26,85
2023-12-27,89
2023-12-28,90
2023-12-29,87
2023-12-30,87
2023-12-31,59
2024-01-01,57
2024-01-02,87
2024-01-03,92
2024-01-04,88
2024-01-05,87
2024-01-06,84
2024-01-07,65
2024-01-08,79
2024-01-09,80
2024-01-10,84
2024-01-11,82
2024-01-12,77
2024-01-13,73
2024-01-14,62
2024-01-15,79
2024-01-16,82
2024-01-17,91
2024-01-18,88
2024-01-19,81
2024-01-20,78
2024-01-21,60
2024-01-22,84
2024-01-23,85
2024-01-24,85
2024-01-25,78
2024-01-26,76
2024-01-27,76
2024-01-28,57
2024-01-29,76
2024-01-30,98
2024-01-31,98
2024-02-01,84
2024-02-02,74
2024-02-03,72
2024-02-04,57
2024-02-05,70
2024-02-06,76
2024-02-07,77
2024-02-08,73
2024-02-09,71
2024-02-10,67
2024-02-11,50
2024-02-12,63
2024-02-13,71
2024-02-14,72
2024-02-15,70
2024-02-16,69
2024-02-17,67
2024-02-18,50
2024-02-19,79
2024-02-20,73
2024-02-21,73
2024-02-22,71
2024-02-23,70
2024-02-24,64
2024-02-25,51
2024-02-26,70
2024-02-27,69
2024-02-28,72
2024-02-29,68
2024-03-01,69
2024-03-02,70
2024-03-03,55
2024-03-04,70
2024-03-05,75
2024-03-06,73
2024-03-07,70
2024-03-08,69
2024-03-09,65
2024-03-10,47
2024-03-11,70
2024-03-12,75
2024-03-13,72
2024-03-14,73
2024-03-15,69
2024-03-16,66
2024-03-17,51
2024-03-18,72
2024-03-19,74
2024-03-20,76
2024-03-21,67
2024-03-22,72
2024-03-23,66
2024-03-24,52
2024-03-25,73
2024-03-26,75
2024-03-27,74
2024-03-28,73
2024-03-29,75
2024-03-30,61
2024-03-31,37
2024-04-01,73
2024-04-02,75
2024-04-03,71
2024-04-04,70
2024-04-05,71
2024-04-06,67
2024-04-07,50
2024-04-08,64
2024-04-09,72
2024-04-10,73
2024-04-11,69
2024-04-12,67
2024-04-13,65
2024-04-14,54
2024-04-15,73
2024-04-16,77
2024-04-17,70
2024-04-18,72
2024-04-19,75
2024-04-20,69
2024-04-21,53
2024-04-22,72
2024-04-23,74
2024-04-24,72
2024-04-25,70
2024-04-26,66
2024-04-27,64
2024-04-28,51
2024-04-29,73
2024-04-30,74
2024-05-01,73
2024-05-02,71
2024-05-03,72
2024-05-04,64
2024-05-05,53
2024-05-06,74
2024-05-07,75
2024-05-08,75
2024-05-09,72
2024-05-10,72
2024-05-11,65
2024-05-12,44
2024-05-13,74
2024-05-14,74
2024-05-15,73
2024-05-16,71
2024-05-17,75
2024-05-18,67
2024-05-19,53
2024-05-20,72
2024-05-21,76
2024-05-22,76
2024-05-23,75
2024-05-24,77
2024-05-25,65
2024-05-26,51
2024-05-27,54
2024-05-28,83
2024-05-29,81
2024-05-30,82
2024-05-31,79
2024-06-01,69
2024-06-02,55
2024-06-03,79
2024-06-04,81
2024-06-05,79
2024-06-06,74
2024-06-07,74
2024-06-08,68
2024-06-09,51
2024-06-10,79
2024-06-11,81
2024-06-12,78
2024-06-13,79
2024-06-14,78
2024-06-15,65
2024-06-16,50
2024-06-17,79
2024-06-18,80
2024-06-19,86
2024-06-20,74
2024-06-21,75
2024-06-22,65
2024-06-23,51
2024-06-24,77
2024-06-25,81
2024-06-26,72
2024-06-27,78
2024-06-28,73
2024-06-29,68
2024-06-30,50
2024-07-01,76
2024-07-02,81
2024-07-03,78
2024-07-04,52
2024-07-05,72
2024-07-06,65
2024-07-07,52
2024-07-08,81
2024-07-09,78
2024-07-10,79
2024-07-11,77
2024-07-12,74
2024-07-13,62
2024-07-14,47
2024-07-15,75
2024-07-16,77
2024-07-17,79
2024-07-18,77
2024-07-19,80
2024-07-20,72
2024-07-21,54
2024-07-22,81
2024-07-23,85
2024-07-24,82
2024-07-25,80
2024-07-26,76
2024-07-27,64
2024-07-28,54
2024-07-29,73
2024-07-30,76
2024-07-31,75
2024-08-01,72
2024-08-02,75
2024-08-03,63
2024-08-04,54
2024-08-05,79
2024-08-06,78
2024-08-07,81
2024-08-08,74
2024-08-09,74
2024-08-10,64
2024-08-11,54
2024-08-12,80
2024-08-13,83
2024-08-14,83
2024-08-15,76
2024-08-16,76
2024-08-17,70
2024-08-18,53
2024-08-19,77
2024-08-20,80
2024-08-21,76
2024-08-22,77
2024-08-23,74
2024-08-24,65
2024-08-25,53
2024-08-26,75
2024-08-27,78
2024-08-28,76
2024-08-29,74
2024-08-30,73
2024-08-31,66
2024-09-01,52
2024-09-02,56
2024-09-03,76
2024-09-04,79
2024-09-05,74
2024-09-06,72
2024-09-07,67
2024-09-08,50
2024-09-09,75
2024-09-10,76
2024-09-11,73
2024-09-12,74
2024-09-13,75
2024-09-14,61
2024-09-15,48
2024-09-16,70
