Time,ups
2022-08-29,68
2022-08-30,70
2022-08-31,68
2022-09-01,66
2022-09-02,64
2022-09-03,57
2022-09-04,42
2022-09-05,45
2022-09-06,71
2022-09-07,71
2022-09-08,70
2022-09-09,65
2022-09-10,58
2022-09-11,41
2022-09-12,67
2022-09-13,70
2022-09-14,70
2022-09-15,71
2022-09-16,69
2022-09-17,58
2022-09-18,41
2022-09-19,67
2022-09-20,73
2022-09-21,70
2022-09-22,67
2022-09-23,67
2022-09-24,55
2022-09-25,40
2022-09-26,67
2022-09-27,68
2022-09-28,67
2022-09-29,61
2022-09-30,66
2022-10-01,55
2022-10-02,41
2022-10-03,66
2022-10-04,72
2022-10-05,70
2022-10-06,69
2022-10-07,72
2022-10-08,59
2022-10-09,42
2022-10-10,74
2022-10-11,72
2022-10-12,69
2022-10-13,71
2022-10-14,64
2022-10-15,58
2022-10-16,42
2022-10-17,71
2022-10-18,71
2022-10-19,70
2022-10-20,70
2022-10-21,67
2022-10-22,58
2022-10-23,42
2022-10-24,68
2022-10-25,72
2022-10-26,78
2022-10-27,68
2022-10-28,66
2022-10-29,56
2022-10-30,42
2022-10-31,63
2022-11-01,65
2022-11-02,66
2022-11-03,67
2022-11-04,63
2022-11-05,54
2022-11-06,41
2022-11-07,63
2022-11-08,68
2022-11-09,63
2022-11-10,67
2022-11-11,69
2022-11-12,56
2022-11-13,45
2022-11-14,66
2022-11-15,68
2022-11-16,68
2022-11-17,68
2022-11-18,69
2022-11-19,56
2022-11-20,45
2022-11-21,68
2022-11-22,75
2022-11-23,75
2022-11-24,35
2022-11-25,56
2022-11-26,58
2022-11-27,49
2022-11-28,69
2022-11-29,76
2022-11-30,78
2022-12-01,81
2022-12-02,73
2022-12-03,69
2022-12-04,53
2022-12-05,76
2022-12-06,81
2022-12-07,83
2022-12-08,81
2022-12-09,77
2022-12-10,72
2022-12-11,57
2022-12-12,78
2022-12-13,86
2022-12-14,86
2022-12-15,86
2022-12-16,87
2022-12-17,87
2022-12-18,63
2022-12-19,100
2022-12-20,96
2022-12-21,98
2022-12-22,89
2022-12-23,82
2022-12-24,65
2022-12-25,31
2022-12-26,75
2022-12-27,84
2022-12-28,83
2022-12-29,81
2022-12-30,76
2022-12-31,66
2023-01-01,36
2023-01-02,77
2023-01-03,76
2023-01-04,80
2023-01-05,76
2023-01-06,75
2023-01-07,68
2023-01-08,53
2023-01-09,70
2023-01-10,75
2023-01-11,68
2023-01-12,66
2023-01-13,67
2023-01-14,64
2023-01-15,49
2023-01-16,77
2023-01-17,71
2023-01-18,67
2023-01-19,64
2023-01-20,64
2023-01-21,60
2023-01-22,44
2023-01-23,63
2023-01-24,66
2023-01-25,62
2023-01-26,63
2023-01-27,62
2023-01-28,61
2023-01-29,46
2023-01-30,62
2023-01-31,70
2023-02-01,71
2023-02-02,64
2023-02-03,66
2023-02-04,60
2023-02-05,47
2023-02-06,64
2023-02-07,70
2023-02-08,68
2023-02-09,65
2023-02-10,65
2023-02-11,59
2023-02-12,41
2023-02-13,58
2023-02-14,65
2023-02-15,64
2023-02-16,61
2023-02-17,63
2023-02-18,58
2023-02-19,42
2023-02-20,70
2023-02-21,65
2023-02-22,67
2023-02-23,61
2023-02-24,64
2023-02-25,57
2023-02-26,44
2023-02-27,65
2023-02-28,66
2023-03-01,67
2023-03-02,69
2023-03-03,62
2023-03-04,53
2023-03-05,44
2023-03-06,64
2023-03-07,69
2023-03-08,67
2023-03-09,64
2023-03-10,63
2023-03-11,56
2023-03-12,44
2023-03-13,69
2023-03-14,69
2023-03-15,66
2023-03-16,65
2023-03-17,62
2023-03-18,55
2023-03-19,44
2023-03-20,67
2023-03-21,67
2023-03-22,64
2023-03-23,63
2023-03-24,63
2023-03-25,55
2023-03-26,41
2023-03-27,64
2023-03-28,64
2023-03-29,65
2023-03-30,62
2023-03-31,60
2023-04-01,56
2023-04-02,43
2023-04-03,64
2023-04-04,64
2023-04-05,64
2023-04-06,64
2023-04-07,66
2023-04-08,54
2023-04-09,32
2023-04-10,66
2023-04-11,67
2023-04-12,65
2023-04-13,63
2023-04-14,61
2023-04-15,55
2023-04-16,43
2023-04-17,60
2023-04-18,64
2023-04-19,63
2023-04-20,63
2023-04-21,61
2023-04-22,58
2023-04-23,42
2023-04-24,61
2023-04-25,69
2023-04-26,67
2023-04-27,62
2023-04-28,60
2023-04-29,56
2023-04-30,42
2023-05-01,64
2023-05-02,64
2023-05-03,63
2023-05-04,61
2023-05-05,57
2023-05-06,53
2023-05-07,41
2023-05-08,61
2023-05-09,66
2023-05-10,65
2023-05-11,65
2023-05-12,64
2023-05-13,57
2023-05-14,37
2023-05-15,65
2023-05-16,68
2023-05-17,63
2023-05-18,65
2023-05-19,64
2023-05-20,57
2023-05-21,43
2023-05-22,68
2023-05-23,70
2023-05-24,67
2023-05-25,67
