Time,ups
2025-12-11,74
2025-12-12,73
2025-12-13,71
2025-12-14,65
2025-12-15,76
2025-12-16,78
2025-12-17,81
2025-12-18,82
2025-12-19,79
2025-12-20,78
2025-12-21,70
2025-12-22,88
2025-12-23,100
2025-12-24,92
2025-12-25,40
2025-12-26,71
2025-12-27,69
2025-12-28,62
2025-12-29,76
2025-12-30,80
2025-12-31,81
2026-01-01,52
2026-01-02,69
2026-01-03,71
2026-01-04,60
2026-01-05,70
2026-01-06,71
2026-01-07,64
2026-01-08,63
2026-01-09,64
2026-01-10,63
2026-01-11,51
2026-01-12,60
2026-01-13,64
2026-01-14,57
2026-01-15,59
2026-01-16,60
2026-01-17,58
2026-01-18,48
2026-01-19,71
2026-01-20,63
2026-01-21,65
2026-01-22,65
2026-01-23,60
2026-01-24,52
2026-01-25,39
2026-01-26,53
2026-01-27,63
2026-01-28,64
2026-01-29,68
2026-01-30,68
2026-01-31,68
2026-02-01,55
2026-02-02,59
2026-02-03,64
2026-02-04,65
2026-02-05,62
2026-02-06,58
2026-02-07,55
2026-02-08,47
2026-02-09,52
2026-02-10,63
2026-02-11,64
2026-02-12,61
2026-02-13,61
2026-02-14,56
2026-02-15,51
2026-02-16,68
2026-02-17,57
2026-02-18,59
2026-02-19,66
2026-02-20,59
2026-02-21,57
2026-02-22,47
2026-02-23,53
2026-02-24,59
2026-02-25,61
2026-02-26,62
2026-02-27,59
2026-02-28,54
2026-03-01,47
2026-03-02,56
2026-03-03,63
2026-03-04,64
2026-03-05,63
2026-03-06,63
2026-03-07,55
2026-03-08,47
2026-03-09,60
2026-03-10,63
2026-03-11,61
2026-03-12,59
2026-03-13,61
2026-03-14,55
2026-03-15,48
2026-03-16,58
2026-03-17,63
2026-03-18,64
2026-03-19,63
2026-03-20,61
2026-03-21,55
2026-03-22,48
2026-03-23,62
2026-03-24,64
2026-03-25,61
2026-03-26,58
2026-03-27,57
2026-03-28,54
2026-03-29,50
2026-03-30,60
2026-03-31,66
2026-04-01,63
2026-04-02,60
2026-04-03,60
2026-04-04,53
2026-04-05,39
2026-04-06,64
2026-04-07,65
2026-04-08,61
2026-04-09,58
2026-04-10,59
2026-04-11,55
2026-04-12,46
2026-04-13,59
2026-04-14,61
2026-04-15,59
2026-04-16,60
2026-04-17,59
2026-04-18,52
2026-04-19,44
2026-04-20,60
2026-04-21,63
2026-04-22,62
2026-04-23,57
2026-04-24,57
2026-04-25,51
2026-04-26,48
2026-04-27,58
2026-04-28,61
2026-04-29,60
2026-04-30,59
2026-05-01,58
2026-05-02,52
2026-05-03,48
2026-05-04,61
2026-05-05,61
2026-05-06,64
2026-05-07,61
2026-05-08,59
2026-05-09,54
2026-05-10,43
2026-05-11,59
2026-05-12,62
2026-05-13,63
2026-05-14,62
2026-05-15,61
2026-05-16,56
2026-05-17,46
2026-05-18,63
2026-05-19,64
2026-05-20,64
2026-05-21,65
2026-05-22,63
2026-05-23,61
2026-05-24,51
2026-05-25,58
2026-05-26,67
2026-05-27,68
2026-05-28,68
2026-05-29,67
2026-05-30,60
2026-05-31,49
