Time,jeff hardy
2023-04-26,28
2023-04-27,26
2023-04-28,25
2023-04-29,32
2023-04-30,26
2023-05-01,21
2023-05-02,22
2023-05-03,25
2023-05-04,20
2023-05-05,22
2023-05-06,28
2023-05-07,25
2023-05-08,29
2023-05-09,19
2023-05-10,21
2023-05-11,19
2023-05-12,19
2023-05-13,24
2023-05-14,31
2023-05-15,18
2023-05-16,19
2023-05-17,23
2023-05-18,24
2023-05-19,22
2023-05-20,19
2023-05-21,28
2023-05-22,14
2023-05-23,15
2023-05-24,23
2023-05-25,17
2023-05-26,21
2023-05-27,30
2023-05-28,32
2023-05-29,100
2023-05-30,53
2023-05-31,34
2023-06-01,26
2023-06-02,20
2023-06-03,27
2023-06-04,23
2023-06-05,17
2023-06-06,19
2023-06-07,22
2023-06-08,15
2023-06-09,16
2023-06-10,17
2023-06-11,18
2023-06-12,23
2023-06-13,21
2023-06-14,24
2023-06-15,19
2023-06-16,19
2023-06-17,29
2023-06-18,36
2023-06-19,26
2023-06-20,21
2023-06-21,22
2023-06-22,40
2023-06-23,31
2023-06-24,27
2023-06-25,58
2023-06-26,32
2023-06-27,17
2023-06-28,20
2023-06-29,23
2023-06-30,24
2023-07-01,31
2023-07-02,26
2023-07-03,29
2023-07-04,29
2023-07-05,27
2023-07-06,30
2023-07-07,25
2023-07-08,39
2023-07-09,36
2023-07-10,30
2023-07-11,25
2023-07-12,20
2023-07-13,30
2023-07-14,31
2023-07-15,31
2023-07-16,34
2023-07-17,28
2023-07-18,19
2023-07-19,21
2023-07-20,27
2023-07-21,24
2023-07-22,25
2023-07-23,33
2023-07-24,30
2023-07-25,25
2023-07-26,25
2023-07-27,24
2023-07-28,24
2023-07-29,31
2023-07-30,28
2023-07-31,16
2023-08-01,18
2023-08-02,16
2023-08-03,24
2023-08-04,16
2023-08-05,38
2023-08-06,26
2023-08-07,19
2023-08-08,18
2023-08-09,20
2023-08-10,41
2023-08-11,28
2023-08-12,34
2023-08-13,33
2023-08-14,29
2023-08-15,26
2023-08-16,28
2023-08-17,41
2023-08-18,33
2023-08-19,27
2023-08-20,26
2023-08-21,24
2023-08-22,26
2023-08-23,26
2023-08-24,32
2023-08-25,20
2023-08-26,34
2023-08-27,35
2023-08-28,25
2023-08-29,27
2023-08-30,28
2023-08-31,39
2023-09-01,39
2023-09-02,30
2023-09-03,27
2023-09-04,22
2023-09-05,28
2023-09-06,30
2023-09-07,34
2023-09-08,27
2023-09-09,41
2023-09-10,29
2023-09-11,22
2023-09-12,17
2023-09-13,20
2023-09-14,18
2023-09-15,21
2023-09-16,26
2023-09-17,28
2023-09-18,17
2023-09-19,24
2023-09-20,22
2023-09-21,25
2023-09-22,19
2023-09-23,24
2023-09-24,33
2023-09-25,16
2023-09-26,16
2023-09-27,20
2023-09-28,16
2023-09-29,23
2023-09-30,27
2023-10-01,27
2023-10-02,66
2023-10-03,27
2023-10-04,29
2023-10-05,31
2023-10-06,26
2023-10-07,32
2023-10-08,23
2023-10-09,25
2023-10-10,17
2023-10-11,17
2023-10-12,16
2023-10-13,22
2023-10-14,23
2023-10-15,13
2023-10-16,17
2023-10-17,13
2023-10-18,18
2023-10-19,21
2023-10-20,26
2023-10-21,21
2023-10-22,20
2023-10-23,17
2023-10-24,21
2023-10-25,17
2023-10-26,21
2023-10-27,21
2023-10-28,22
2023-10-29,31
2023-10-30,17
2023-10-31,20
2023-11-01,17
2023-11-02,18
2023-11-03,16
2023-11-04,17
2023-11-05,23
2023-11-06,19
2023-11-07,0
2023-11-08,11
2023-11-09,17
2023-11-10,15
2023-11-11,18
2023-11-12,13
2023-11-13,17
2023-11-14,14
2023-11-15,17
2023-11-16,18
2023-11-17,17
2023-11-18,22
2023-11-19,17
2023-11-20,13
2023-11-21,14
2023-11-22,15
2023-11-23,18
2023-11-24,17
2023-11-25,16
2023-11-26,28
2023-11-27,13
2023-11-28,21
2023-11-29,18
2023-11-30,23
2023-12-01,23
2023-12-02,22
2023-12-03,18
2023-12-04,28
2023-12-05,21
2023-12-06,21
2023-12-07,20
2023-12-08,15
2023-12-09,15
2023-12-10,22
2023-12-11,20
2023-12-12,16
2023-12-13,16
2023-12-14,15
2023-12-15,19
2023-12-16,23
2023-12-17,27
2023-12-18,23
2023-12-19,24
2023-12-20,23
2023-12-21,26
2023-12-22,22
2023-12-23,27
2023-12-24,26
2023-12-25,15
2023-12-26,19
2023-12-27,17
2023-12-28,20
2023-12-29,23
2023-12-30,32
2023-12-31,20
2024-01-01,21
2024-01-02,21
2024-01-03,22
2024-01-04,23
2024-01-05,20
2024-01-06,32
2024-01-07,28
2024-01-08,28
2024-01-09,24
2024-01-10,28
2024-01-11,25
2024-01-12,29
2024-01-13,29
2024-01-14,24
2024-01-15,23
2024-01-16,17
2024-01-17,21
2024-01-18,20
2024-01-19,21
2024-01-20,32
