Time,la liga
2022-08-29,35
2022-08-30,15
2022-08-31,15
2022-09-01,14
2022-09-02,20
2022-09-03,90
2022-09-04,45
2022-09-05,23
2022-09-06,11
2022-09-07,12
2022-09-08,13
2022-09-09,15
2022-09-10,84
2022-09-11,69
2022-09-12,20
2022-09-13,10
2022-09-14,10
2022-09-15,12
2022-09-16,16
2022-09-17,72
2022-09-18,87
2022-09-19,25
2022-09-20,11
2022-09-21,7
2022-09-22,7
2022-09-23,6
2022-09-24,13
2022-09-25,9
2022-09-26,6
2022-09-27,5
2022-09-28,5
2022-09-29,6
2022-09-30,12
2022-10-01,62
2022-10-02,75
2022-10-03,26
2022-10-04,11
2022-10-05,9
2022-10-06,8
2022-10-07,13
2022-10-08,63
2022-10-09,72
2022-10-10,21
2022-10-11,10
2022-10-12,10
2022-10-13,14
2022-10-14,18
2022-10-15,47
2022-10-16,86
2022-10-17,23
2022-10-18,21
2022-10-19,34
2022-10-20,41
2022-10-21,23
2022-10-22,58
2022-10-23,70
2022-10-24,23
2022-10-25,9
2022-10-26,8
2022-10-27,9
2022-10-28,16
2022-10-29,64
2022-10-30,71
2022-10-31,23
2022-11-01,10
2022-11-02,7
2022-11-03,8
2022-11-04,13
2022-11-05,55
2022-11-06,48
2022-11-07,40
2022-11-08,44
2022-11-09,30
2022-11-10,32
2022-11-11,15
2022-11-12,21
2022-11-13,16
2022-11-14,6
2022-11-15,4
2022-11-16,3
2022-11-17,3
2022-11-18,3
2022-11-19,4
2022-11-20,4
2022-11-21,3
2022-11-22,3
2022-11-23,3
2022-11-24,4
2022-11-25,3
2022-11-26,4
2022-11-27,5
2022-11-28,3
2022-11-29,3
2022-11-30,3
2022-12-01,4
2022-12-02,3
2022-12-03,4
2022-12-04,4
2022-12-05,3
2022-12-06,3
2022-12-07,3
2022-12-08,3
2022-12-09,3
2022-12-10,4
2022-12-11,4
2022-12-12,3
2022-12-13,3
2022-12-14,3
2022-12-15,3
2022-12-16,3
2022-12-17,4
2022-12-18,6
2022-12-19,6
2022-12-20,6
2022-12-21,6
2022-12-22,6
2022-12-23,6
2022-12-24,7
2022-12-25,7
2022-12-26,12
2022-12-27,10
2022-12-28,11
2022-12-29,24
2022-12-30,38
2022-12-31,50
2023-01-01,20
2023-01-02,13
2023-01-03,12
2023-01-04,13
2023-01-05,11
2023-01-06,16
2023-01-07,53
2023-01-08,62
2023-01-09,23
2023-01-10,11
2023-01-11,12
2023-01-12,12
2023-01-13,13
2023-01-14,30
2023-01-15,33
2023-01-16,17
2023-01-17,12
2023-01-18,9
2023-01-19,12
2023-01-20,14
2023-01-21,41
2023-01-22,73
2023-01-23,20
2023-01-24,12
2023-01-25,12
2023-01-26,14
2023-01-27,15
2023-01-28,50
2023-01-29,60
2023-01-30,23
2023-01-31,14
2023-02-01,28
2023-02-02,32
2023-02-03,20
2023-02-04,46
2023-02-05,93
2023-02-06,25
2023-02-07,12
2023-02-08,11
2023-02-09,11
2023-02-10,15
2023-02-11,39
2023-02-12,58
2023-02-13,19
2023-02-14,11
2023-02-15,25
2023-02-16,19
2023-02-17,17
2023-02-18,56
2023-02-19,67
2023-02-20,25
2023-02-21,12
2023-02-22,9
2023-02-23,11
2023-02-24,18
2023-02-25,68
2023-02-26,78
2023-02-27,24
2023-02-28,13
2023-03-01,11
2023-03-02,15
2023-03-03,15
2023-03-04,46
2023-03-05,91
2023-03-06,24
2023-03-07,10
2023-03-08,8
2023-03-09,10
2023-03-10,16
2023-03-11,51
2023-03-12,75
2023-03-13,25
2023-03-14,11
2023-03-15,8
2023-03-16,9
2023-03-17,14
2023-03-18,43
2023-03-19,100
2023-03-20,27
2023-03-21,10
2023-03-22,7
2023-03-23,7
2023-03-24,6
2023-03-25,13
2023-03-26,11
2023-03-27,6
2023-03-28,6
2023-03-29,6
2023-03-30,7
2023-03-31,11
2023-04-01,47
2023-04-02,60
2023-04-03,18
2023-04-04,10
2023-04-05,15
2023-04-06,11
2023-04-07,14
2023-04-08,56
2023-04-09,57
2023-04-10,33
2023-04-11,12
2023-04-12,8
2023-04-13,8
2023-04-14,14
2023-04-15,57
2023-04-16,76
2023-04-17,23
2023-04-18,10
2023-04-19,8
2023-04-20,10
2023-04-21,16
2023-04-22,60
2023-04-23,78
2023-04-24,21
2023-04-25,39
2023-04-26,49
2023-04-27,26
2023-04-28,20
2023-04-29,83
2023-04-30,50
2023-05-01,27
2023-05-02,55
2023-05-03,35
2023-05-04,28
2023-05-05,18
2023-05-06,35
2023-05-07,37
2023-05-08,20
2023-05-09,11
2023-05-10,10
2023-05-11,15
2023-05-12,20
2023-05-13,51
2023-05-14,91
2023-05-15,36
2023-05-16,15
2023-05-17,12
2023-05-18,16
2023-05-19,20
2023-05-20,44
2023-05-21,67
2023-05-22,32
2023-05-23,32
2023-05-24,38
2023-05-25,26
