Time,la liga
2023-12-22,23
2023-12-23,30
2023-12-24,15
2023-12-25,8
2023-12-26,11
2023-12-27,9
2023-12-28,8
2023-12-29,9
2023-12-30,12
2023-12-31,10
2024-01-01,9
2024-01-02,22
2024-01-03,55
2024-01-04,50
2024-01-05,19
2024-01-06,23
2024-01-07,14
2024-01-08,8
2024-01-09,8
2024-01-10,11
2024-01-11,11
2024-01-12,12
2024-01-13,30
2024-01-14,33
2024-01-15,12
2024-01-16,9
2024-01-17,10
2024-01-18,12
2024-01-19,13
2024-01-20,36
2024-01-21,82
2024-01-22,29
2024-01-23,14
2024-01-24,15
2024-01-25,14
2024-01-26,14
2024-01-27,67
2024-01-28,46
2024-01-29,19
2024-01-30,14
2024-01-31,33
2024-02-01,29
2024-02-02,20
2024-02-03,60
2024-02-04,81
2024-02-05,26
2024-02-06,13
2024-02-07,12
2024-02-08,11
2024-02-09,16
2024-02-10,71
2024-02-11,70
2024-02-12,20
2024-02-13,10
2024-02-14,8
2024-02-15,8
2024-02-16,14
2024-02-17,55
2024-02-18,60
2024-02-19,32
2024-02-20,16
2024-02-21,11
2024-02-22,11
2024-02-23,15
2024-02-24,62
2024-02-25,70
2024-02-26,27
2024-02-27,15
2024-02-28,10
2024-02-29,12
2024-03-01,16
2024-03-02,74
2024-03-03,89
2024-03-04,24
2024-03-05,10
2024-03-06,8
2024-03-07,8
2024-03-08,25
2024-03-09,52
2024-03-10,65
2024-03-11,20
2024-03-12,10
2024-03-13,9
2024-03-14,9
2024-03-15,15
2024-03-16,66
2024-03-17,78
2024-03-18,22
2024-03-19,10
2024-03-20,8
2024-03-21,6
2024-03-22,6
2024-03-23,11
2024-03-24,9
2024-03-25,5
2024-03-26,4
2024-03-27,5
2024-03-28,7
2024-03-29,13
2024-03-30,52
2024-03-31,62
2024-04-01,23
2024-04-02,10
2024-04-03,9
2024-04-04,10
2024-04-05,12
2024-04-06,33
2024-04-07,27
2024-04-08,8
2024-04-09,7
2024-04-10,8
2024-04-11,8
2024-04-12,13
2024-04-13,78
2024-04-14,41
2024-04-15,17
2024-04-16,10
2024-04-17,10
2024-04-18,10
2024-04-19,14
2024-04-20,39
2024-04-21,100
2024-04-22,28
2024-04-23,12
2024-04-24,11
2024-04-25,12
2024-04-26,31
2024-04-27,43
2024-04-28,43
2024-04-29,36
2024-04-30,14
2024-05-01,8
2024-05-02,8
2024-05-03,18
2024-05-04,88
2024-05-05,41
2024-05-06,17
2024-05-07,9
2024-05-08,9
2024-05-09,12
2024-05-10,17
2024-05-11,43
2024-05-12,41
2024-05-13,32
2024-05-14,35
2024-05-15,26
2024-05-16,29
2024-05-17,16
2024-05-18,31
2024-05-19,69
2024-05-20,23
2024-05-21,10
2024-05-22,8
2024-05-23,8
2024-05-24,18
2024-05-25,39
2024-05-26,37
2024-05-27,18
2024-05-28,7
2024-05-29,5
2024-05-30,5
2024-05-31,4
2024-06-01,8
2024-06-02,7
2024-06-03,5
2024-06-04,4
2024-06-05,3
2024-06-06,4
2024-06-07,3
2024-06-08,4
2024-06-09,3
2024-06-10,3
2024-06-11,3
2024-06-12,3
2024-06-13,3
2024-06-14,3
2024-06-15,3
2024-06-16,4
2024-06-17,3
2024-06-18,3
2024-06-19,3
2024-06-20,2
2024-06-21,2
2024-06-22,3
2024-06-23,4
2024-06-24,3
2024-06-25,3
2024-06-26,3
2024-06-27,2
2024-06-28,2
2024-06-29,2
2024-06-30,3
2024-07-01,3
2024-07-02,2
2024-07-03,2
2024-07-04,2
2024-07-05,3
2024-07-06,5
2024-07-07,6
2024-07-08,3
2024-07-09,3
2024-07-10,3
2024-07-11,3
2024-07-12,3
2024-07-13,6
2024-07-14,6
2024-07-15,5
2024-07-16,5
2024-07-17,7
2024-07-18,7
2024-07-19,4
2024-07-20,7
2024-07-21,9
2024-07-22,5
2024-07-23,4
2024-07-24,5
2024-07-25,5
2024-07-26,4
2024-07-27,4
2024-07-28,5
2024-07-29,3
2024-07-30,2
2024-07-31,3
2024-08-01,3
2024-08-02,3
2024-08-03,4
2024-08-04,5
2024-08-05,4
2024-08-06,3
2024-08-07,4
2024-08-08,3
2024-08-09,4
2024-08-10,6
2024-08-11,6
2024-08-12,6
2024-08-13,5
2024-08-14,7
2024-08-15,22
2024-08-16,26
2024-08-17,57
2024-08-18,68
2024-08-19,31
2024-08-20,16
2024-08-21,10
2024-08-22,10
2024-08-23,20
2024-08-24,61
2024-08-25,80
2024-08-26,25
2024-08-27,36
2024-08-28,36
2024-08-29,42
2024-08-30,25
2024-08-31,76
2024-09-01,89
2024-09-02,28
2024-09-03,12
2024-09-04,9
2024-09-05,8
2024-09-06,7
2024-09-07,11
2024-09-08,9
2024-09-09,6
2024-09-10,6
2024-09-11,6
2024-09-12,7
2024-09-13,15
2024-09-14,63
2024-09-15,64
2024-09-16,21
