Time,duke basketball
2022-08-29,1
2022-08-30,1
2022-08-31,1
2022-09-01,1
2022-09-02,1
2022-09-03,1
2022-09-04,1
2022-09-05,1
2022-09-06,1
2022-09-07,1
2022-09-08,1
2022-09-09,1
2022-09-10,2
2022-09-11,1
2022-09-12,1
2022-09-13,1
2022-09-14,2
2022-09-15,1
2022-09-16,1
2022-09-17,1
2022-09-18,1
2022-09-19,1
2022-09-20,1
2022-09-21,1
2022-09-22,1
2022-09-23,1
2022-09-24,2
2022-09-25,1
2022-09-26,1
2022-09-27,1
2022-09-28,1
2022-09-29,1
2022-09-30,1
2022-10-01,1
2022-10-02,1
2022-10-03,1
2022-10-04,1
2022-10-05,1
2022-10-06,1
2022-10-07,1
2022-10-08,2
2022-10-09,1
2022-10-10,1
2022-10-11,1
2022-10-12,2
2022-10-13,1
2022-10-14,2
2022-10-15,2
2022-10-16,2
2022-10-17,2
2022-10-18,2
2022-10-19,2
2022-10-20,2
2022-10-21,2
2022-10-22,3
2022-10-23,2
2022-10-24,2
2022-10-25,2
2022-10-26,2
2022-10-27,2
2022-10-28,2
2022-10-29,3
2022-10-30,2
2022-10-31,2
2022-11-01,2
2022-11-02,4
2022-11-03,5
2022-11-04,3
2022-11-05,3
2022-11-06,3
2022-11-07,7
2022-11-08,14
2022-11-09,4
2022-11-10,4
2022-11-11,7
2022-11-12,13
2022-11-13,4
2022-11-14,4
2022-11-15,8
2022-11-16,31
2022-11-17,6
2022-11-18,7
2022-11-19,13
2022-11-20,5
2022-11-21,6
2022-11-22,10
2022-11-23,5
2022-11-24,16
2022-11-25,20
2022-11-26,13
2022-11-27,19
2022-11-28,8
2022-11-29,4
2022-11-30,7
2022-12-01,18
2022-12-02,4
2022-12-03,10
2022-12-04,6
2022-12-05,4
2022-12-06,6
2022-12-07,17
2022-12-08,4
2022-12-09,4
2022-12-10,9
2022-12-11,9
2022-12-12,4
2022-12-13,4
2022-12-14,4
2022-12-15,3
2022-12-16,3
2022-12-17,6
2022-12-18,4
2022-12-19,3
2022-12-20,6
2022-12-21,12
2022-12-22,4
2022-12-23,3
2022-12-24,3
2022-12-25,3
2022-12-26,3
2022-12-27,3
2022-12-28,5
2022-12-29,4
2022-12-30,5
2022-12-31,11
2023-01-01,5
2023-01-02,3
2023-01-03,3
2023-01-04,6
2023-01-05,19
2023-01-06,5
2023-01-07,16
2023-01-08,5
2023-01-09,3
2023-01-10,4
2023-01-11,7
2023-01-12,14
2023-01-13,4
2023-01-14,12
2023-01-15,11
2023-01-16,4
2023-01-17,4
2023-01-18,5
2023-01-19,4
2023-01-20,6
2023-01-21,19
2023-01-22,7
2023-01-23,8
2023-01-24,18
2023-01-25,5
2023-01-26,4
2023-01-27,5
2023-01-28,15
2023-01-29,8
2023-01-30,5
2023-01-31,8
2023-02-01,14
2023-02-02,5
2023-02-03,6
2023-02-04,24
2023-02-05,42
2023-02-06,10
2023-02-07,17
2023-02-08,5
2023-02-09,4
2023-02-10,4
2023-02-11,24
2023-02-12,14
2023-02-13,5
2023-02-14,7
2023-02-15,13
2023-02-16,4
2023-02-17,5
2023-02-18,13
2023-02-19,15
2023-02-20,10
2023-02-21,17
2023-02-22,5
2023-02-23,5
2023-02-24,5
2023-02-25,13
2023-02-26,23
2023-02-27,7
2023-02-28,9
2023-03-01,19
2023-03-02,5
2023-03-03,6
2023-03-04,23
2023-03-05,37
2023-03-06,6
2023-03-07,5
2023-03-08,6
2023-03-09,25
2023-03-10,19
2023-03-11,49
2023-03-12,64
2023-03-13,15
2023-03-14,11
2023-03-15,12
2023-03-16,26
2023-03-17,40
2023-03-18,100
2023-03-19,26
2023-03-20,8
2023-03-21,10
2023-03-22,4
2023-03-23,4
2023-03-24,4
2023-03-25,4
2023-03-26,5
2023-03-27,4
2023-03-28,4
2023-03-29,3
2023-03-30,3
2023-03-31,3
2023-04-01,4
2023-04-02,4
2023-04-03,3
2023-04-04,5
2023-04-05,3
2023-04-06,3
2023-04-07,3
2023-04-08,3
2023-04-09,3
2023-04-10,2
2023-04-11,4
2023-04-12,3
2023-04-13,3
2023-04-14,2
2023-04-15,2
2023-04-16,2
2023-04-17,2
2023-04-18,2
2023-04-19,2
2023-04-20,2
2023-04-21,2
2023-04-22,2
2023-04-23,2
2023-04-24,2
2023-04-25,2
2023-04-26,2
2023-04-27,2
2023-04-28,2
2023-04-29,1
2023-04-30,1
2023-05-01,1
2023-05-02,1
2023-05-03,1
2023-05-04,1
2023-05-05,1
2023-05-06,1
2023-05-07,1
2023-05-08,1
2023-05-09,1
2023-05-10,1
2023-05-11,2
2023-05-12,2
2023-05-13,2
2023-05-14,2
2023-05-15,2
2023-05-16,2
2023-05-17,2
2023-05-18,2
2023-05-19,2
2023-05-20,2
2023-05-21,2
2023-05-22,2
2023-05-23,2
2023-05-24,2
2023-05-25,2
