Time,kamala harris
2023-04-26,30
2023-04-27,25
2023-04-28,24
2023-04-29,23
2023-04-30,23
2023-05-01,19
2023-05-02,21
2023-05-03,65
2023-05-04,36
2023-05-05,71
2023-05-06,39
2023-05-07,19
2023-05-08,18
2023-05-09,17
2023-05-10,18
2023-05-11,19
2023-05-12,28
2023-05-13,21
2023-05-14,16
2023-05-15,20
2023-05-16,17
2023-05-17,17
2023-05-18,15
2023-05-19,14
2023-05-20,15
2023-05-21,13
2023-05-22,13
2023-05-23,14
2023-05-24,14
2023-05-25,13
2023-05-26,10
2023-05-27,15
2023-05-28,14
2023-05-29,50
2023-05-30,21
2023-05-31,11
2023-06-01,13
2023-06-02,15
2023-06-03,11
2023-06-04,11
2023-06-05,12
2023-06-06,12
2023-06-07,13
2023-06-08,13
2023-06-09,13
2023-06-10,10
2023-06-11,10
2023-06-12,13
2023-06-13,13
2023-06-14,28
2023-06-15,20
2023-06-16,17
2023-06-17,15
2023-06-18,13
2023-06-19,16
2023-06-20,19
2023-06-21,15
2023-06-22,9
2023-06-23,15
2023-06-24,33
2023-06-25,41
2023-06-26,17
2023-06-27,35
2023-06-28,33
2023-06-29,21
2023-06-30,20
2023-07-01,13
2023-07-02,13
2023-07-03,12
2023-07-04,12
2023-07-05,13
2023-07-06,14
2023-07-07,25
2023-07-08,100
2023-07-09,28
2023-07-10,13
2023-07-11,13
2023-07-12,16
2023-07-13,65
2023-07-14,73
2023-07-15,36
2023-07-16,41
2023-07-17,43
2023-07-18,20
2023-07-19,16
2023-07-20,15
2023-07-21,26
2023-07-22,44
2023-07-23,56
2023-07-24,23
2023-07-25,20
2023-07-26,19
2023-07-27,15
2023-07-28,18
2023-07-29,19
2023-07-30,21
2023-07-31,23
2023-08-01,27
2023-08-02,22
2023-08-03,24
2023-08-04,20
2023-08-05,17
2023-08-06,20
2023-08-07,22
2023-08-08,19
2023-08-09,13
2023-08-10,14
2023-08-11,17
2023-08-12,17
2023-08-13,15
2023-08-14,13
2023-08-15,33
2023-08-16,29
2023-08-17,14
2023-08-18,12
2023-08-19,12
2023-08-20,12
2023-08-21,13
2023-08-22,14
2023-08-23,12
2023-08-24,18
2023-08-25,14
2023-08-26,15
2023-08-27,18
2023-08-28,16
2023-08-29,16
2023-08-30,13
2023-08-31,14
2023-09-01,10
2023-09-02,12
2023-09-03,12
2023-09-04,13
2023-09-05,13
2023-09-06,27
2023-09-07,31
2023-09-08,25
2023-09-09,19
2023-09-10,39
2023-09-11,74
2023-09-12,52
2023-09-13,25
2023-09-14,25
2023-09-15,23
2023-09-16,16
2023-09-17,15
2023-09-18,13
2023-09-19,15
2023-09-20,14
2023-09-21,14
2023-09-22,14
2023-09-23,14
2023-09-24,15
2023-09-25,14
2023-09-26,17
2023-09-27,16
2023-09-28,17
2023-09-29,19
2023-09-30,14
2023-10-01,11
2023-10-02,15
2023-10-03,12
2023-10-04,16
2023-10-05,14
2023-10-06,15
2023-10-07,11
2023-10-08,10
2023-10-09,10
2023-10-10,20
2023-10-11,35
2023-10-12,27
2023-10-13,15
2023-10-14,66
2023-10-15,27
2023-10-16,17
2023-10-17,22
2023-10-18,17
2023-10-19,15
2023-10-20,20
2023-10-21,16
2023-10-22,12
2023-10-23,11
2023-10-24,11
2023-10-25,11
2023-10-26,12
2023-10-27,14
2023-10-28,12
2023-10-29,30
2023-10-30,33
2023-10-31,17
2023-11-01,15
2023-11-02,20
2023-11-03,15
2023-11-04,14
2023-11-05,14
2023-11-06,17
2023-11-07,14
2023-11-08,15
2023-11-09,20
2023-11-10,15
2023-11-11,12
2023-11-12,12
2023-11-13,12
2023-11-14,11
2023-11-15,13
2023-11-16,12
2023-11-17,13
2023-11-18,9
2023-11-19,10
2023-11-20,11
2023-11-21,12
2023-11-22,11
2023-11-23,12
2023-11-24,15
2023-11-25,16
2023-11-26,12
2023-11-27,11
2023-11-28,12
2023-11-29,11
2023-11-30,15
2023-12-01,12
2023-12-02,12
2023-12-03,14
2023-12-04,13
2023-12-05,15
2023-12-06,14
2023-12-07,13
2023-12-08,14
2023-12-09,11
2023-12-10,10
2023-12-11,10
2023-12-12,12
2023-12-13,13
2023-12-14,13
2023-12-15,11
2023-12-16,22
2023-12-17,13
2023-12-18,10
2023-12-19,12
2023-12-20,18
2023-12-21,17
2023-12-22,12
2023-12-23,11
2023-12-24,10
2023-12-25,12
2023-12-26,9
2023-12-27,16
2023-12-28,15
2023-12-29,10
2023-12-30,12
2023-12-31,10
2024-01-01,10
2024-01-02,9
2024-01-03,12
2024-01-04,11
2024-01-05,10
2024-01-06,16
2024-01-07,13
2024-01-08,12
2024-01-09,15
2024-01-10,14
2024-01-11,18
2024-01-12,11
2024-01-13,9
2024-01-14,9
2024-01-15,15
2024-01-16,18
2024-01-17,24
2024-01-18,21
2024-01-19,19
2024-01-20,16
