Time,denver broncos
2022-01-01,9
2022-01-02,27
2022-01-03,14
2022-01-04,8
2022-01-05,6
2022-01-06,5
2022-01-07,6
2022-01-08,33
2022-01-09,37
2022-01-10,12
2022-01-11,9
2022-01-12,8
2022-01-13,9
2022-01-14,6
2022-01-15,6
2022-01-16,8
2022-01-17,7
2022-01-18,7
2022-01-19,6
2022-01-20,6
2022-01-21,6
2022-01-22,7
2022-01-23,9
2022-01-24,9
2022-01-25,7
2022-01-26,8
2022-01-27,16
2022-01-28,12
2022-01-29,9
2022-01-30,9
2022-01-31,10
2022-02-01,10
2022-02-02,12
2022-02-03,9
2022-02-04,7
2022-02-05,7
2022-02-06,6
2022-02-07,6
2022-02-08,6
2022-02-09,6
2022-02-10,6
2022-02-11,6
2022-02-12,6
2022-02-13,7
2022-02-14,8
2022-02-15,5
2022-02-16,6
2022-02-17,5
2022-02-18,5
2022-02-19,5
2022-02-20,5
2022-02-21,5
2022-02-22,5
2022-02-23,5
2022-02-24,4
2022-02-25,4
2022-02-26,4
2022-02-27,4
2022-02-28,4
2022-03-01,4
2022-03-02,4
2022-03-03,4
2022-03-04,4
2022-03-05,4
2022-03-06,5
2022-03-07,5
2022-03-08,39
2022-03-09,28
2022-03-10,14
2022-03-11,10
2022-03-12,9
2022-03-13,8
2022-03-14,11
2022-03-15,17
2022-03-16,16
2022-03-17,13
2022-03-18,13
2022-03-19,11
2022-03-20,8
2022-03-21,9
2022-03-22,8
2022-03-23,9
2022-03-24,13
2022-03-25,13
2022-03-26,9
2022-03-27,8
2022-03-28,6
2022-03-29,6
2022-03-30,6
2022-03-31,5
2022-04-01,5
2022-04-02,6
2022-04-03,5
2022-04-04,5
2022-04-05,5
2022-04-06,4
2022-04-07,5
2022-04-08,6
2022-04-09,5
2022-04-10,5
2022-04-11,5
2022-04-12,5
2022-04-13,5
2022-04-14,5
2022-04-15,5
2022-04-16,4
2022-04-17,4
2022-04-18,4
2022-04-19,5
2022-04-20,4
2022-04-21,4
2022-04-22,4
2022-04-23,4
2022-04-24,5
2022-04-25,4
2022-04-26,4
2022-04-27,6
2022-04-28,6
2022-04-29,11
2022-04-30,22
2022-05-01,10
2022-05-02,6
2022-05-03,5
2022-05-04,5
2022-05-05,7
2022-05-06,5
2022-05-07,5
2022-05-08,4
2022-05-09,4
2022-05-10,5
2022-05-11,5
2022-05-12,8
2022-05-13,14
2022-05-14,6
2022-05-15,5
2022-05-16,5
2022-05-17,5
2022-05-18,4
2022-05-19,4
2022-05-20,4
2022-05-21,4
2022-05-22,4
2022-05-23,4
2022-05-24,4
2022-05-25,4
2022-05-26,4
2022-05-27,4
2022-05-28,4
2022-05-29,4
2022-05-30,4
2022-05-31,4
2022-06-01,4
2022-06-02,3
2022-06-03,4
2022-06-04,4
2022-06-05,4
2022-06-06,8
2022-06-07,8
2022-06-08,12
2022-06-09,8
2022-06-10,6
2022-06-11,5
2022-06-12,5
2022-06-13,4
2022-06-14,4
2022-06-15,5
2022-06-16,4
2022-06-17,4
2022-06-18,4
2022-06-19,4
2022-06-20,4
2022-06-21,4
2022-06-22,4
2022-06-23,4
2022-06-24,3
2022-06-25,3
2022-06-26,4
2022-06-27,4
2022-06-28,4
2022-06-29,3
2022-06-30,3
2022-07-01,3
2022-07-02,3
2022-07-03,4
2022-07-04,4
2022-07-05,4
2022-07-06,4
2022-07-07,3
2022-07-08,3
2022-07-09,4
2022-07-10,4
2022-07-11,5
2022-07-12,6
2022-07-13,4
2022-07-14,4
2022-07-15,5
2022-07-16,4
2022-07-17,4
2022-07-18,4
2022-07-19,4
2022-07-20,4
2022-07-21,4
2022-07-22,4
2022-07-23,4
2022-07-24,5
2022-07-25,5
2022-07-26,5
2022-07-27,5
2022-07-28,5
2022-07-29,6
2022-07-30,6
2022-07-31,6
2022-08-01,6
2022-08-02,9
2022-08-03,8
2022-08-04,7
2022-08-05,8
2022-08-06,7
2022-08-07,6
2022-08-08,7
2022-08-09,8
2022-08-10,9
2022-08-11,9
2022-08-12,9
2022-08-13,18
2022-08-14,37
2022-08-15,10
2022-08-16,8
2022-08-17,8
2022-08-18,7
2022-08-19,9
2022-08-20,21
2022-08-21,12
2022-08-22,8
2022-08-23,8
2022-08-24,7
2022-08-25,7
2022-08-26,8
2022-08-27,15
2022-08-28,27
2022-08-29,11
2022-08-30,13
2022-08-31,10
2022-09-01,10
2022-09-02,9
2022-09-03,11
2022-09-04,12
2022-09-05,10
2022-09-06,9
2022-09-07,8
2022-09-08,9
2022-09-09,9
2022-09-10,8
2022-09-11,19
2022-09-12,30
2022-09-13,100
2022-09-14,11
2022-09-15,9
2022-09-16,9
2022-09-17,9
2022-09-18,61
2022-09-19,25
2022-09-20,10
2022-09-21,8
2022-09-22,8
2022-09-23,8
2022-09-24,9
2022-09-25,34
2022-09-26,77
2022-09-27,12
