Time,dire_wolf
2022-01-01,58.0
2022-01-02,64.0
2022-01-03,39.0
2022-01-04,51.0
2022-01-05,51.0
2022-01-06,48.0
2022-01-07,52.0
2022-01-08,77.0
2022-01-09,68.0
2022-01-10,57.0
2022-01-11,41.0
2022-01-12,54.0
2022-01-13,54.0
2022-01-14,45.0
2022-01-15,60.0
2022-01-16,53.0
2022-01-17,46.0
2022-01-18,30.0
2022-01-19,31.0
2022-01-20,38.0
2022-01-21,31.0
2022-01-22,66.0
2022-01-23,71.0
2022-01-24,59.0
2022-01-25,65.0
2022-01-26,49.0
2022-01-27,34.0
2022-01-28,52.0
2022-01-29,56.0
2022-01-30,53.0
2022-01-31,41.0
2022-02-01,52.0
2022-02-02,73.0
2022-02-03,45.0
2022-02-04,30.0
2022-02-05,36.0
2022-02-06,78.0
2022-02-07,52.0
2022-02-08,39.0
2022-02-09,36.0
2022-02-10,42.0
2022-02-11,57.0
2022-02-12,74.0
2022-02-13,66.0
2022-02-14,49.0
2022-02-15,44.0
2022-02-16,26.0
2022-02-17,39.0
2022-02-18,52.0
2022-02-19,73.0
2022-02-20,49.0
2022-02-21,49.0
2022-02-22,35.0
2022-02-23,38.0
2022-02-24,43.0
2022-02-25,39.0
2022-02-26,68.0
2022-02-27,56.0
2022-02-28,42.0
2022-03-01,49.0
2022-03-02,42.0
2022-03-03,36.0
2022-03-04,45.0
2022-03-05,49.0
2022-03-06,71.0
2022-03-07,44.0
2022-03-08,46.0
2022-03-09,51.0
2022-03-10,31.0
2022-03-11,45.0
2022-03-12,62.0
2022-03-13,65.0
2022-03-14,40.0
2022-03-15,43.0
2022-03-16,34.0
2022-03-17,41.0
2022-03-18,42.0
2022-03-19,66.0
2022-03-20,56.0
2022-03-21,48.0
2022-03-22,38.0
2022-03-23,55.0
2022-03-24,48.0
2022-03-25,51.0
2022-03-26,63.0
2022-03-27,67.0
2022-03-28,46.0
2022-03-29,40.0
2022-03-30,32.0
2022-03-31,53.0
2022-04-01,54.0
2022-04-02,47.0
2022-04-03,51.0
2022-04-04,29.0
2022-04-05,41.0
2022-04-06,42.0
2022-04-07,45.0
2022-04-08,42.0
2022-04-09,49.0
2022-04-10,54.0
2022-04-11,38.0
2022-04-12,36.0
2022-04-13,39.0
2022-04-14,50.0
2022-04-15,56.0
2022-04-16,58.0
2022-04-17,63.0
2022-04-18,53.0
2022-04-19,40.0
2022-04-20,40.0
2022-04-21,55.0
2022-04-22,38.0
2022-04-23,56.0
2022-04-24,64.0
2022-04-25,47.0
2022-04-26,46.0
2022-04-27,29.0
2022-04-28,37.0
2022-04-29,27.0
2022-04-30,64.0
2022-05-01,53.0
2022-05-02,49.0
2022-05-03,41.0
2022-05-04,47.0
2022-05-05,42.0
2022-05-06,47.0
2022-05-07,56.0
2022-05-08,52.0
2022-05-09,40.0
2022-05-10,54.0
2022-05-11,41.0
2022-05-12,48.0
2022-05-13,40.0
2022-05-14,56.0
2022-05-15,45.0
2022-05-16,41.0
2022-05-17,55.0
2022-05-18,49.0
2022-05-19,45.0
2022-05-20,38.0
2022-05-21,62.0
2022-05-22,46.0
2022-05-23,32.0
2022-05-24,43.0
2022-05-25,38.0
2022-05-26,38.0
2022-05-27,42.0
2022-05-28,61.0
2022-05-29,40.0
2022-05-30,43.0
2022-05-31,70.0
2022-06-01,51.0
2022-06-02,54.0
2022-06-03,40.0
2022-06-04,56.0
2022-06-05,38.0
2022-06-06,31.0
2022-06-07,37.0
2022-06-08,41.0
2022-06-09,53.0
2022-06-10,47.0
2022-06-11,49.0
2022-06-12,61.0
2022-06-13,43.0
2022-06-14,47.0
2022-06-15,33.0
2022-06-16,55.0
2022-06-17,51.0
2022-06-18,54.0
2022-06-19,58.0
2022-06-20,27.0
2022-06-21,34.0
2022-06-22,44.0
2022-06-23,50.0
2022-06-24,31.0
2022-06-25,33.0
2022-06-26,61.0
2022-06-27,43.0
2022-06-28,44.0
2022-06-29,43.0
2022-06-30,39.0
2022-07-01,41.0
2022-07-02,46.0
2022-07-03,61.0
2022-07-04,49.0
2022-07-05,54.0
2022-07-06,50.0
2022-07-07,38.0
2022-07-08,38.0
2022-07-09,54.0
2022-07-10,72.0
2022-07-11,54.0
2022-07-12,49.0
2022-07-13,49.0
2022-07-14,46.0
2022-07-15,49.0
2022-07-16,44.0
2022-07-17,63.0
2022-07-18,59.0
2022-07-19,49.0
2022-07-20,39.0
2022-07-21,53.0
2022-07-22,54.0
2022-07-23,68.0
2022-07-24,84.0
2022-07-25,60.0
2022-07-26,67.0
2022-07-27,38.0
2022-07-28,55.0
2022-07-29,59.0
2022-07-30,50.0
2022-07-31,68.0
2022-08-01,44.0
2022-08-02,53.0
2022-08-03,46.0
2022-08-04,47.0
2022-08-05,60.0
2022-08-06,62.0
2022-08-07,80.0
2022-08-08,76.0
2022-08-09,55.0
