Time,wingstop
2024-08-18,47
2024-08-19,35
2024-08-20,33
2024-08-21,33
2024-08-22,35
2024-08-23,40
2024-08-24,52
2024-08-25,51
2024-08-26,36
2024-08-27,33
2024-08-28,33
2024-08-29,37
2024-08-30,45
2024-08-31,57
2024-09-01,52
2024-09-02,50
2024-09-03,31
2024-09-04,33
2024-09-05,33
2024-09-06,38
2024-09-07,56
2024-09-08,62
2024-09-09,33
2024-09-10,33
2024-09-11,31
2024-09-12,39
2024-09-13,41
2024-09-14,54
2024-09-15,66
2024-09-16,34
2024-09-17,35
2024-09-18,33
2024-09-19,34
2024-09-20,39
2024-09-21,49
2024-09-22,58
2024-09-23,36
2024-09-24,31
2024-09-25,34
2024-09-26,33
2024-09-27,42
2024-09-28,52
2024-09-29,54
2024-09-30,32
2024-10-01,33
2024-10-02,30
2024-10-03,34
2024-10-04,39
2024-10-05,50
2024-10-06,50
2024-10-07,36
2024-10-08,31
2024-10-09,31
2024-10-10,34
2024-10-11,40
2024-10-12,49
2024-10-13,50
2024-10-14,33
2024-10-15,31
2024-10-16,28
2024-10-17,30
2024-10-18,38
2024-10-19,50
2024-10-20,50
2024-10-21,32
2024-10-22,28
2024-10-23,30
2024-10-24,33
2024-10-25,39
2024-10-26,49
2024-10-27,51
2024-10-28,30
2024-10-29,32
2024-10-30,29
2024-10-31,32
2024-11-01,45
2024-11-02,46
2024-11-03,47
2024-11-04,33
2024-11-05,29
2024-11-06,22
2024-11-07,32
2024-11-08,39
2024-11-09,54
2024-11-10,53
2024-11-11,38
2024-11-12,30
2024-11-13,29
2024-11-14,30
2024-11-15,38
2024-11-16,55
2024-11-17,50
2024-11-18,31
2024-11-19,28
2024-11-20,31
2024-11-21,30
2024-11-22,34
2024-11-23,45
2024-11-24,43
2024-11-25,32
2024-11-26,31
2024-11-27,36
2024-11-28,32
2024-11-29,24
2024-11-30,38
2024-12-01,44
2024-12-02,29
2024-12-03,28
2024-12-04,29
2024-12-05,29
2024-12-06,34
2024-12-07,48
2024-12-08,48
2024-12-09,32
2024-12-10,28
2024-12-11,28
2024-12-12,33
2024-12-13,36
2024-12-14,46
2024-12-15,47
2024-12-16,34
2024-12-17,31
2024-12-18,33
2024-12-19,34
2024-12-20,37
2024-12-21,45
2024-12-22,47
2024-12-23,42
2024-12-24,47
2024-12-25,42
2024-12-26,34
2024-12-27,42
2024-12-28,41
2024-12-29,49
2024-12-30,40
2024-12-31,48
2025-01-01,53
2025-01-02,39
2025-01-03,36
2025-01-04,43
2025-01-05,42
2025-01-06,30
2025-01-07,28
2025-01-08,34
2025-01-09,30
2025-01-10,37
2025-01-11,43
2025-01-12,49
2025-01-13,33
2025-01-14,30
2025-01-15,29
2025-01-16,32
2025-01-17,38
2025-01-18,49
2025-01-19,45
2025-01-20,42
2025-01-21,35
2025-01-22,32
2025-01-23,30
2025-01-24,37
2025-01-25,47
2025-01-26,60
2025-01-27,37
2025-01-28,35
2025-01-29,31
2025-01-30,36
2025-01-31,37
2025-02-01,46
2025-02-02,45
2025-02-03,32
2025-02-04,32
2025-02-05,31
2025-02-06,30
2025-02-07,36
2025-02-08,45
2025-02-09,100
2025-02-10,34
2025-02-11,28
2025-02-12,28
2025-02-13,28
2025-02-14,36
2025-02-15,51
2025-02-16,41
2025-02-17,36
2025-02-18,30
2025-02-19,29
2025-02-20,30
2025-02-21,34
2025-02-22,43
2025-02-23,44
2025-02-24,31
2025-02-25,33
2025-02-26,34
2025-02-27,33
2025-02-28,34
2025-03-01,47
2025-03-02,45
2025-03-03,32
2025-03-04,31
2025-03-05,32
2025-03-06,33
2025-03-07,36
2025-03-08,44
2025-03-09,46
2025-03-10,33
2025-03-11,30
2025-03-12,30
2025-03-13,32
2025-03-14,35
2025-03-15,43
2025-03-16,44
2025-03-17,29
2025-03-18,29
2025-03-19,32
2025-03-20,32
2025-03-21,36
2025-03-22,43
2025-03-23,42
2025-03-24,32
2025-03-25,70
2025-03-26,65
2025-03-27,38
2025-03-28,41
2025-03-29,42
2025-03-30,45
2025-03-31,30
2025-04-01,28
2025-04-02,28
2025-04-03,30
2025-04-04,32
2025-04-05,44
2025-04-06,45
2025-04-07,29
2025-04-08,30
2025-04-09,28
2025-04-10,30
2025-04-11,34
2025-04-12,43
2025-04-13,39
2025-04-14,32
2025-04-15,29
2025-04-16,31
2025-04-17,31
2025-04-18,37
2025-04-19,44
2025-04-20,50
2025-04-21,31
2025-04-22,29
2025-04-23,30
2025-04-24,29
2025-04-25,33
2025-04-26,43
2025-04-27,44
2025-04-28,29
2025-04-29,37
2025-04-30,33
2025-05-01,32
2025-05-02,34
2025-05-03,44
2025-05-04,44
2025-05-05,29
2025-05-06,29
2025-05-07,32
2025-05-08,35
2025-05-09,40
2025-05-10,45
2025-05-11,44
2025-05-12,32
2025-05-13,32
2025-05-14,35
