Time,wingstop
2023-04-26,31
2023-04-27,33
2023-04-28,36
2023-04-29,43
2023-04-30,45
2023-05-01,30
2023-05-02,28
2023-05-03,30
2023-05-04,30
2023-05-05,36
2023-05-06,43
2023-05-07,44
2023-05-08,30
2023-05-09,27
2023-05-10,32
2023-05-11,32
2023-05-12,35
2023-05-13,44
2023-05-14,47
2023-05-15,32
2023-05-16,29
2023-05-17,31
2023-05-18,35
2023-05-19,39
2023-05-20,43
2023-05-21,44
2023-05-22,35
2023-05-23,30
2023-05-24,31
2023-05-25,33
2023-05-26,34
2023-05-27,42
2023-05-28,40
2023-05-29,39
2023-05-30,27
2023-05-31,28
2023-06-01,29
2023-06-02,33
2023-06-03,39
2023-06-04,41
2023-06-05,30
2023-06-06,28
2023-06-07,30
2023-06-08,32
2023-06-09,36
2023-06-10,41
2023-06-11,45
2023-06-12,32
2023-06-13,32
2023-06-14,31
2023-06-15,31
2023-06-16,37
2023-06-17,44
2023-06-18,43
2023-06-19,36
2023-06-20,28
2023-06-21,32
2023-06-22,34
2023-06-23,38
2023-06-24,41
2023-06-25,47
2023-06-26,32
2023-06-27,33
2023-06-28,31
2023-06-29,35
2023-06-30,39
2023-07-01,45
2023-07-02,43
2023-07-03,39
2023-07-04,40
2023-07-05,31
2023-07-06,33
2023-07-07,37
2023-07-08,44
2023-07-09,49
2023-07-10,34
2023-07-11,31
2023-07-12,30
2023-07-13,33
2023-07-14,39
2023-07-15,47
2023-07-16,49
2023-07-17,37
2023-07-18,34
2023-07-19,38
2023-07-20,36
2023-07-21,41
2023-07-22,51
2023-07-23,45
2023-07-24,36
2023-07-25,33
2023-07-26,33
2023-07-27,34
2023-07-28,42
2023-07-29,81
2023-07-30,63
2023-07-31,37
2023-08-01,35
2023-08-02,34
2023-08-03,37
2023-08-04,42
2023-08-05,49
2023-08-06,47
2023-08-07,37
2023-08-08,35
2023-08-09,32
2023-08-10,36
2023-08-11,42
2023-08-12,53
2023-08-13,49
2023-08-14,38
2023-08-15,34
2023-08-16,36
2023-08-17,34
2023-08-18,38
2023-08-19,46
2023-08-20,47
2023-08-21,34
2023-08-22,32
2023-08-23,32
2023-08-24,36
2023-08-25,39
2023-08-26,47
2023-08-27,49
2023-08-28,34
2023-08-29,31
2023-08-30,32
2023-08-31,34
2023-09-01,42
2023-09-02,49
2023-09-03,50
2023-09-04,50
2023-09-05,34
2023-09-06,31
2023-09-07,35
2023-09-08,39
2023-09-09,51
2023-09-10,56
2023-09-11,34
2023-09-12,30
2023-09-13,32
2023-09-14,37
2023-09-15,39
2023-09-16,49
2023-09-17,52
2023-09-18,33
2023-09-19,31
2023-09-20,32
2023-09-21,37
2023-09-22,42
2023-09-23,54
2023-09-24,52
2023-09-25,38
2023-09-26,34
2023-09-27,33
2023-09-28,35
2023-09-29,43
2023-09-30,51
2023-10-01,55
2023-10-02,34
2023-10-03,30
2023-10-04,34
2023-10-05,35
2023-10-06,42
2023-10-07,52
2023-10-08,52
2023-10-09,38
2023-10-10,32
2023-10-11,33
2023-10-12,36
2023-10-13,40
2023-10-14,52
2023-10-15,52
2023-10-16,34
2023-10-17,32
2023-10-18,32
2023-10-19,35
2023-10-20,43
2023-10-21,51
2023-10-22,51
2023-10-23,34
2023-10-24,30
2023-10-25,31
2023-10-26,33
2023-10-27,40
2023-10-28,49
2023-10-29,49
2023-10-30,36
2023-10-31,32
2023-11-01,37
2023-11-02,34
2023-11-03,41
2023-11-04,54
2023-11-05,54
2023-11-06,35
2023-11-07,35
2023-11-08,35
2023-11-09,40
2023-11-10,43
2023-11-11,57
2023-11-12,55
2023-11-13,35
2023-11-14,32
2023-11-15,33
2023-11-16,33
2023-11-17,41
2023-11-18,50
2023-11-19,50
2023-11-20,40
2023-11-21,37
2023-11-22,41
2023-11-23,36
2023-11-24,26
2023-11-25,49
2023-11-26,52
2023-11-27,31
2023-11-28,30
2023-11-29,32
2023-11-30,38
2023-12-01,44
2023-12-02,56
2023-12-03,53
2023-12-04,37
2023-12-05,34
2023-12-06,37
2023-12-07,37
2023-12-08,43
2023-12-09,57
2023-12-10,66
2023-12-11,38
2023-12-12,33
2023-12-13,37
2023-12-14,43
2023-12-15,47
2023-12-16,57
2023-12-17,61
2023-12-18,39
2023-12-19,38
2023-12-20,41
2023-12-21,47
2023-12-22,50
2023-12-23,57
2023-12-24,51
2023-12-25,47
2023-12-26,41
2023-12-27,46
2023-12-28,45
2023-12-29,51
2023-12-30,55
2023-12-31,100
2024-01-01,64
2024-01-02,46
2024-01-03,45
2024-01-04,40
2024-01-05,42
2024-01-06,55
2024-01-07,57
2024-01-08,43
2024-01-09,34
2024-01-10,34
2024-01-11,38
2024-01-12,41
2024-01-13,58
2024-01-14,61
2024-01-15,46
2024-01-16,37
2024-01-17,36
2024-01-18,36
2024-01-19,46
2024-01-20,64
