Time,kyrie irving
2023-12-22,5
2023-12-23,7
2023-12-24,7
2023-12-25,7
2023-12-26,12
2023-12-27,6
2023-12-28,8
2023-12-29,6
2023-12-30,5
2023-12-31,7
2024-01-01,7
2024-01-02,8
2024-01-03,10
2024-01-04,9
2024-01-05,7
2024-01-06,8
2024-01-07,6
2024-01-08,9
2024-01-09,10
2024-01-10,10
2024-01-11,11
2024-01-12,15
2024-01-13,7
2024-01-14,6
2024-01-15,11
2024-01-16,7
2024-01-17,7
2024-01-18,15
2024-01-19,5
2024-01-20,5
2024-01-21,4
2024-01-22,8
2024-01-23,10
2024-01-24,7
2024-01-25,10
2024-01-26,9
2024-01-27,12
2024-01-28,8
2024-01-29,4
2024-01-30,7
2024-01-31,6
2024-02-01,6
2024-02-02,5
2024-02-03,6
2024-02-04,8
2024-02-05,13
2024-02-06,14
2024-02-07,20
2024-02-08,12
2024-02-09,10
2024-02-10,14
2024-02-11,7
2024-02-12,13
2024-02-13,11
2024-02-14,6
2024-02-15,10
2024-02-16,5
2024-02-17,5
2024-02-18,4
2024-02-19,6
2024-02-20,4
2024-02-21,5
2024-02-22,9
2024-02-23,13
2024-02-24,5
2024-02-25,14
2024-02-26,5
2024-02-27,14
2024-02-28,17
2024-02-29,11
2024-03-01,10
2024-03-02,14
2024-03-03,20
2024-03-04,6
2024-03-05,8
2024-03-06,10
2024-03-07,11
2024-03-08,10
2024-03-09,10
2024-03-10,8
2024-03-11,9
2024-03-12,8
2024-03-13,7
2024-03-14,11
2024-03-15,13
2024-03-16,4
2024-03-17,23
2024-03-18,23
2024-03-19,20
2024-03-20,13
2024-03-21,10
2024-03-22,12
2024-03-23,11
2024-03-24,8
2024-03-25,9
2024-03-26,14
2024-03-27,14
2024-03-28,5
2024-03-29,6
2024-03-30,11
2024-03-31,9
2024-04-01,7
2024-04-02,8
2024-04-03,10
2024-04-04,11
2024-04-05,9
2024-04-06,9
2024-04-07,13
2024-04-08,10
2024-04-09,10
2024-04-10,12
2024-04-11,10
2024-04-12,6
2024-04-13,5
2024-04-14,5
2024-04-15,5
2024-04-16,6
2024-04-17,6
2024-04-18,6
2024-04-19,7
2024-04-20,7
2024-04-21,27
2024-04-22,7
2024-04-23,12
2024-04-24,19
2024-04-25,5
2024-04-26,14
2024-04-27,21
2024-04-28,33
2024-04-29,13
2024-04-30,8
2024-05-01,16
2024-05-02,30
2024-05-03,20
2024-05-04,57
2024-05-05,12
2024-05-06,10
2024-05-07,17
2024-05-08,26
2024-05-09,16
2024-05-10,37
2024-05-11,35
2024-05-12,14
2024-05-13,18
2024-05-14,32
2024-05-15,16
2024-05-16,27
2024-05-17,8
2024-05-18,23
2024-05-19,52
2024-05-20,19
2024-05-21,12
2024-05-22,27
2024-05-23,86
2024-05-24,37
2024-05-25,79
2024-05-26,40
2024-05-27,100
2024-05-28,49
2024-05-29,59
2024-05-30,30
2024-05-31,92
2024-06-01,28
2024-06-02,16
2024-06-03,17
2024-06-04,20
2024-06-05,23
2024-06-06,42
2024-06-07,67
2024-06-08,14
2024-06-09,30
2024-06-10,78
2024-06-11,17
2024-06-12,26
2024-06-13,60
2024-06-14,25
2024-06-15,40
2024-06-16,10
2024-06-17,22
2024-06-18,67
2024-06-19,13
2024-06-20,7
2024-06-21,7
2024-06-22,6
2024-06-23,6
2024-06-24,4
2024-06-25,4
2024-06-26,4
2024-06-27,5
2024-06-28,5
2024-06-29,5
2024-06-30,4
2024-07-01,8
2024-07-02,7
2024-07-03,5
2024-07-04,5
2024-07-05,4
2024-07-06,5
2024-07-07,5
2024-07-08,5
2024-07-09,6
2024-07-10,6
2024-07-11,5
2024-07-12,4
2024-07-13,4
2024-07-14,3
2024-07-15,3
2024-07-16,3
2024-07-17,6
2024-07-18,4
2024-07-19,4
2024-07-20,4
2024-07-21,4
2024-07-22,3
2024-07-23,2
2024-07-24,3
2024-07-25,2
2024-07-26,3
2024-07-27,4
2024-07-28,4
2024-07-29,3
2024-07-30,3
2024-07-31,3
2024-08-01,3
2024-08-02,3
2024-08-03,3
2024-08-04,4
2024-08-05,3
2024-08-06,3
2024-08-07,3
2024-08-08,3
2024-08-09,3
2024-08-10,4
2024-08-11,4
2024-08-12,3
2024-08-13,3
2024-08-14,3
2024-08-15,3
2024-08-16,3
2024-08-17,3
2024-08-18,3
2024-08-19,3
2024-08-20,2
2024-08-21,3
2024-08-22,3
2024-08-23,3
2024-08-24,2
2024-08-25,3
2024-08-26,2
2024-08-27,3
2024-08-28,3
2024-08-29,3
2024-08-30,3
2024-08-31,3
2024-09-01,3
2024-09-02,2
2024-09-03,2
2024-09-04,3
2024-09-05,4
2024-09-06,4
2024-09-07,3
2024-09-08,3
2024-09-09,3
2024-09-10,3
2024-09-11,2
2024-09-12,3
2024-09-13,2
2024-09-14,3
2024-09-15,3
2024-09-16,2
