Time,kyrie irving
2023-04-26,13
2023-04-27,11
2023-04-28,9
2023-04-29,32
2023-04-30,17
2023-05-01,16
2023-05-02,17
2023-05-03,15
2023-05-04,13
2023-05-05,12
2023-05-06,14
2023-05-07,13
2023-05-08,12
2023-05-09,13
2023-05-10,12
2023-05-11,11
2023-05-12,14
2023-05-13,14
2023-05-14,14
2023-05-15,13
2023-05-16,13
2023-05-17,14
2023-05-18,12
2023-05-19,14
2023-05-20,13
2023-05-21,19
2023-05-22,22
2023-05-23,41
2023-05-24,22
2023-05-25,23
2023-05-26,19
2023-05-27,18
2023-05-28,19
2023-05-29,25
2023-05-30,19
2023-05-31,13
2023-06-01,14
2023-06-02,12
2023-06-03,13
2023-06-04,12
2023-06-05,23
2023-06-06,18
2023-06-07,15
2023-06-08,16
2023-06-09,11
2023-06-10,13
2023-06-11,11
2023-06-12,19
2023-06-13,15
2023-06-14,12
2023-06-15,12
2023-06-16,15
2023-06-17,16
2023-06-18,17
2023-06-19,17
2023-06-20,14
2023-06-21,16
2023-06-22,16
2023-06-23,18
2023-06-24,12
2023-06-25,14
2023-06-26,18
2023-06-27,19
2023-06-28,17
2023-06-29,52
2023-06-30,100
2023-07-01,83
2023-07-02,31
2023-07-03,25
2023-07-04,22
2023-07-05,17
2023-07-06,15
2023-07-07,12
2023-07-08,15
2023-07-09,13
2023-07-10,10
2023-07-11,10
2023-07-12,23
2023-07-13,22
2023-07-14,14
2023-07-15,13
2023-07-16,13
2023-07-17,11
2023-07-18,10
2023-07-19,9
2023-07-20,9
2023-07-21,9
2023-07-22,12
2023-07-23,15
2023-07-24,12
2023-07-25,11
2023-07-26,9
2023-07-27,10
2023-07-28,9
2023-07-29,8
2023-07-30,9
2023-07-31,8
2023-08-01,9
2023-08-02,9
2023-08-03,14
2023-08-04,10
2023-08-05,13
2023-08-06,11
2023-08-07,9
2023-08-08,9
2023-08-09,7
2023-08-10,10
2023-08-11,11
2023-08-12,10
2023-08-13,14
2023-08-14,13
2023-08-15,11
2023-08-16,9
2023-08-17,10
2023-08-18,8
2023-08-19,8
2023-08-20,9
2023-08-21,7
2023-08-22,9
2023-08-23,7
2023-08-24,8
2023-08-25,7
2023-08-26,7
2023-08-27,10
2023-08-28,9
2023-08-29,8
2023-08-30,7
2023-08-31,9
2023-09-01,8
2023-09-02,8
2023-09-03,7
2023-09-04,6
2023-09-05,6
2023-09-06,9
2023-09-07,6
2023-09-08,8
2023-09-09,9
2023-09-10,7
2023-09-11,8
2023-09-12,8
2023-09-13,7
2023-09-14,9
2023-09-15,7
2023-09-16,8
2023-09-17,7
2023-09-18,7
2023-09-19,7
2023-09-20,7
2023-09-21,8
2023-09-22,8
2023-09-23,10
2023-09-24,8
2023-09-25,7
2023-09-26,8
2023-09-27,11
2023-09-28,10
2023-09-29,10
2023-09-30,14
2023-10-01,21
2023-10-02,18
2023-10-03,14
2023-10-04,13
2023-10-05,16
2023-10-06,15
2023-10-07,19
2023-10-08,14
2023-10-09,11
2023-10-10,14
2023-10-11,16
2023-10-12,13
2023-10-13,12
2023-10-14,11
2023-10-15,10
2023-10-16,9
2023-10-17,9
2023-10-18,10
2023-10-19,9
2023-10-20,10
2023-10-21,12
2023-10-22,11
2023-10-23,10
2023-10-24,11
2023-10-25,19
2023-10-26,40
2023-10-27,21
2023-10-28,28
2023-10-29,11
2023-10-30,21
2023-10-31,35
2023-11-01,17
2023-11-02,31
2023-11-03,27
2023-11-04,37
2023-11-05,28
2023-11-06,33
2023-11-07,23
2023-11-08,19
2023-11-09,19
2023-11-10,22
2023-11-11,29
2023-11-12,19
2023-11-13,22
2023-11-14,24
2023-11-15,39
2023-11-16,26
2023-11-17,11
2023-11-18,24
2023-11-19,50
2023-11-20,32
2023-11-21,14
2023-11-22,17
2023-11-23,34
2023-11-24,12
2023-11-25,21
2023-11-26,32
2023-11-27,10
2023-11-28,17
2023-11-29,24
2023-11-30,11
2023-12-01,28
2023-12-02,28
2023-12-03,19
2023-12-04,10
2023-12-05,8
2023-12-06,16
2023-12-07,20
2023-12-08,17
2023-12-09,63
2023-12-10,25
2023-12-11,17
2023-12-12,21
2023-12-13,36
2023-12-14,14
2023-12-15,17
2023-12-16,15
2023-12-17,17
2023-12-18,13
2023-12-19,16
2023-12-20,13
2023-12-21,18
2023-12-22,13
2023-12-23,18
2023-12-24,17
2023-12-25,18
2023-12-26,31
2023-12-27,15
2023-12-28,21
2023-12-29,16
2023-12-30,13
2023-12-31,17
2024-01-01,16
2024-01-02,21
2024-01-03,24
2024-01-04,22
2024-01-05,17
2024-01-06,21
2024-01-07,15
2024-01-08,22
2024-01-09,24
2024-01-10,26
2024-01-11,28
2024-01-12,38
2024-01-13,17
2024-01-14,16
2024-01-15,28
2024-01-16,16
2024-01-17,19
2024-01-18,37
2024-01-19,12
2024-01-20,13
