Time,quest diagnostics
2023-12-22,69
2023-12-23,35
2023-12-24,18
2023-12-25,21
2023-12-26,78
2023-12-27,80
2023-12-28,80
2023-12-29,81
2023-12-30,38
2023-12-31,21
2024-01-01,29
2024-01-02,85
2024-01-03,92
2024-01-04,94
2024-01-05,90
2024-01-06,42
2024-01-07,30
2024-01-08,88
2024-01-09,87
2024-01-10,90
2024-01-11,87
2024-01-12,85
2024-01-13,46
2024-01-14,30
2024-01-15,78
2024-01-16,80
2024-01-17,85
2024-01-18,85
2024-01-19,83
2024-01-20,44
2024-01-21,30
2024-01-22,85
2024-01-23,86
2024-01-24,90
2024-01-25,86
2024-01-26,87
2024-01-27,48
2024-01-28,32
2024-01-29,88
2024-01-30,92
2024-01-31,91
2024-02-01,89
2024-02-02,87
2024-02-03,48
2024-02-04,33
2024-02-05,90
2024-02-06,92
2024-02-07,90
2024-02-08,92
2024-02-09,88
2024-02-10,45
2024-02-11,29
2024-02-12,75
2024-02-13,77
2024-02-14,70
2024-02-15,72
2024-02-16,71
2024-02-17,40
2024-02-18,30
2024-02-19,79
2024-02-20,82
2024-02-21,89
2024-02-22,90
2024-02-23,86
2024-02-24,47
2024-02-25,33
2024-02-26,93
2024-02-27,90
2024-02-28,85
2024-02-29,89
2024-03-01,87
2024-03-02,49
2024-03-03,32
2024-03-04,97
2024-03-05,94
2024-03-06,97
2024-03-07,92
2024-03-08,84
2024-03-09,48
2024-03-10,31
2024-03-11,94
2024-03-12,95
2024-03-13,95
2024-03-14,96
2024-03-15,90
2024-03-16,48
2024-03-17,32
2024-03-18,100
2024-03-19,95
2024-03-20,92
2024-03-21,89
2024-03-22,88
2024-03-23,48
2024-03-24,30
2024-03-25,92
2024-03-26,81
2024-03-27,80
2024-03-28,71
2024-03-29,62
2024-03-30,35
2024-03-31,24
2024-04-01,86
2024-04-02,76
2024-04-03,71
2024-04-04,67
2024-04-05,65
2024-04-06,36
2024-04-07,27
2024-04-08,72
2024-04-09,73
2024-04-10,71
2024-04-11,69
2024-04-12,66
2024-04-13,33
2024-04-14,29
2024-04-15,79
2024-04-16,74
2024-04-17,74
2024-04-18,69
2024-04-19,63
2024-04-20,35
2024-04-21,30
2024-04-22,77
2024-04-23,76
2024-04-24,68
2024-04-25,64
2024-04-26,64
2024-04-27,34
2024-04-28,29
2024-04-29,83
2024-04-30,75
2024-05-01,70
2024-05-02,68
2024-05-03,65
2024-05-04,38
2024-05-05,28
2024-05-06,80
2024-05-07,69
2024-05-08,66
2024-05-09,70
2024-05-10,65
2024-05-11,36
2024-05-12,27
2024-05-13,81
2024-05-14,74
2024-05-15,68
2024-05-16,66
2024-05-17,66
2024-05-18,36
2024-05-19,26
2024-05-20,75
2024-05-21,73
2024-05-22,70
2024-05-23,66
2024-05-24,62
2024-05-25,33
2024-05-26,23
2024-05-27,35
2024-05-28,84
2024-05-29,76
2024-05-30,67
2024-05-31,71
2024-06-01,36
2024-06-02,29
2024-06-03,78
2024-06-04,76
2024-06-05,76
2024-06-06,74
2024-06-07,77
2024-06-08,38
2024-06-09,30
2024-06-10,81
2024-06-11,82
2024-06-12,79
2024-06-13,79
2024-06-14,74
2024-06-15,36
2024-06-16,26
2024-06-17,83
2024-06-18,82
2024-06-19,80
2024-06-20,79
2024-06-21,75
2024-06-22,36
2024-06-23,30
2024-06-24,82
2024-06-25,79
2024-06-26,80
2024-06-27,79
2024-06-28,71
2024-06-29,36
2024-06-30,30
2024-07-01,85
2024-07-02,82
2024-07-03,73
2024-07-04,36
2024-07-05,66
2024-07-06,37
2024-07-07,28
2024-07-08,88
2024-07-09,84
2024-07-10,83
2024-07-11,78
2024-07-12,80
2024-07-13,37
2024-07-14,27
2024-07-15,80
2024-07-16,81
2024-07-17,79
2024-07-18,78
2024-07-19,80
2024-07-20,37
2024-07-21,29
2024-07-22,83
2024-07-23,86
2024-07-24,78
2024-07-25,85
2024-07-26,76
2024-07-27,37
2024-07-28,29
2024-07-29,82
2024-07-30,83
2024-07-31,85
2024-08-01,77
2024-08-02,76
2024-08-03,36
2024-08-04,28
2024-08-05,86
2024-08-06,75
2024-08-07,80
2024-08-08,77
2024-08-09,78
2024-08-10,36
2024-08-11,28
2024-08-12,81
2024-08-13,81
2024-08-14,80
2024-08-15,80
2024-08-16,72
2024-08-17,37
2024-08-18,27
2024-08-19,81
2024-08-20,80
2024-08-21,78
2024-08-22,75
2024-08-23,71
2024-08-24,41
2024-08-25,28
2024-08-26,81
2024-08-27,76
2024-08-28,71
2024-08-29,72
2024-08-30,68
2024-08-31,35
2024-09-01,24
2024-09-02,32
2024-09-03,74
2024-09-04,75
2024-09-05,74
2024-09-06,68
2024-09-07,37
2024-09-08,27
2024-09-09,79
2024-09-10,73
2024-09-11,74
2024-09-12,73
2024-09-13,73
2024-09-14,38
2024-09-15,24
2024-09-16,72
