Time,btc
2022-01-01,20.0
2022-01-02,20.0
2022-01-03,22.0
2022-01-04,26.0
2022-01-05,29.0
2022-01-06,36.0
2022-01-07,42.0
2022-01-08,32.0
2022-01-09,28.0
2022-01-10,35.0
2022-01-11,30.0
2022-01-12,27.0
2022-01-13,24.0
2022-01-14,18.0
2022-01-15,19.0
2022-01-16,16.0
2022-01-17,19.0
2022-01-18,23.0
2022-01-19,21.0
2022-01-20,21.0
2022-01-21,51.0
2022-01-22,61.0
2022-01-23,50.0
2022-01-24,76.0
2022-01-25,40.0
2022-01-26,36.0
2022-01-27,33.0
2022-01-28,31.0
2022-01-29,24.0
2022-01-30,23.0
2022-01-31,27.0
2022-02-01,26.0
2022-02-02,26.0
2022-02-03,25.0
2022-02-04,29.0
2022-02-05,27.0
2022-02-06,21.0
2022-02-07,33.0
2022-02-08,30.0
2022-02-09,26.0
2022-02-10,23.0
2022-02-11,23.0
2022-02-12,19.0
2022-02-13,19.0
2022-02-14,24.0
2022-02-15,25.0
2022-02-16,23.0
2022-02-17,23.0
2022-02-18,24.0
2022-02-19,19.0
2022-02-20,20.0
2022-02-21,26.0
2022-02-22,31.0
2022-02-23,24.0
2022-02-24,44.0
2022-02-25,29.0
2022-02-26,21.0
2022-02-27,23.0
2022-02-28,32.0
2022-03-01,33.0
2022-03-02,28.0
2022-03-03,24.0
2022-03-04,23.0
2022-03-05,20.0
2022-03-06,18.0
2022-03-07,26.0
2022-03-08,24.0
2022-03-09,30.0
2022-03-10,25.0
2022-03-11,21.0
2022-03-12,17.0
2022-03-13,17.0
2022-03-14,22.0
2022-03-15,20.0
2022-03-16,24.0
2022-03-17,20.0
2022-03-18,18.0
2022-03-19,16.0
2022-03-20,15.0
2022-03-21,18.0
2022-03-22,21.0
2022-03-23,17.0
2022-03-24,22.0
2022-03-25,21.0
2022-03-26,17.0
2022-03-27,20.0
2022-03-28,30.0
2022-03-29,24.0
2022-03-30,21.0
2022-03-31,20.0
2022-04-01,20.0
2022-04-02,16.0
2022-04-03,17.0
2022-04-04,19.0
2022-04-05,17.0
2022-04-06,20.0
2022-04-07,19.0
2022-04-08,17.0
2022-04-09,16.0
2022-04-10,16.0
2022-04-11,22.0
2022-04-12,22.0
2022-04-13,18.0
2022-04-14,18.0
2022-04-15,17.0
2022-04-16,15.0
2022-04-17,14.0
2022-04-18,19.0
2022-04-19,16.0
2022-04-20,17.0
2022-04-21,16.0
2022-04-22,16.0
2022-04-23,15.0
2022-04-24,15.0
2022-04-25,19.0
2022-04-26,20.0
2022-04-27,18.0
2022-04-28,17.0
2022-04-29,17.0
2022-04-30,16.0
2022-05-01,19.0
2022-05-02,18.0
2022-05-03,16.0
2022-05-04,18.0
2022-05-05,24.0
2022-05-06,24.0
2022-05-07,20.0
2022-05-08,26.0
2022-05-09,48.0
2022-05-10,46.0
2022-05-11,61.0
2022-05-12,82.0
2022-05-13,52.0
2022-05-14,36.0
2022-05-15,33.0
2022-05-16,34.0
2022-05-17,31.0
2022-05-18,33.0
2022-05-19,34.0
2022-05-20,28.0
2022-05-21,22.0
2022-05-22,21.0
2022-05-23,26.0
2022-05-24,27.0
2022-05-25,22.0
2022-05-26,24.0
2022-05-27,24.0
2022-05-28,19.0
2022-05-29,18.0
2022-05-30,22.0
2022-05-31,27.0
2022-06-01,21.0
2022-06-02,21.0
2022-06-03,20.0
2022-06-04,15.0
2022-06-05,15.0
2022-06-06,22.0
2022-06-07,24.0
2022-06-08,19.0
2022-06-09,17.0
2022-06-10,20.0
2022-06-11,19.0
2022-06-12,30.0
2022-06-13,100.0
2022-06-14,85.0
2022-06-15,77.0
2022-06-16,56.0
2022-06-17,50.0
2022-06-18,88.0
2022-06-19,90.0
2022-06-20,64.0
2022-06-21,47.0
2022-06-22,39.0
2022-06-23,35.0
2022-06-24,32.0
2022-06-25,25.0
2022-06-26,25.0
2022-06-27,33.0
2022-06-28,29.0
2022-06-29,31.0
2022-06-30,40.0
2022-07-01,35.0
2022-07-02,29.0
2022-07-03,26.0
2022-07-04,28.0
2022-07-05,33.0
2022-07-06,28.0
2022-07-07,27.0
2022-07-08,27.0
2022-07-09,20.0
