Time,stocks
2023-04-26,85
2023-04-27,77
2023-04-28,81
2023-04-29,56
2023-04-30,54
2023-05-01,82
2023-05-02,90
2023-05-03,86
2023-05-04,91
2023-05-05,79
2023-05-06,53
2023-05-07,50
2023-05-08,78
2023-05-09,88
2023-05-10,78
2023-05-11,80
2023-05-12,73
2023-05-13,44
2023-05-14,45
2023-05-15,77
2023-05-16,78
2023-05-17,81
2023-05-18,79
2023-05-19,77
2023-05-20,50
2023-05-21,50
2023-05-22,73
2023-05-23,80
2023-05-24,78
2023-05-25,91
2023-05-26,79
2023-05-27,58
2023-05-28,51
2023-05-29,55
2023-05-30,80
2023-05-31,83
2023-06-01,79
2023-06-02,86
2023-06-03,56
2023-06-04,60
2023-06-05,81
2023-06-06,79
2023-06-07,84
2023-06-08,77
2023-06-09,79
2023-06-10,56
2023-06-11,51
2023-06-12,84
2023-06-13,87
2023-06-14,91
2023-06-15,86
2023-06-16,78
2023-06-17,56
2023-06-18,49
2023-06-19,61
2023-06-20,77
2023-06-21,79
2023-06-22,74
2023-06-23,74
2023-06-24,53
2023-06-25,50
2023-06-26,71
2023-06-27,77
2023-06-28,75
2023-06-29,74
2023-06-30,74
2023-07-01,59
2023-07-02,59
2023-07-03,73
2023-07-04,60
2023-07-05,74
2023-07-06,82
2023-07-07,78
2023-07-08,56
2023-07-09,54
2023-07-10,76
2023-07-11,78
2023-07-12,91
2023-07-13,86
2023-07-14,85
2023-07-15,59
2023-07-16,57
2023-07-17,85
2023-07-18,90
2023-07-19,92
2023-07-20,90
2023-07-21,76
2023-07-22,60
2023-07-23,54
2023-07-24,79
2023-07-25,88
2023-07-26,82
2023-07-27,84
2023-07-28,82
2023-07-29,57
2023-07-30,54
2023-07-31,86
2023-08-01,84
2023-08-02,86
2023-08-03,82
2023-08-04,80
2023-08-05,58
2023-08-06,52
2023-08-07,73
2023-08-08,77
2023-08-09,84
2023-08-10,79
2023-08-11,68
2023-08-12,51
2023-08-13,49
2023-08-14,72
2023-08-15,72
2023-08-16,73
2023-08-17,75
2023-08-18,71
2023-08-19,48
2023-08-20,45
2023-08-21,73
2023-08-22,80
2023-08-23,74
2023-08-24,76
2023-08-25,72
2023-08-26,50
2023-08-27,44
2023-08-28,69
2023-08-29,76
2023-08-30,82
2023-08-31,87
2023-09-01,78
2023-09-02,50
2023-09-03,49
2023-09-04,54
2023-09-05,72
2023-09-06,76
2023-09-07,73
2023-09-08,73
2023-09-09,48
2023-09-10,46
2023-09-11,74
2023-09-12,77
2023-09-13,81
2023-09-14,80
2023-09-15,71
2023-09-16,48
2023-09-17,45
2023-09-18,70
2023-09-19,70
2023-09-20,74
2023-09-21,87
2023-09-22,74
2023-09-23,48
2023-09-24,46
2023-09-25,67
2023-09-26,74
2023-09-27,75
2023-09-28,73
2023-09-29,80
2023-09-30,46
2023-10-01,45
2023-10-02,81
2023-10-03,80
2023-10-04,77
2023-10-05,73
2023-10-06,80
2023-10-07,49
2023-10-08,45
2023-10-09,74
2023-10-10,77
2023-10-11,80
2023-10-12,81
2023-10-13,71
2023-10-14,47
2023-10-15,48
2023-10-16,74
2023-10-17,78
2023-10-18,80
2023-10-19,77
2023-10-20,74
2023-10-21,50
2023-10-22,48
2023-10-23,87
2023-10-24,78
2023-10-25,79
2023-10-26,86
2023-10-27,76
2023-10-28,50
2023-10-29,47
2023-10-30,80
2023-10-31,78
2023-11-01,74
2023-11-02,80
2023-11-03,83
2023-11-04,55
2023-11-05,50
2023-11-06,86
2023-11-07,79
2023-11-08,80
2023-11-09,78
2023-11-10,77
2023-11-11,53
2023-11-12,48
2023-11-13,84
2023-11-14,85
2023-11-15,91
2023-11-16,88
2023-11-17,76
2023-11-18,55
2023-11-19,48
2023-11-20,85
2023-11-21,75
2023-11-22,78
2023-11-23,52
2023-11-24,55
2023-11-25,49
2023-11-26,50
2023-11-27,76
2023-11-28,75
2023-11-29,84
2023-11-30,82
2023-12-01,82
2023-12-02,60
2023-12-03,56
2023-12-04,85
2023-12-05,86
2023-12-06,83
2023-12-07,88
2023-12-08,83
2023-12-09,59
2023-12-10,55
2023-12-11,79
2023-12-12,83
2023-12-13,91
2023-12-14,100
2023-12-15,87
2023-12-16,64
2023-12-17,59
2023-12-18,79
2023-12-19,90
2023-12-20,99
2023-12-21,86
2023-12-22,89
2023-12-23,64
2023-12-24,49
2023-12-25,54
2023-12-26,83
2023-12-27,93
2023-12-28,95
2023-12-29,89
2023-12-30,66
2023-12-31,59
2024-01-01,58
2024-01-02,97
2024-01-03,96
2024-01-04,98
2024-01-05,87
2024-01-06,64
2024-01-07,57
2024-01-08,84
2024-01-09,87
2024-01-10,95
2024-01-11,89
2024-01-12,93
2024-01-13,64
2024-01-14,54
2024-01-15,59
2024-01-16,78
2024-01-17,91
2024-01-18,84
2024-01-19,91
2024-01-20,76
