Time,stocks
2024-08-18,15
2024-08-19,22
2024-08-20,22
2024-08-21,21
2024-08-22,21
2024-08-23,21
2024-08-24,16
2024-08-25,14
2024-08-26,21
2024-08-27,21
2024-08-28,22
2024-08-29,22
2024-08-30,21
2024-08-31,14
2024-09-01,14
2024-09-02,15
2024-09-03,23
2024-09-04,23
2024-09-05,20
2024-09-06,21
2024-09-07,14
2024-09-08,12
2024-09-09,20
2024-09-10,20
2024-09-11,21
2024-09-12,22
2024-09-13,20
2024-09-14,16
2024-09-15,14
2024-09-16,22
2024-09-17,21
2024-09-18,23
2024-09-19,23
2024-09-20,22
2024-09-21,16
2024-09-22,14
2024-09-23,23
2024-09-24,22
2024-09-25,22
2024-09-26,23
2024-09-27,23
2024-09-28,15
2024-09-29,14
2024-09-30,22
2024-10-01,25
2024-10-02,23
2024-10-03,23
2024-10-04,21
2024-10-05,15
2024-10-06,14
2024-10-07,21
2024-10-08,22
2024-10-09,21
2024-10-10,20
2024-10-11,21
2024-10-12,15
2024-10-13,14
2024-10-14,22
2024-10-15,23
2024-10-16,26
2024-10-17,24
2024-10-18,23
2024-10-19,17
2024-10-20,15
2024-10-21,22
2024-10-22,24
2024-10-23,24
2024-10-24,22
2024-10-25,23
2024-10-26,15
2024-10-27,13
2024-10-28,24
2024-10-29,24
2024-10-30,24
2024-10-31,24
2024-11-01,23
2024-11-02,15
2024-11-03,14
2024-11-04,22
2024-11-05,23
2024-11-06,42
2024-11-07,44
2024-11-08,39
2024-11-09,25
2024-11-10,24
2024-11-11,38
2024-11-12,42
2024-11-13,39
2024-11-14,35
2024-11-15,34
2024-11-16,21
2024-11-17,20
2024-11-18,30
2024-11-19,32
2024-11-20,31
2024-11-21,33
2024-11-22,28
2024-11-23,22
2024-11-24,20
2024-11-25,30
2024-11-26,27
2024-11-27,25
2024-11-28,20
2024-11-29,22
2024-11-30,20
2024-12-01,20
2024-12-02,27
2024-12-03,30
2024-12-04,34
2024-12-05,34
2024-12-06,32
2024-12-07,23
2024-12-08,22
2024-12-09,29
2024-12-10,30
2024-12-11,31
2024-12-12,31
2024-12-13,28
2024-12-14,22
2024-12-15,20
2024-12-16,30
2024-12-17,34
2024-12-18,41
2024-12-19,35
2024-12-20,28
2024-12-21,22
2024-12-22,19
2024-12-23,24
2024-12-24,26
2024-12-25,19
2024-12-26,28
2024-12-27,28
2024-12-28,24
2024-12-29,21
2024-12-30,29
2024-12-31,28
2025-01-01,20
2025-01-02,28
2025-01-03,30
2025-01-04,25
2025-01-05,22
2025-01-06,31
2025-01-07,34
2025-01-08,30
2025-01-09,25
2025-01-10,29
2025-01-11,22
2025-01-12,18
2025-01-13,28
2025-01-14,27
2025-01-15,31
2025-01-16,30
2025-01-17,30
2025-01-18,24
2025-01-19,25
2025-01-20,24
2025-01-21,37
2025-01-22,44
2025-01-23,37
2025-01-24,35
2025-01-25,24
2025-01-26,22
2025-01-27,49
2025-01-28,44
2025-01-29,36
2025-01-30,35
2025-01-31,34
2025-02-01,24
2025-02-02,26
2025-02-03,47
2025-02-04,39
2025-02-05,35
2025-02-06,31
2025-02-07,33
2025-02-08,22
2025-02-09,19
2025-02-10,26
2025-02-11,30
2025-02-12,28
2025-02-13,31
2025-02-14,29
2025-02-15,23
2025-02-16,21
2025-02-17,23
2025-02-18,28
2025-02-19,30
2025-02-20,32
2025-02-21,32
2025-02-22,23
2025-02-23,21
2025-02-24,29
2025-02-25,35
2025-02-26,28
2025-02-27,30
2025-02-28,31
2025-03-01,20
2025-03-02,19
2025-03-03,30
2025-03-04,52
2025-03-05,37
2025-03-06,36
2025-03-07,32
2025-03-08,22
2025-03-09,19
2025-03-10,47
2025-03-11,55
2025-03-12,44
2025-03-13,38
2025-03-14,33
2025-03-15,22
2025-03-16,20
2025-03-17,27
2025-03-18,30
2025-03-19,29
2025-03-20,27
2025-03-21,25
2025-03-22,20
2025-03-23,19
2025-03-24,25
2025-03-25,27
2025-03-26,26
2025-03-27,25
2025-03-28,26
2025-03-29,20
2025-03-30,17
2025-03-31,27
2025-04-01,28
2025-04-02,34
2025-04-03,72
2025-04-04,81
2025-04-05,50
2025-04-06,38
2025-04-07,100
2025-04-08,70
2025-04-09,84
2025-04-10,69
2025-04-11,53
2025-04-12,27
2025-04-13,23
2025-04-14,35
2025-04-15,31
2025-04-16,32
2025-04-17,29
2025-04-18,24
2025-04-19,17
2025-04-20,14
2025-04-21,29
2025-04-22,30
2025-04-23,28
2025-04-24,29
2025-04-25,25
2025-04-26,16
2025-04-27,15
2025-04-28,25
2025-04-29,25
2025-04-30,28
2025-05-01,26
2025-05-02,24
2025-05-03,19
2025-05-04,16
2025-05-05,23
2025-05-06,24
2025-05-07,25
2025-05-08,28
2025-05-09,26
2025-05-10,18
2025-05-11,17
2025-05-12,33
2025-05-13,32
2025-05-14,30
