Time,gunna
2023-12-22,18
2023-12-23,21
2023-12-24,16
2023-12-25,16
2023-12-26,13
2023-12-27,15
2023-12-28,18
2023-12-29,20
2023-12-30,19
2023-12-31,18
2024-01-01,18
2024-01-02,13
2024-01-03,16
2024-01-04,15
2024-01-05,18
2024-01-06,17
2024-01-07,18
2024-01-08,16
2024-01-09,14
2024-01-10,17
2024-01-11,16
2024-01-12,19
2024-01-13,19
2024-01-14,19
2024-01-15,15
2024-01-16,13
2024-01-17,16
2024-01-18,17
2024-01-19,17
2024-01-20,21
2024-01-21,18
2024-01-22,14
2024-01-23,15
2024-01-24,16
2024-01-25,14
2024-01-26,16
2024-01-27,19
2024-01-28,14
2024-01-29,13
2024-01-30,18
2024-01-31,16
2024-02-01,15
2024-02-02,14
2024-02-03,15
2024-02-04,17
2024-02-05,16
2024-02-06,16
2024-02-07,19
2024-02-08,15
2024-02-09,15
2024-02-10,18
2024-02-11,17
2024-02-12,15
2024-02-13,13
2024-02-14,13
2024-02-15,14
2024-02-16,22
2024-02-17,21
2024-02-18,18
2024-02-19,16
2024-02-20,26
2024-02-21,31
2024-02-22,43
2024-02-23,38
2024-02-24,29
2024-02-25,24
2024-02-26,23
2024-02-27,21
2024-02-28,19
2024-02-29,19
2024-03-01,20
2024-03-02,21
2024-03-03,21
2024-03-04,20
2024-03-05,16
2024-03-06,20
2024-03-07,17
2024-03-08,17
2024-03-09,19
2024-03-10,15
2024-03-11,15
2024-03-12,15
2024-03-13,20
2024-03-14,23
2024-03-15,28
2024-03-16,26
2024-03-17,20
2024-03-18,16
2024-03-19,18
2024-03-20,20
2024-03-21,17
2024-03-22,18
2024-03-23,18
2024-03-24,19
2024-03-25,16
2024-03-26,16
2024-03-27,17
2024-03-28,19
2024-03-29,19
2024-03-30,24
2024-03-31,20
2024-04-01,18
2024-04-02,16
2024-04-03,16
2024-04-04,17
2024-04-05,18
2024-04-06,17
2024-04-07,17
2024-04-08,16
2024-04-09,16
2024-04-10,18
2024-04-11,19
2024-04-12,19
2024-04-13,19
2024-04-14,15
2024-04-15,23
2024-04-16,20
2024-04-17,19
2024-04-18,18
2024-04-19,22
2024-04-20,21
2024-04-21,24
2024-04-22,21
2024-04-23,21
2024-04-24,19
2024-04-25,18
2024-04-26,20
2024-04-27,21
2024-04-28,17
2024-04-29,20
2024-04-30,29
2024-05-01,36
2024-05-02,33
2024-05-03,42
2024-05-04,38
2024-05-05,38
2024-05-06,42
2024-05-07,50
2024-05-08,69
2024-05-09,55
2024-05-10,100
2024-05-11,69
2024-05-12,58
2024-05-13,49
2024-05-14,49
2024-05-15,44
2024-05-16,47
2024-05-17,47
2024-05-18,51
2024-05-19,57
2024-05-20,38
2024-05-21,43
2024-05-22,44
2024-05-23,40
2024-05-24,41
2024-05-25,48
2024-05-26,46
2024-05-27,51
2024-05-28,56
2024-05-29,59
2024-05-30,45
2024-05-31,36
2024-06-01,45
2024-06-02,50
2024-06-03,36
2024-06-04,31
2024-06-05,38
2024-06-06,40
2024-06-07,45
2024-06-08,35
2024-06-09,40
2024-06-10,36
2024-06-11,37
2024-06-12,45
2024-06-13,31
2024-06-14,37
2024-06-15,38
2024-06-16,30
2024-06-17,23
2024-06-18,20
2024-06-19,19
2024-06-20,22
2024-06-21,21
2024-06-22,24
2024-06-23,20
2024-06-24,19
2024-06-25,23
2024-06-26,25
2024-06-27,31
2024-06-28,27
2024-06-29,32
2024-06-30,29
2024-07-01,42
2024-07-02,28
2024-07-03,22
2024-07-04,26
2024-07-05,23
2024-07-06,22
2024-07-07,24
2024-07-08,18
2024-07-09,17
2024-07-10,18
2024-07-11,21
2024-07-12,21
2024-07-13,19
2024-07-14,20
2024-07-15,19
2024-07-16,18
2024-07-17,18
2024-07-18,15
2024-07-19,19
2024-07-20,19
2024-07-21,21
2024-07-22,18
2024-07-23,13
2024-07-24,16
2024-07-25,16
2024-07-26,17
2024-07-27,17
2024-07-28,17
2024-07-29,15
2024-07-30,15
2024-07-31,16
2024-08-01,17
2024-08-02,16
2024-08-03,21
2024-08-04,21
2024-08-05,19
2024-08-06,20
2024-08-07,19
2024-08-08,18
2024-08-09,16
2024-08-10,20
2024-08-11,18
2024-08-12,14
2024-08-13,16
2024-08-14,16
2024-08-15,21
2024-08-16,17
2024-08-17,20
2024-08-18,17
2024-08-19,15
2024-08-20,18
2024-08-21,18
2024-08-22,19
2024-08-23,20
2024-08-24,21
2024-08-25,19
2024-08-26,16
2024-08-27,15
2024-08-28,14
2024-08-29,18
2024-08-30,17
2024-08-31,18
2024-09-01,19
2024-09-02,17
2024-09-03,13
2024-09-04,14
2024-09-05,16
2024-09-06,14
2024-09-07,18
2024-09-08,17
2024-09-09,15
2024-09-10,13
2024-09-11,15
2024-09-12,16
2024-09-13,16
2024-09-14,19
2024-09-15,16
2024-09-16,12
