Time,powerball_numbers
2022-01-01,15.0
2022-01-02,90.0
2022-01-03,22.0
2022-01-04,79.0
2022-01-05,24.0
2022-01-06,100.0
2022-01-07,22.0
2022-01-08,11.0
2022-01-09,18.0
2022-01-10,7.0
2022-01-11,9.0
2022-01-12,6.0
2022-01-13,12.0
2022-01-14,4.0
2022-01-15,4.0
2022-01-16,12.0
2022-01-17,4.0
2022-01-18,6.0
2022-01-19,3.0
2022-01-20,9.0
2022-01-21,4.0
2022-01-22,3.0
2022-01-23,11.0
2022-01-24,5.0
2022-01-25,6.0
2022-01-26,3.0
2022-01-27,8.0
2022-01-28,4.0
2022-01-29,4.0
2022-01-30,13.0
2022-01-31,4.0
2022-02-01,7.0
2022-02-02,4.0
2022-02-03,10.0
2022-02-04,4.0
2022-02-05,3.0
2022-02-06,13.0
2022-02-07,4.0
2022-02-08,7.0
2022-02-09,3.0
2022-02-10,9.0
2022-02-11,3.0
2022-02-12,3.0
2022-02-13,13.0
2022-02-14,4.0
2022-02-15,8.0
2022-02-16,4.0
2022-02-17,8.0
2022-02-18,3.0
2022-02-19,3.0
2022-02-20,10.0
2022-02-21,4.0
2022-02-22,6.0
2022-02-23,3.0
2022-02-24,8.0
2022-02-25,3.0
2022-02-26,3.0
2022-02-27,12.0
2022-02-28,4.0
2022-03-01,6.0
2022-03-02,3.0
2022-03-03,7.0
2022-03-04,3.0
2022-03-05,2.0
2022-03-06,10.0
2022-03-07,3.0
2022-03-08,5.0
2022-03-09,3.0
2022-03-10,7.0
2022-03-11,3.0
2022-03-12,3.0
2022-03-13,10.0
2022-03-14,4.0
2022-03-15,6.0
2022-03-16,3.0
2022-03-17,9.0
2022-03-18,3.0
2022-03-19,2.0
2022-03-20,11.0
2022-03-21,4.0
2022-03-22,6.0
2022-03-23,3.0
2022-03-24,8.0
2022-03-25,3.0
2022-03-26,3.0
2022-03-27,10.0
2022-03-28,3.0
2022-03-29,6.0
2022-03-30,3.0
2022-03-31,7.0
2022-04-01,3.0
2022-04-02,3.0
2022-04-03,14.0
2022-04-04,4.0
2022-04-05,7.0
2022-04-06,4.0
2022-04-07,10.0
2022-04-08,3.0
2022-04-09,3.0
2022-04-10,26.0
2022-04-11,5.0
2022-04-12,8.0
2022-04-13,4.0
2022-04-14,10.0
2022-04-15,4.0
2022-04-16,4.0
2022-04-17,17.0
2022-04-18,6.0
2022-04-19,8.0
2022-04-20,4.0
2022-04-21,12.0
2022-04-22,4.0
2022-04-23,4.0
2022-04-24,25.0
2022-04-25,8.0
2022-04-26,19.0
2022-04-27,9.0
2022-04-28,34.0
2022-04-29,8.0
2022-04-30,5.0
2022-05-01,11.0
2022-05-02,4.0
2022-05-03,6.0
2022-05-04,3.0
2022-05-05,7.0
2022-05-06,3.0
2022-05-07,3.0
2022-05-08,10.0
2022-05-09,3.0
2022-05-10,5.0
2022-05-11,3.0
2022-05-12,8.0
2022-05-13,3.0
2022-05-14,3.0
2022-05-15,12.0
2022-05-16,4.0
2022-05-17,6.0
2022-05-18,3.0
