Time,papa johns
2023-04-26,44
2023-04-27,50
2023-04-28,64
2023-04-29,75
2023-04-30,72
2023-05-01,45
2023-05-02,43
2023-05-03,45
2023-05-04,52
2023-05-05,65
2023-05-06,83
2023-05-07,78
2023-05-08,47
2023-05-09,46
2023-05-10,49
2023-05-11,59
2023-05-12,63
2023-05-13,79
2023-05-14,84
2023-05-15,53
2023-05-16,46
2023-05-17,49
2023-05-18,54
2023-05-19,74
2023-05-20,83
2023-05-21,78
2023-05-22,48
2023-05-23,47
2023-05-24,53
2023-05-25,56
2023-05-26,74
2023-05-27,83
2023-05-28,72
2023-05-29,72
2023-05-30,47
2023-05-31,50
2023-06-01,58
2023-06-02,70
2023-06-03,80
2023-06-04,74
2023-06-05,53
2023-06-06,46
2023-06-07,49
2023-06-08,52
2023-06-09,64
2023-06-10,78
2023-06-11,70
2023-06-12,46
2023-06-13,51
2023-06-14,47
2023-06-15,54
2023-06-16,66
2023-06-17,74
2023-06-18,72
2023-06-19,54
2023-06-20,49
2023-06-21,51
2023-06-22,59
2023-06-23,65
2023-06-24,80
2023-06-25,78
2023-06-26,52
2023-06-27,53
2023-06-28,50
2023-06-29,63
2023-06-30,70
2023-07-01,82
2023-07-02,79
2023-07-03,67
2023-07-04,78
2023-07-05,53
2023-07-06,53
2023-07-07,66
2023-07-08,80
2023-07-09,78
2023-07-10,51
2023-07-11,48
2023-07-12,49
2023-07-13,55
2023-07-14,67
2023-07-15,82
2023-07-16,82
2023-07-17,49
2023-07-18,47
2023-07-19,49
2023-07-20,50
2023-07-21,64
2023-07-22,77
2023-07-23,73
2023-07-24,50
2023-07-25,46
2023-07-26,49
2023-07-27,54
2023-07-28,70
2023-07-29,82
2023-07-30,73
2023-07-31,48
2023-08-01,54
2023-08-02,55
2023-08-03,56
2023-08-04,73
2023-08-05,82
2023-08-06,78
2023-08-07,53
2023-08-08,48
2023-08-09,49
2023-08-10,53
2023-08-11,70
2023-08-12,86
2023-08-13,76
2023-08-14,51
2023-08-15,48
2023-08-16,50
2023-08-17,52
2023-08-18,69
2023-08-19,78
2023-08-20,75
2023-08-21,48
2023-08-22,46
2023-08-23,58
2023-08-24,51
2023-08-25,68
2023-08-26,80
2023-08-27,75
2023-08-28,46
2023-08-29,47
2023-08-30,50
2023-08-31,52
2023-09-01,70
2023-09-02,86
2023-09-03,82
2023-09-04,75
2023-09-05,46
2023-09-06,43
2023-09-07,53
2023-09-08,65
2023-09-09,85
2023-09-10,80
2023-09-11,43
2023-09-12,43
2023-09-13,43
2023-09-14,51
2023-09-15,61
2023-09-16,84
2023-09-17,81
2023-09-18,43
2023-09-19,41
2023-09-20,45
2023-09-21,50
2023-09-22,65
2023-09-23,87
2023-09-24,76
2023-09-25,45
2023-09-26,41
2023-09-27,43
2023-09-28,52
2023-09-29,66
2023-09-30,84
2023-10-01,78
2023-10-02,43
2023-10-03,42
2023-10-04,44
2023-10-05,48
2023-10-06,64
2023-10-07,80
2023-10-08,78
2023-10-09,48
2023-10-10,40
2023-10-11,45
2023-10-12,48
2023-10-13,62
2023-10-14,83
2023-10-15,94
2023-10-16,43
2023-10-17,42
2023-10-18,45
2023-10-19,47
2023-10-20,67
2023-10-21,78
2023-10-22,84
2023-10-23,43
2023-10-24,44
2023-10-25,49
2023-10-26,49
2023-10-27,66
2023-10-28,87
2023-10-29,81
2023-10-30,47
2023-10-31,83
2023-11-01,59
2023-11-02,48
2023-11-03,61
2023-11-04,76
2023-11-05,70
2023-11-06,42
2023-11-07,45
2023-11-08,44
2023-11-09,47
2023-11-10,75
2023-11-11,84
2023-11-12,73
2023-11-13,43
2023-11-14,42
2023-11-15,44
2023-11-16,47
2023-11-17,63
2023-11-18,79
2023-11-19,74
2023-11-20,52
2023-11-21,56
2023-11-22,72
2023-11-23,61
2023-11-24,57
2023-11-25,75
2023-11-26,73
2023-11-27,47
2023-11-28,43
2023-11-29,48
2023-11-30,50
2023-12-01,66
2023-12-02,89
2023-12-03,75
2023-12-04,43
2023-12-05,42
2023-12-06,43
2023-12-07,48
2023-12-08,78
2023-12-09,79
2023-12-10,77
2023-12-11,42
2023-12-12,40
2023-12-13,46
2023-12-14,52
2023-12-15,62
2023-12-16,81
2023-12-17,79
2023-12-18,53
2023-12-19,48
2023-12-20,53
2023-12-21,61
2023-12-22,72
2023-12-23,84
2023-12-24,95
2023-12-25,82
2023-12-26,64
2023-12-27,62
2023-12-28,63
2023-12-29,75
2023-12-30,82
2023-12-31,100
2024-01-01,92
2024-01-02,54
2024-01-03,49
2024-01-04,47
2024-01-05,63
2024-01-06,79
2024-01-07,80
2024-01-08,44
2024-01-09,46
2024-01-10,45
2024-01-11,45
2024-01-12,70
2024-01-13,80
2024-01-14,77
2024-01-15,57
2024-01-16,46
2024-01-17,47
2024-01-18,46
2024-01-19,66
2024-01-20,85
