Time,papa johns
2022-01-01,100
2022-01-02,85
2022-01-03,56
2022-01-04,54
2022-01-05,51
2022-01-06,44
2022-01-07,60
2022-01-08,84
2022-01-09,75
2022-01-10,46
2022-01-11,49
2022-01-12,45
2022-01-13,51
2022-01-14,52
2022-01-15,78
2022-01-16,80
2022-01-17,52
2022-01-18,38
2022-01-19,37
2022-01-20,43
2022-01-21,52
2022-01-22,79
2022-01-23,69
2022-01-24,49
2022-01-25,33
2022-01-26,37
2022-01-27,40
2022-01-28,59
2022-01-29,76
2022-01-30,72
2022-01-31,42
2022-02-01,39
2022-02-02,43
2022-02-03,51
2022-02-04,66
2022-02-05,79
2022-02-06,65
2022-02-07,40
2022-02-08,37
2022-02-09,43
2022-02-10,39
2022-02-11,56
2022-02-12,63
2022-02-13,94
2022-02-14,60
2022-02-15,44
2022-02-16,35
2022-02-17,40
2022-02-18,55
2022-02-19,67
2022-02-20,62
2022-02-21,47
2022-02-22,38
2022-02-23,38
2022-02-24,41
2022-02-25,54
2022-02-26,69
2022-02-27,63
2022-02-28,38
2022-03-01,37
2022-03-02,38
2022-03-03,39
2022-03-04,49
2022-03-05,68
2022-03-06,59
2022-03-07,37
2022-03-08,37
2022-03-09,38
2022-03-10,45
2022-03-11,56
2022-03-12,70
2022-03-13,65
2022-03-14,46
2022-03-15,39
2022-03-16,39
2022-03-17,42
2022-03-18,59
2022-03-19,66
2022-03-20,65
2022-03-21,37
2022-03-22,37
2022-03-23,37
2022-03-24,42
2022-03-25,53
2022-03-26,65
2022-03-27,57
2022-03-28,31
2022-03-29,34
2022-03-30,39
2022-03-31,39
2022-04-01,52
2022-04-02,68
2022-04-03,60
2022-04-04,36
2022-04-05,37
2022-04-06,36
2022-04-07,36
2022-04-08,51
2022-04-09,64
2022-04-10,63
2022-04-11,37
2022-04-12,36
2022-04-13,38
2022-04-14,40
2022-04-15,55
2022-04-16,66
2022-04-17,64
2022-04-18,39
2022-04-19,33
2022-04-20,37
2022-04-21,37
2022-04-22,46
2022-04-23,71
2022-04-24,64
2022-04-25,38
2022-04-26,36
2022-04-27,36
2022-04-28,39
2022-04-29,53
2022-04-30,69
2022-05-01,65
2022-05-02,36
2022-05-03,37
2022-05-04,33
2022-05-05,37
2022-05-06,49
2022-05-07,63
2022-05-08,65
2022-05-09,35
2022-05-10,34
2022-05-11,33
2022-05-12,41
2022-05-13,58
2022-05-14,71
2022-05-15,64
2022-05-16,38
2022-05-17,37
2022-05-18,37
2022-05-19,40
2022-05-20,52
2022-05-21,65
2022-05-22,63
2022-05-23,38
2022-05-24,37
2022-05-25,40
2022-05-26,43
2022-05-27,57
2022-05-28,61
2022-05-29,58
2022-05-30,59
2022-05-31,38
2022-06-01,41
2022-06-02,41
2022-06-03,54
2022-06-04,64
2022-06-05,65
2022-06-06,39
2022-06-07,39
2022-06-08,39
2022-06-09,43
2022-06-10,56
2022-06-11,59
2022-06-12,59
2022-06-13,39
2022-06-14,38
2022-06-15,40
2022-06-16,44
2022-06-17,55
2022-06-18,54
2022-06-19,57
2022-06-20,41
2022-06-21,36
2022-06-22,39
2022-06-23,43
2022-06-24,53
2022-06-25,61
2022-06-26,62
2022-06-27,41
2022-06-28,38
2022-06-29,43
2022-06-30,46
2022-07-01,60
2022-07-02,64
2022-07-03,58
2022-07-04,67
2022-07-05,46
2022-07-06,39
2022-07-07,41
2022-07-08,54
2022-07-09,62
2022-07-10,59
2022-07-11,41
2022-07-12,38
2022-07-13,41
2022-07-14,43
2022-07-15,52
2022-07-16,60
2022-07-17,60
2022-07-18,38
2022-07-19,37
2022-07-20,38
2022-07-21,42
2022-07-22,54
2022-07-23,55
2022-07-24,60
2022-07-25,39
2022-07-26,37
2022-07-27,37
2022-07-28,42
2022-07-29,54
2022-07-30,58
2022-07-31,57
2022-08-01,37
2022-08-02,36
2022-08-03,38
2022-08-04,41
2022-08-05,55
2022-08-06,60
2022-08-07,59
2022-08-08,38
2022-08-09,36
2022-08-10,38
2022-08-11,39
2022-08-12,50
2022-08-13,60
2022-08-14,59
2022-08-15,37
2022-08-16,36
2022-08-17,37
2022-08-18,45
2022-08-19,56
2022-08-20,62
2022-08-21,56
2022-08-22,34
2022-08-23,44
2022-08-24,36
2022-08-25,39
2022-08-26,51
2022-08-27,67
2022-08-28,60
2022-08-29,38
2022-08-30,37
2022-08-31,39
2022-09-01,40
2022-09-02,54
2022-09-03,67
2022-09-04,62
2022-09-05,55
2022-09-06,34
2022-09-07,41
2022-09-08,37
2022-09-09,49
2022-09-10,71
2022-09-11,69
2022-09-12,34
2022-09-13,33
2022-09-14,35
2022-09-15,38
2022-09-16,52
2022-09-17,65
2022-09-18,67
2022-09-19,35
2022-09-20,38
2022-09-21,33
2022-09-22,38
2022-09-23,52
2022-09-24,65
2022-09-25,68
2022-09-26,40
2022-09-27,36
