Time,mcdonalds
2023-12-22,32
2023-12-23,35
2023-12-24,47
2023-12-25,100
2023-12-26,57
2023-12-27,37
2023-12-28,33
2023-12-29,35
2023-12-30,37
2023-12-31,37
2024-01-01,59
2024-01-02,30
2024-01-03,29
2024-01-04,28
2024-01-05,29
2024-01-06,34
2024-01-07,33
2024-01-08,27
2024-01-09,25
2024-01-10,28
2024-01-11,28
2024-01-12,29
2024-01-13,33
2024-01-14,30
2024-01-15,27
2024-01-16,24
2024-01-17,25
2024-01-18,28
2024-01-19,27
2024-01-20,32
2024-01-21,33
2024-01-22,26
2024-01-23,23
2024-01-24,28
2024-01-25,27
2024-01-26,29
2024-01-27,34
2024-01-28,35
2024-01-29,26
2024-01-30,29
2024-01-31,28
2024-02-01,27
2024-02-02,29
2024-02-03,35
2024-02-04,33
2024-02-05,28
2024-02-06,29
2024-02-07,40
2024-02-08,38
2024-02-09,32
2024-02-10,35
2024-02-11,36
2024-02-12,23
2024-02-13,26
2024-02-14,24
2024-02-15,26
2024-02-16,28
2024-02-17,32
2024-02-18,34
2024-02-19,30
2024-02-20,26
2024-02-21,26
2024-02-22,28
2024-02-23,31
2024-02-24,36
2024-02-25,37
2024-02-26,30
2024-02-27,30
2024-02-28,32
2024-02-29,33
2024-03-01,34
2024-03-02,41
2024-03-03,41
2024-03-04,31
2024-03-05,30
2024-03-06,29
2024-03-07,28
2024-03-08,30
2024-03-09,37
2024-03-10,36
2024-03-11,29
2024-03-12,30
2024-03-13,31
2024-03-14,34
2024-03-15,37
2024-03-16,43
2024-03-17,41
2024-03-18,30
2024-03-19,30
2024-03-20,29
2024-03-21,29
2024-03-22,32
2024-03-23,35
2024-03-24,38
2024-03-25,28
2024-03-26,33
2024-03-27,32
2024-03-28,31
2024-03-29,35
2024-03-30,39
2024-03-31,51
2024-04-01,34
2024-04-02,32
2024-04-03,35
2024-04-04,30
2024-04-05,34
2024-04-06,38
2024-04-07,39
2024-04-08,28
2024-04-09,26
2024-04-10,29
2024-04-11,31
2024-04-12,30
2024-04-13,35
2024-04-14,39
2024-04-15,28
2024-04-16,28
2024-04-17,28
2024-04-18,30
2024-04-19,30
2024-04-20,36
2024-04-21,40
2024-04-22,28
2024-04-23,29
2024-04-24,30
2024-04-25,28
2024-04-26,29
2024-04-27,36
2024-04-28,35
2024-04-29,28
2024-04-30,28
2024-05-01,29
2024-05-02,28
2024-05-03,29
2024-05-04,36
2024-05-05,38
2024-05-06,29
2024-05-07,26
2024-05-08,26
2024-05-09,29
2024-05-10,32
2024-05-11,38
2024-05-12,49
2024-05-13,36
2024-05-14,35
2024-05-15,30
2024-05-16,32
2024-05-17,38
2024-05-18,37
2024-05-19,48
2024-05-20,33
2024-05-21,36
2024-05-22,36
2024-05-23,33
2024-05-24,38
2024-05-25,39
2024-05-26,39
2024-05-27,39
2024-05-28,30
2024-05-29,32
2024-05-30,36
2024-05-31,34
2024-06-01,42
2024-06-02,40
2024-06-03,30
2024-06-04,31
2024-06-05,30
2024-06-06,31
2024-06-07,33
2024-06-08,37
2024-06-09,37
2024-06-10,30
2024-06-11,28
2024-06-12,30
2024-06-13,30
2024-06-14,31
2024-06-15,40
2024-06-16,35
2024-06-17,31
2024-06-18,34
2024-06-19,32
2024-06-20,29
2024-06-21,33
2024-06-22,37
2024-06-23,39
2024-06-24,31
2024-06-25,33
2024-06-26,34
2024-06-27,34
2024-06-28,34
2024-06-29,38
2024-06-30,39
2024-07-01,34
2024-07-02,39
2024-07-03,37
2024-07-04,45
2024-07-05,42
2024-07-06,39
2024-07-07,39
2024-07-08,34
2024-07-09,37
2024-07-10,37
2024-07-11,35
2024-07-12,34
2024-07-13,39
2024-07-14,38
2024-07-15,30
2024-07-16,27
2024-07-17,33
2024-07-18,32
2024-07-19,33
2024-07-20,37
2024-07-21,35
2024-07-22,30
2024-07-23,30
2024-07-24,30
2024-07-25,30
2024-07-26,30
2024-07-27,36
2024-07-28,37
2024-07-29,30
2024-07-30,30
2024-07-31,30
2024-08-01,30
2024-08-02,32
2024-08-03,37
2024-08-04,37
2024-08-05,30
2024-08-06,28
2024-08-07,40
2024-08-08,39
2024-08-09,40
2024-08-10,39
2024-08-11,38
2024-08-12,35
2024-08-13,66
2024-08-14,72
2024-08-15,64
2024-08-16,59
2024-08-17,61
2024-08-18,57
2024-08-19,43
2024-08-20,46
2024-08-21,51
2024-08-22,48
2024-08-23,42
2024-08-24,48
2024-08-25,49
2024-08-26,32
2024-08-27,30
2024-08-28,32
2024-08-29,32
2024-08-30,35
2024-08-31,42
2024-09-01,42
2024-09-02,43
2024-09-03,29
2024-09-04,29
2024-09-05,29
2024-09-06,30
2024-09-07,42
2024-09-08,45
2024-09-09,32
2024-09-10,33
2024-09-11,32
2024-09-12,35
2024-09-13,34
2024-09-14,42
2024-09-15,43
2024-09-16,33
