Time,mcdonalds
2022-08-29,36
2022-08-30,39
2022-08-31,37
2022-09-01,40
2022-09-02,43
2022-09-03,56
2022-09-04,54
2022-09-05,53
2022-09-06,37
2022-09-07,35
2022-09-08,35
2022-09-09,42
2022-09-10,51
2022-09-11,51
2022-09-12,34
2022-09-13,35
2022-09-14,37
2022-09-15,38
2022-09-16,39
2022-09-17,58
2022-09-18,57
2022-09-19,42
2022-09-20,41
2022-09-21,38
2022-09-22,40
2022-09-23,43
2022-09-24,53
2022-09-25,53
2022-09-26,34
2022-09-27,37
2022-09-28,47
2022-09-29,48
2022-09-30,49
2022-10-01,59
2022-10-02,61
2022-10-03,75
2022-10-04,100
2022-10-05,85
2022-10-06,76
2022-10-07,76
2022-10-08,65
2022-10-09,56
2022-10-10,41
2022-10-11,36
2022-10-12,34
2022-10-13,36
2022-10-14,38
2022-10-15,43
2022-10-16,43
2022-10-17,33
2022-10-18,63
2022-10-19,53
2022-10-20,45
2022-10-21,43
2022-10-22,48
2022-10-23,46
2022-10-24,34
2022-10-25,32
2022-10-26,32
2022-10-27,32
2022-10-28,32
2022-10-29,40
2022-10-30,40
2022-10-31,25
2022-11-01,25
2022-11-02,23
2022-11-03,23
2022-11-04,28
2022-11-05,32
2022-11-06,29
2022-11-07,23
2022-11-08,23
2022-11-09,21
2022-11-10,24
2022-11-11,30
2022-11-12,34
2022-11-13,37
2022-11-14,24
2022-11-15,23
2022-11-16,23
2022-11-17,24
2022-11-18,25
2022-11-19,34
2022-11-20,34
2022-11-21,24
2022-11-22,29
2022-11-23,31
2022-11-24,54
2022-11-25,37
2022-11-26,30
2022-11-27,34
2022-11-28,23
2022-11-29,22
2022-11-30,25
2022-12-01,25
2022-12-02,24
2022-12-03,34
2022-12-04,31
2022-12-05,24
2022-12-06,22
2022-12-07,24
2022-12-08,29
2022-12-09,29
2022-12-10,34
2022-12-11,33
2022-12-12,24
2022-12-13,21
2022-12-14,23
2022-12-15,23
2022-12-16,27
2022-12-17,32
2022-12-18,32
2022-12-19,25
2022-12-20,24
2022-12-21,24
2022-12-22,29
2022-12-23,32
2022-12-24,39
2022-12-25,82
2022-12-26,50
2022-12-27,30
2022-12-28,25
2022-12-29,28
2022-12-30,29
2022-12-31,30
2023-01-01,48
2023-01-02,29
2023-01-03,21
2023-01-04,23
2023-01-05,24
2023-01-06,25
2023-01-07,31
2023-01-08,30
2023-01-09,22
2023-01-10,22
2023-01-11,22
2023-01-12,21
2023-01-13,23
2023-01-14,29
2023-01-15,28
2023-01-16,26
2023-01-17,22
2023-01-18,22
2023-01-19,28
2023-01-20,25
2023-01-21,29
2023-01-22,29
2023-01-23,22
2023-01-24,23
2023-01-25,22
2023-01-26,23
2023-01-27,25
2023-01-28,29
2023-01-29,29
2023-01-30,21
2023-01-31,21
2023-02-01,22
2023-02-02,25
2023-02-03,23
2023-02-04,30
2023-02-05,28
2023-02-06,22
2023-02-07,22
2023-02-08,24
2023-02-09,23
2023-02-10,24
2023-02-11,31
2023-02-12,30
2023-02-13,23
2023-02-14,26
2023-02-15,28
2023-02-16,27
2023-02-17,29
2023-02-18,34
2023-02-19,36
2023-02-20,29
2023-02-21,24
2023-02-22,28
2023-02-23,28
2023-02-24,28
2023-02-25,33
2023-02-26,35
2023-02-27,26
2023-02-28,21
2023-03-01,25
2023-03-02,26
2023-03-03,27
2023-03-04,34
2023-03-05,34
2023-03-06,23
2023-03-07,22
2023-03-08,24
2023-03-09,24
2023-03-10,26
2023-03-11,31
2023-03-12,31
2023-03-13,24
2023-03-14,24
2023-03-15,24
2023-03-16,25
2023-03-17,28
2023-03-18,34
2023-03-19,34
2023-03-20,25
2023-03-21,24
2023-03-22,22
2023-03-23,25
2023-03-24,25
2023-03-25,30
2023-03-26,33
2023-03-27,23
2023-03-28,27
2023-03-29,33
2023-03-30,25
2023-03-31,24
2023-04-01,30
2023-04-02,31
2023-04-03,31
2023-04-04,25
2023-04-05,24
2023-04-06,24
2023-04-07,28
2023-04-08,30
2023-04-09,36
2023-04-10,23
2023-04-11,21
2023-04-12,23
2023-04-13,24
2023-04-14,28
2023-04-15,30
2023-04-16,33
2023-04-17,24
2023-04-18,25
2023-04-19,25
2023-04-20,26
2023-04-21,25
2023-04-22,33
2023-04-23,35
2023-04-24,23
2023-04-25,23
2023-04-26,22
2023-04-27,24
2023-04-28,24
2023-04-29,32
2023-04-30,33
2023-05-01,25
2023-05-02,22
2023-05-03,23
2023-05-04,26
2023-05-05,25
2023-05-06,32
2023-05-07,32
2023-05-08,23
2023-05-09,22
2023-05-10,24
2023-05-11,23
2023-05-12,24
2023-05-13,31
2023-05-14,34
2023-05-15,23
2023-05-16,22
2023-05-17,22
2023-05-18,23
2023-05-19,23
2023-05-20,30
2023-05-21,33
2023-05-22,23
2023-05-23,23
2023-05-24,22
2023-05-25,24
