Time,verizon
2023-12-22,69
2023-12-23,79
2023-12-24,60
2023-12-25,55
2023-12-26,83
2023-12-27,80
2023-12-28,79
2023-12-29,78
2023-12-30,69
2023-12-31,59
2024-01-01,57
2024-01-02,69
2024-01-03,75
2024-01-04,75
2024-01-05,99
2024-01-06,79
2024-01-07,67
2024-01-08,71
2024-01-09,72
2024-01-10,73
2024-01-11,67
2024-01-12,66
2024-01-13,66
2024-01-14,59
2024-01-15,65
2024-01-16,59
2024-01-17,64
2024-01-18,65
2024-01-19,66
2024-01-20,67
2024-01-21,64
2024-01-22,68
2024-01-23,66
2024-01-24,69
2024-01-25,70
2024-01-26,69
2024-01-27,66
2024-01-28,61
2024-01-29,67
2024-01-30,68
2024-01-31,65
2024-02-01,65
2024-02-02,60
2024-02-03,60
2024-02-04,56
2024-02-05,58
2024-02-06,60
2024-02-07,60
2024-02-08,56
2024-02-09,59
2024-02-10,57
2024-02-11,50
2024-02-12,62
2024-02-13,61
2024-02-14,56
2024-02-15,57
2024-02-16,62
2024-02-17,58
2024-02-18,53
2024-02-19,60
2024-02-20,57
2024-02-21,59
2024-02-22,94
2024-02-23,66
2024-02-24,61
2024-02-25,54
2024-02-26,58
2024-02-27,57
2024-02-28,59
2024-02-29,63
2024-03-01,63
2024-03-02,62
2024-03-03,55
2024-03-04,60
2024-03-05,62
2024-03-06,56
2024-03-07,61
2024-03-08,57
2024-03-09,60
2024-03-10,56
2024-03-11,60
2024-03-12,62
2024-03-13,62
2024-03-14,60
2024-03-15,62
2024-03-16,56
2024-03-17,56
2024-03-18,60
2024-03-19,60
2024-03-20,61
2024-03-21,57
2024-03-22,58
2024-03-23,61
2024-03-24,51
2024-03-25,64
2024-03-26,63
2024-03-27,64
2024-03-28,64
2024-03-29,62
2024-03-30,56
2024-03-31,45
2024-04-01,65
2024-04-02,61
2024-04-03,64
2024-04-04,60
2024-04-05,58
2024-04-06,55
2024-04-07,47
2024-04-08,51
2024-04-09,56
2024-04-10,59
2024-04-11,59
2024-04-12,62
2024-04-13,55
2024-04-14,48
2024-04-15,66
2024-04-16,67
2024-04-17,58
2024-04-18,59
2024-04-19,59
2024-04-20,53
2024-04-21,52
2024-04-22,57
2024-04-23,55
2024-04-24,57
2024-04-25,57
2024-04-26,55
2024-04-27,52
2024-04-28,48
2024-04-29,56
2024-04-30,58
2024-05-01,57
2024-05-02,57
2024-05-03,56
2024-05-04,52
2024-05-05,47
2024-05-06,56
2024-05-07,62
2024-05-08,56
2024-05-09,58
2024-05-10,57
2024-05-11,52
2024-05-12,47
2024-05-13,56
2024-05-14,61
2024-05-15,58
2024-05-16,63
2024-05-17,58
2024-05-18,56
2024-05-19,51
2024-05-20,59
2024-05-21,61
2024-05-22,64
2024-05-23,61
2024-05-24,63
2024-05-25,54
2024-05-26,54
2024-05-27,59
2024-05-28,64
2024-05-29,68
2024-05-30,100
2024-05-31,96
2024-06-01,67
2024-06-02,58
2024-06-03,64
2024-06-04,76
2024-06-05,68
2024-06-06,67
2024-06-07,66
2024-06-08,60
2024-06-09,55
2024-06-10,67
2024-06-11,63
2024-06-12,64
2024-06-13,63
2024-06-14,62
2024-06-15,57
2024-06-16,53
2024-06-17,65
2024-06-18,64
2024-06-19,64
2024-06-20,61
2024-06-21,63
2024-06-22,58
2024-06-23,53
2024-06-24,64
2024-06-25,66
2024-06-26,68
2024-06-27,75
2024-06-28,76
2024-06-29,66
2024-06-30,70
2024-07-01,72
2024-07-02,70
2024-07-03,66
2024-07-04,58
2024-07-05,65
2024-07-06,58
2024-07-07,59
2024-07-08,67
2024-07-09,71
2024-07-10,64
2024-07-11,67
2024-07-12,68
2024-07-13,58
2024-07-14,49
2024-07-15,64
2024-07-16,67
2024-07-17,73
2024-07-18,69
2024-07-19,65
2024-07-20,55
2024-07-21,52
2024-07-22,68
2024-07-23,63
2024-07-24,65
2024-07-25,63
2024-07-26,61
2024-07-27,56
2024-07-28,55
2024-07-29,64
2024-07-30,66
2024-07-31,66
2024-08-01,67
2024-08-02,68
2024-08-03,59
2024-08-04,56
2024-08-05,60
2024-08-06,65
2024-08-07,61
2024-08-08,61
2024-08-09,63
2024-08-10,57
2024-08-11,52
2024-08-12,62
2024-08-13,65
2024-08-14,68
2024-08-15,65
2024-08-16,62
2024-08-17,56
2024-08-18,56
2024-08-19,60
2024-08-20,61
2024-08-21,59
2024-08-22,58
2024-08-23,59
2024-08-24,55
2024-08-25,54
2024-08-26,61
2024-08-27,58
2024-08-28,61
2024-08-29,59
2024-08-30,61
2024-08-31,57
2024-09-01,52
2024-09-02,56
2024-09-03,60
2024-09-04,66
2024-09-05,76
2024-09-06,63
2024-09-07,59
2024-09-08,57
2024-09-09,69
2024-09-10,70
2024-09-11,64
2024-09-12,64
2024-09-13,78
2024-09-14,67
2024-09-15,60
2024-09-16,66
