Time,office 365
2023-04-26,87
2023-04-27,84
2023-04-28,78
2023-04-29,35
2023-04-30,32
2023-05-01,79
2023-05-02,85
2023-05-03,91
2023-05-04,92
2023-05-05,78
2023-05-06,32
2023-05-07,29
2023-05-08,85
2023-05-09,86
2023-05-10,86
2023-05-11,84
2023-05-12,77
2023-05-13,32
2023-05-14,26
2023-05-15,87
2023-05-16,99
2023-05-17,80
2023-05-18,84
2023-05-19,77
2023-05-20,28
2023-05-21,30
2023-05-22,83
2023-05-23,85
2023-05-24,92
2023-05-25,78
2023-05-26,67
2023-05-27,27
2023-05-28,24
2023-05-29,32
2023-05-30,80
2023-05-31,81
2023-06-01,82
2023-06-02,72
2023-06-03,31
2023-06-04,31
2023-06-05,100
2023-06-06,80
2023-06-07,80
2023-06-08,78
2023-06-09,73
2023-06-10,28
2023-06-11,27
2023-06-12,82
2023-06-13,75
2023-06-14,76
2023-06-15,81
2023-06-16,69
2023-06-17,27
2023-06-18,24
2023-06-19,66
2023-06-20,78
2023-06-21,80
2023-06-22,79
2023-06-23,70
2023-06-24,29
2023-06-25,28
2023-06-26,77
2023-06-27,82
2023-06-28,84
2023-06-29,75
2023-06-30,64
2023-07-01,27
2023-07-02,26
2023-07-03,58
2023-07-04,31
2023-07-05,74
2023-07-06,75
2023-07-07,70
2023-07-08,28
2023-07-09,28
2023-07-10,79
2023-07-11,82
2023-07-12,78
2023-07-13,74
2023-07-14,70
2023-07-15,31
2023-07-16,28
2023-07-17,76
2023-07-18,74
2023-07-19,75
2023-07-20,72
2023-07-21,64
2023-07-22,28
2023-07-23,25
2023-07-24,80
2023-07-25,75
2023-07-26,68
2023-07-27,72
2023-07-28,66
2023-07-29,30
2023-07-30,25
2023-07-31,69
2023-08-01,79
2023-08-02,74
2023-08-03,73
2023-08-04,73
2023-08-05,27
2023-08-06,25
2023-08-07,85
2023-08-08,78
2023-08-09,79
2023-08-10,81
2023-08-11,77
2023-08-12,28
2023-08-13,26
2023-08-14,78
2023-08-15,79
2023-08-16,78
2023-08-17,79
2023-08-18,77
2023-08-19,32
2023-08-20,29
2023-08-21,86
2023-08-22,91
2023-08-23,89
2023-08-24,88
2023-08-25,77
2023-08-26,33
2023-08-27,31
2023-08-28,89
2023-08-29,88
2023-08-30,87
2023-08-31,85
2023-09-01,72
2023-09-02,28
2023-09-03,27
2023-09-04,36
2023-09-05,90
2023-09-06,87
2023-09-07,86
2023-09-08,73
2023-09-09,32
2023-09-10,31
2023-09-11,81
2023-09-12,82
2023-09-13,84
2023-09-14,81
2023-09-15,75
2023-09-16,32
2023-09-17,30
2023-09-18,79
2023-09-19,86
2023-09-20,81
2023-09-21,84
2023-09-22,79
2023-09-23,30
2023-09-24,30
2023-09-25,99
2023-09-26,78
2023-09-27,84
2023-09-28,78
2023-09-29,72
2023-09-30,30
2023-10-01,29
2023-10-02,78
2023-10-03,82
2023-10-04,77
2023-10-05,78
2023-10-06,74
2023-10-07,28
2023-10-08,28
2023-10-09,70
2023-10-10,79
2023-10-11,79
2023-10-12,78
2023-10-13,71
2023-10-14,29
2023-10-15,28
2023-10-16,74
2023-10-17,80
2023-10-18,86
2023-10-19,78
2023-10-20,69
2023-10-21,29
2023-10-22,29
2023-10-23,80
2023-10-24,78
2023-10-25,78
2023-10-26,80
2023-10-27,77
2023-10-28,27
2023-10-29,26
2023-10-30,70
2023-10-31,74
2023-11-01,81
2023-11-02,79
2023-11-03,72
2023-11-04,29
2023-11-05,24
2023-11-06,73
2023-11-07,75
2023-11-08,72
2023-11-09,76
2023-11-10,60
2023-11-11,29
2023-11-12,24
2023-11-13,73
2023-11-14,78
2023-11-15,77
2023-11-16,75
2023-11-17,68
2023-11-18,29
2023-11-19,22
2023-11-20,70
2023-11-21,66
2023-11-22,56
2023-11-23,21
2023-11-24,29
2023-11-25,21
2023-11-26,23
2023-11-27,73
2023-11-28,76
2023-11-29,73
2023-11-30,75
2023-12-01,69
2023-12-02,32
2023-12-03,25
2023-12-04,83
2023-12-05,77
2023-12-06,80
2023-12-07,75
2023-12-08,72
2023-12-09,31
2023-12-10,28
2023-12-11,73
2023-12-12,75
2023-12-13,72
2023-12-14,79
2023-12-15,69
2023-12-16,29
2023-12-17,23
2023-12-18,66
2023-12-19,73
2023-12-20,67
2023-12-21,62
2023-12-22,49
2023-12-23,22
2023-12-24,18
2023-12-25,16
2023-12-26,41
2023-12-27,48
2023-12-28,49
2023-12-29,43
2023-12-30,22
2023-12-31,17
2024-01-01,22
2024-01-02,67
2024-01-03,71
2024-01-04,77
2024-01-05,65
2024-01-06,28
2024-01-07,26
2024-01-08,70
2024-01-09,75
2024-01-10,75
2024-01-11,74
2024-01-12,72
2024-01-13,31
2024-01-14,24
2024-01-15,51
2024-01-16,72
2024-01-17,81
2024-01-18,78
2024-01-19,70
2024-01-20,30
