Time,office 365
2022-08-29,76
2022-08-30,78
2022-08-31,79
2022-09-01,77
2022-09-02,67
2022-09-03,27
2022-09-04,25
2022-09-05,35
2022-09-06,84
2022-09-07,82
2022-09-08,78
2022-09-09,69
2022-09-10,30
2022-09-11,28
2022-09-12,81
2022-09-13,76
2022-09-14,83
2022-09-15,78
2022-09-16,67
2022-09-17,30
2022-09-18,27
2022-09-19,76
2022-09-20,69
2022-09-21,73
2022-09-22,72
2022-09-23,67
2022-09-24,28
2022-09-25,27
2022-09-26,74
2022-09-27,74
2022-09-28,72
2022-09-29,70
2022-09-30,66
2022-10-01,27
2022-10-02,26
2022-10-03,72
2022-10-04,69
2022-10-05,76
2022-10-06,74
2022-10-07,67
2022-10-08,27
2022-10-09,25
2022-10-10,62
2022-10-11,76
2022-10-12,76
2022-10-13,78
2022-10-14,68
2022-10-15,27
2022-10-16,28
2022-10-17,73
2022-10-18,74
2022-10-19,72
2022-10-20,73
2022-10-21,69
2022-10-22,24
2022-10-23,26
2022-10-24,69
2022-10-25,71
2022-10-26,73
2022-10-27,73
2022-10-28,64
2022-10-29,26
2022-10-30,26
2022-10-31,70
2022-11-01,66
2022-11-02,70
2022-11-03,74
2022-11-04,62
2022-11-05,25
2022-11-06,24
2022-11-07,67
2022-11-08,64
2022-11-09,65
2022-11-10,69
2022-11-11,57
2022-11-12,27
2022-11-13,25
2022-11-14,68
2022-11-15,71
2022-11-16,74
2022-11-17,68
2022-11-18,67
2022-11-19,26
2022-11-20,24
2022-11-21,63
2022-11-22,63
2022-11-23,54
2022-11-24,21
2022-11-25,28
2022-11-26,21
2022-11-27,23
2022-11-28,69
2022-11-29,68
2022-11-30,71
2022-12-01,74
2022-12-02,63
2022-12-03,30
2022-12-04,27
2022-12-05,73
2022-12-06,71
2022-12-07,68
2022-12-08,70
2022-12-09,64
2022-12-10,28
2022-12-11,27
2022-12-12,67
2022-12-13,67
2022-12-14,72
2022-12-15,63
2022-12-16,63
2022-12-17,25
2022-12-18,20
2022-12-19,63
2022-12-20,62
2022-12-21,58
2022-12-22,52
2022-12-23,40
2022-12-24,17
2022-12-25,13
2022-12-26,24
2022-12-27,49
2022-12-28,50
2022-12-29,48
2022-12-30,42
2022-12-31,20
2023-01-01,16
2023-01-02,32
2023-01-03,58
2023-01-04,61
2023-01-05,64
2023-01-06,64
2023-01-07,27
2023-01-08,24
2023-01-09,64
2023-01-10,72
2023-01-11,70
2023-01-12,67
2023-01-13,65
2023-01-14,29
2023-01-15,22
2023-01-16,51
2023-01-17,71
2023-01-18,75
2023-01-19,68
2023-01-20,63
2023-01-21,29
2023-01-22,25
2023-01-23,80
2023-01-24,75
2023-01-25,71
2023-01-26,69
2023-01-27,66
2023-01-28,29
2023-01-29,26
2023-01-30,65
2023-01-31,75
2023-02-01,71
2023-02-02,64
2023-02-03,67
2023-02-04,30
2023-02-05,26
2023-02-06,69
2023-02-07,71
2023-02-08,68
2023-02-09,68
2023-02-10,66
2023-02-11,29
2023-02-12,23
2023-02-13,59
2023-02-14,71
2023-02-15,72
2023-02-16,70
2023-02-17,62
2023-02-18,28
2023-02-19,24
2023-02-20,55
2023-02-21,65
2023-02-22,69
2023-02-23,62
2023-02-24,65
2023-02-25,29
2023-02-26,26
2023-02-27,66
2023-02-28,74
2023-03-01,70
2023-03-02,65
2023-03-03,61
2023-03-04,28
2023-03-05,26
2023-03-06,60
2023-03-07,66
2023-03-08,68
2023-03-09,66
2023-03-10,74
2023-03-11,27
2023-03-12,22
2023-03-13,62
2023-03-14,64
2023-03-15,61
2023-03-16,63
2023-03-17,55
2023-03-18,26
2023-03-19,25
2023-03-20,67
2023-03-21,67
2023-03-22,68
2023-03-23,63
2023-03-24,59
2023-03-25,24
2023-03-26,24
2023-03-27,62
2023-03-28,71
2023-03-29,65
2023-03-30,62
2023-03-31,60
2023-04-01,24
2023-04-02,23
2023-04-03,64
2023-04-04,62
2023-04-05,60
2023-04-06,63
2023-04-07,47
2023-04-08,22
2023-04-09,20
2023-04-10,61
2023-04-11,74
2023-04-12,67
2023-04-13,63
2023-04-14,61
2023-04-15,24
2023-04-16,24
2023-04-17,62
2023-04-18,61
2023-04-19,65
2023-04-20,100
2023-04-21,55
2023-04-22,25
2023-04-23,23
2023-04-24,63
2023-04-25,59
2023-04-26,63
2023-04-27,61
2023-04-28,56
2023-04-29,25
2023-04-30,23
2023-05-01,57
2023-05-02,61
2023-05-03,66
2023-05-04,66
2023-05-05,56
2023-05-06,23
2023-05-07,21
2023-05-08,62
2023-05-09,62
2023-05-10,62
2023-05-11,61
2023-05-12,56
2023-05-13,23
2023-05-14,19
2023-05-15,63
2023-05-16,71
2023-05-17,58
2023-05-18,61
2023-05-19,55
2023-05-20,21
2023-05-21,21
2023-05-22,60
2023-05-23,62
2023-05-24,67
2023-05-25,56
