Time,svb
2023-12-22,42
2023-12-23,30
2023-12-24,21
2023-12-25,0
2023-12-26,33
2023-12-27,43
2023-12-28,50
2023-12-29,39
2023-12-30,21
2023-12-31,27
2024-01-01,33
2024-01-02,52
2024-01-03,54
2024-01-04,56
2024-01-05,57
2024-01-06,30
2024-01-07,27
2024-01-08,48
2024-01-09,61
2024-01-10,64
2024-01-11,77
2024-01-12,71
2024-01-13,26
2024-01-14,22
2024-01-15,31
2024-01-16,57
2024-01-17,61
2024-01-18,78
2024-01-19,64
2024-01-20,28
2024-01-21,38
2024-01-22,84
2024-01-23,67
2024-01-24,73
2024-01-25,79
2024-01-26,47
2024-01-27,33
2024-01-28,44
2024-01-29,69
2024-01-30,70
2024-01-31,66
2024-02-01,61
2024-02-02,65
2024-02-03,25
2024-02-04,33
2024-02-05,76
2024-02-06,72
2024-02-07,87
2024-02-08,60
2024-02-09,85
2024-02-10,31
2024-02-11,38
2024-02-12,57
2024-02-13,69
2024-02-14,54
2024-02-15,66
2024-02-16,59
2024-02-17,39
2024-02-18,26
2024-02-19,48
2024-02-20,71
2024-02-21,57
2024-02-22,80
2024-02-23,58
2024-02-24,21
2024-02-25,40
2024-02-26,76
2024-02-27,70
2024-02-28,67
2024-02-29,59
2024-03-01,62
2024-03-02,33
2024-03-03,46
2024-03-04,67
2024-03-05,87
2024-03-06,81
2024-03-07,80
2024-03-08,65
2024-03-09,43
2024-03-10,42
2024-03-11,89
2024-03-12,100
2024-03-13,71
2024-03-14,45
2024-03-15,68
2024-03-16,0
2024-03-17,20
2024-03-18,49
2024-03-19,66
2024-03-20,69
2024-03-21,77
2024-03-22,50
2024-03-23,37
2024-03-24,23
2024-03-25,79
2024-03-26,66
2024-03-27,70
2024-03-28,63
2024-03-29,41
2024-03-30,22
2024-03-31,39
2024-04-01,71
2024-04-02,72
2024-04-03,33
2024-04-04,84
2024-04-05,52
2024-04-06,34
2024-04-07,31
2024-04-08,38
2024-04-09,57
2024-04-10,48
2024-04-11,54
2024-04-12,57
2024-04-13,26
2024-04-14,0
2024-04-15,57
2024-04-16,53
2024-04-17,73
2024-04-18,70
2024-04-19,57
2024-04-20,30
2024-04-21,36
2024-04-22,59
2024-04-23,68
2024-04-24,50
2024-04-25,75
2024-04-26,43
2024-04-27,27
2024-04-28,0
2024-04-29,65
2024-04-30,65
2024-05-01,69
2024-05-02,50
2024-05-03,65
2024-05-04,30
2024-05-05,35
2024-05-06,59
2024-05-07,71
2024-05-08,45
2024-05-09,73
2024-05-10,42
2024-05-11,21
2024-05-12,0
2024-05-13,65
2024-05-14,70
2024-05-15,54
2024-05-16,42
2024-05-17,48
2024-05-18,0
2024-05-19,0
2024-05-20,59
2024-05-21,61
2024-05-22,66
2024-05-23,51
2024-05-24,53
2024-05-25,0
2024-05-26,0
2024-05-27,0
2024-05-28,55
2024-05-29,74
2024-05-30,57
2024-05-31,44
2024-06-01,22
2024-06-02,0
2024-06-03,61
2024-06-04,69
2024-06-05,52
2024-06-06,49
2024-06-07,43
2024-06-08,28
2024-06-09,24
2024-06-10,57
2024-06-11,67
2024-06-12,66
2024-06-13,50
2024-06-14,44
2024-06-15,24
2024-06-16,26
2024-06-17,58
2024-06-18,41
2024-06-19,52
2024-06-20,54
2024-06-21,42
2024-06-22,29
2024-06-23,30
2024-06-24,56
2024-06-25,48
2024-06-26,74
2024-06-27,43
2024-06-28,47
2024-06-29,0
2024-06-30,22
2024-07-01,62
2024-07-02,67
2024-07-03,50
2024-07-04,27
2024-07-05,28
2024-07-06,0
2024-07-07,25
2024-07-08,39
2024-07-09,57
2024-07-10,42
2024-07-11,51
2024-07-12,52
2024-07-13,0
2024-07-14,0
2024-07-15,49
2024-07-16,48
2024-07-17,56
2024-07-18,59
2024-07-19,60
2024-07-20,23
2024-07-21,26
2024-07-22,55
2024-07-23,42
2024-07-24,53
2024-07-25,55
2024-07-26,53
2024-07-27,0
2024-07-28,0
2024-07-29,66
2024-07-30,70
2024-07-31,61
2024-08-01,41
2024-08-02,44
2024-08-03,29
2024-08-04,26
2024-08-05,57
2024-08-06,49
2024-08-07,53
2024-08-08,40
2024-08-09,56
2024-08-10,0
2024-08-11,0
2024-08-12,53
2024-08-13,39
2024-08-14,64
2024-08-15,59
2024-08-16,64
2024-08-17,68
2024-08-18,77
2024-08-19,38
2024-08-20,57
2024-08-21,34
2024-08-22,36
2024-08-23,36
2024-08-24,47
2024-08-25,29
2024-08-26,38
2024-08-27,40
2024-08-28,47
2024-08-29,42
2024-08-30,53
2024-08-31,21
2024-09-01,0
2024-09-02,19
2024-09-03,46
2024-09-04,59
2024-09-05,51
2024-09-06,54
2024-09-07,27
2024-09-08,0
2024-09-09,55
2024-09-10,51
2024-09-11,45
2024-09-12,58
2024-09-13,68
2024-09-14,20
2024-09-15,0
2024-09-16,65
