Time,svb
2023-04-26,65
2023-04-27,54
2023-04-28,97
2023-04-29,63
2023-04-30,42
2023-05-01,100
2023-05-02,66
2023-05-03,54
2023-05-04,65
2023-05-05,46
2023-05-06,20
2023-05-07,19
2023-05-08,44
2023-05-09,37
2023-05-10,35
2023-05-11,49
2023-05-12,31
2023-05-13,16
2023-05-14,15
2023-05-15,36
2023-05-16,58
2023-05-17,42
2023-05-18,35
2023-05-19,32
2023-05-20,17
2023-05-21,15
2023-05-22,33
2023-05-23,32
2023-05-24,47
2023-05-25,40
2023-05-26,26
2023-05-27,14
2023-05-28,12
2023-05-29,13
2023-05-30,26
2023-05-31,31
2023-06-01,31
2023-06-02,26
2023-06-03,12
2023-06-04,16
2023-06-05,27
2023-06-06,28
2023-06-07,26
2023-06-08,23
2023-06-09,21
2023-06-10,10
2023-06-11,12
2023-06-12,25
2023-06-13,23
2023-06-14,21
2023-06-15,26
2023-06-16,20
2023-06-17,9
2023-06-18,12
2023-06-19,22
2023-06-20,28
2023-06-21,18
2023-06-22,24
2023-06-23,27
2023-06-24,13
2023-06-25,11
2023-06-26,26
2023-06-27,29
2023-06-28,23
2023-06-29,21
2023-06-30,23
2023-07-01,12
2023-07-02,9
2023-07-03,18
2023-07-04,10
2023-07-05,22
2023-07-06,23
2023-07-07,20
2023-07-08,10
2023-07-09,7
2023-07-10,29
2023-07-11,25
2023-07-12,18
2023-07-13,21
2023-07-14,24
2023-07-15,10
2023-07-16,7
2023-07-17,27
2023-07-18,28
2023-07-19,21
2023-07-20,23
2023-07-21,21
2023-07-22,9
2023-07-23,7
2023-07-24,21
2023-07-25,19
2023-07-26,22
2023-07-27,19
2023-07-28,18
2023-07-29,11
2023-07-30,7
2023-07-31,18
2023-08-01,20
2023-08-02,19
2023-08-03,18
2023-08-04,17
2023-08-05,9
2023-08-06,6
2023-08-07,25
2023-08-08,16
2023-08-09,19
2023-08-10,20
2023-08-11,16
2023-08-12,11
2023-08-13,5
2023-08-14,16
2023-08-15,19
2023-08-16,16
2023-08-17,14
2023-08-18,13
2023-08-19,9
2023-08-20,6
2023-08-21,18
2023-08-22,21
2023-08-23,16
2023-08-24,17
2023-08-25,14
2023-08-26,6
2023-08-27,7
2023-08-28,14
2023-08-29,17
2023-08-30,17
2023-08-31,21
2023-09-01,11
2023-09-02,6
2023-09-03,9
2023-09-04,5
2023-09-05,15
2023-09-06,17
2023-09-07,16
2023-09-08,13
2023-09-09,6
2023-09-10,6
2023-09-11,15
2023-09-12,15
2023-09-13,14
2023-09-14,21
2023-09-15,17
2023-09-16,10
2023-09-17,6
2023-09-18,17
2023-09-19,23
2023-09-20,16
2023-09-21,17
2023-09-22,16
2023-09-23,5
2023-09-24,5
2023-09-25,16
2023-09-26,18
2023-09-27,15
2023-09-28,21
2023-09-29,17
2023-09-30,10
2023-10-01,10
2023-10-02,17
2023-10-03,15
2023-10-04,18
2023-10-05,17
2023-10-06,18
2023-10-07,8
2023-10-08,8
2023-10-09,16
2023-10-10,15
2023-10-11,19
2023-10-12,18
2023-10-13,14
2023-10-14,9
2023-10-15,10
2023-10-16,18
2023-10-17,20
2023-10-18,17
2023-10-19,15
2023-10-20,14
2023-10-21,6
2023-10-22,6
2023-10-23,15
2023-10-24,20
2023-10-25,20
2023-10-26,17
2023-10-27,11
2023-10-28,7
2023-10-29,6
2023-10-30,15
2023-10-31,17
2023-11-01,17
2023-11-02,16
2023-11-03,15
2023-11-04,8
2023-11-05,7
2023-11-06,20
2023-11-07,17
2023-11-08,17
2023-11-09,18
2023-11-10,16
2023-11-11,7
2023-11-12,10
2023-11-13,14
2023-11-14,20
2023-11-15,18
2023-11-16,13
2023-11-17,16
2023-11-18,6
2023-11-19,0
2023-11-20,14
2023-11-21,14
2023-11-22,12
2023-11-23,6
2023-11-24,0
2023-11-25,5
2023-11-26,0
2023-11-27,13
2023-11-28,14
2023-11-29,18
2023-11-30,11
2023-12-01,13
2023-12-02,5
2023-12-03,5
2023-12-04,17
2023-12-05,15
2023-12-06,15
2023-12-07,14
2023-12-08,14
2023-12-09,8
2023-12-10,6
2023-12-11,18
2023-12-12,17
2023-12-13,14
2023-12-14,17
2023-12-15,14
2023-12-16,5
2023-12-17,0
2023-12-18,12
2023-12-19,13
2023-12-20,15
2023-12-21,14
2023-12-22,10
2023-12-23,7
2023-12-24,5
2023-12-25,0
2023-12-26,8
2023-12-27,11
2023-12-28,12
2023-12-29,9
2023-12-30,5
2023-12-31,6
2024-01-01,8
2024-01-02,13
2024-01-03,13
2024-01-04,14
2024-01-05,14
2024-01-06,7
2024-01-07,7
2024-01-08,12
2024-01-09,15
2024-01-10,16
2024-01-11,19
2024-01-12,17
2024-01-13,6
2024-01-14,5
2024-01-15,7
2024-01-16,14
2024-01-17,15
2024-01-18,19
2024-01-19,16
2024-01-20,7
