Time,chase
2023-04-26,66
2023-04-27,63
2023-04-28,71
2023-04-29,70
2023-04-30,53
2023-05-01,76
2023-05-02,78
2023-05-03,69
2023-05-04,68
2023-05-05,68
2023-05-06,59
2023-05-07,50
2023-05-08,67
2023-05-09,67
2023-05-10,62
2023-05-11,64
2023-05-12,69
2023-05-13,61
2023-05-14,47
2023-05-15,70
2023-05-16,70
2023-05-17,70
2023-05-18,69
2023-05-19,72
2023-05-20,64
2023-05-21,51
2023-05-22,66
2023-05-23,64
2023-05-24,66
2023-05-25,67
2023-05-26,74
2023-05-27,60
2023-05-28,46
2023-05-29,52
2023-05-30,71
2023-05-31,72
2023-06-01,79
2023-06-02,85
2023-06-03,68
2023-06-04,57
2023-06-05,71
2023-06-06,70
2023-06-07,68
2023-06-08,68
2023-06-09,69
2023-06-10,66
2023-06-11,51
2023-06-12,69
2023-06-13,70
2023-06-14,71
2023-06-15,71
2023-06-16,75
2023-06-17,65
2023-06-18,49
2023-06-19,68
2023-06-20,68
2023-06-21,69
2023-06-22,68
2023-06-23,73
2023-06-24,63
2023-06-25,52
2023-06-26,70
2023-06-27,75
2023-06-28,68
2023-06-29,73
2023-06-30,80
2023-07-01,74
2023-07-02,57
2023-07-03,76
2023-07-04,57
2023-07-05,76
2023-07-06,76
2023-07-07,78
2023-07-08,65
2023-07-09,52
2023-07-10,71
2023-07-11,72
2023-07-12,72
2023-07-13,67
2023-07-14,76
2023-07-15,64
2023-07-16,49
2023-07-17,73
2023-07-18,71
2023-07-19,75
2023-07-20,71
2023-07-21,73
2023-07-22,64
2023-07-23,53
2023-07-24,69
2023-07-25,77
2023-07-26,75
2023-07-27,70
2023-07-28,72
2023-07-29,64
2023-07-30,51
2023-07-31,72
2023-08-01,79
2023-08-02,74
2023-08-03,72
2023-08-04,77
2023-08-05,65
2023-08-06,51
2023-08-07,74
2023-08-08,71
2023-08-09,67
2023-08-10,68
2023-08-11,74
2023-08-12,66
2023-08-13,51
2023-08-14,69
2023-08-15,71
2023-08-16,70
2023-08-17,68
2023-08-18,71
2023-08-19,65
2023-08-20,51
2023-08-21,69
2023-08-22,73
2023-08-23,66
2023-08-24,63
2023-08-25,71
2023-08-26,63
2023-08-27,52
2023-08-28,68
2023-08-29,65
2023-08-30,63
2023-08-31,69
2023-09-01,79
2023-09-02,70
2023-09-03,54
2023-09-04,56
2023-09-05,68
2023-09-06,72
2023-09-07,68
2023-09-08,70
2023-09-09,64
2023-09-10,50
2023-09-11,65
2023-09-12,63
2023-09-13,69
2023-09-14,65
2023-09-15,69
2023-09-16,61
2023-09-17,55
2023-09-18,64
2023-09-19,65
2023-09-20,68
2023-09-21,64
2023-09-22,65
2023-09-23,63
2023-09-24,50
2023-09-25,64
2023-09-26,66
2023-09-27,65
2023-09-28,59
2023-09-29,69
2023-09-30,66
2023-10-01,56
2023-10-02,77
2023-10-03,73
2023-10-04,70
2023-10-05,67
2023-10-06,86
2023-10-07,68
2023-10-08,62
2023-10-09,71
2023-10-10,68
2023-10-11,68
2023-10-12,66
2023-10-13,69
2023-10-14,62
2023-10-15,55
2023-10-16,68
2023-10-17,64
2023-10-18,66
2023-10-19,62
2023-10-20,70
2023-10-21,65
2023-10-22,46
2023-10-23,63
2023-10-24,65
2023-10-25,65
2023-10-26,62
2023-10-27,64
2023-10-28,57
2023-10-29,53
2023-10-30,64
2023-10-31,100
2023-11-01,81
2023-11-02,70
2023-11-03,72
2023-11-04,65
2023-11-05,52
2023-11-06,70
2023-11-07,67
2023-11-08,61
2023-11-09,65
2023-11-10,73
2023-11-11,60
2023-11-12,55
2023-11-13,63
2023-11-14,59
2023-11-15,65
2023-11-16,63
2023-11-17,66
2023-11-18,59
2023-11-19,47
2023-11-20,58
2023-11-21,62
2023-11-22,62
2023-11-23,46
2023-11-24,63
2023-11-25,56
2023-11-26,48
2023-11-27,66
2023-11-28,64
2023-11-29,63
2023-11-30,63
2023-12-01,73
2023-12-02,67
2023-12-03,48
2023-12-04,71
2023-12-05,72
2023-12-06,63
2023-12-07,63
2023-12-08,66
2023-12-09,62
2023-12-10,51
2023-12-11,60
2023-12-12,60
2023-12-13,62
2023-12-14,69
2023-12-15,67
2023-12-16,71
2023-12-17,49
2023-12-18,62
2023-12-19,65
2023-12-20,70
2023-12-21,67
2023-12-22,69
2023-12-23,68
2023-12-24,47
2023-12-25,41
2023-12-26,67
2023-12-27,72
2023-12-28,71
2023-12-29,75
2023-12-30,64
2023-12-31,54
2024-01-01,52
2024-01-02,73
2024-01-03,74
2024-01-04,71
2024-01-05,75
2024-01-06,66
2024-01-07,52
2024-01-08,65
2024-01-09,60
2024-01-10,64
2024-01-11,61
2024-01-12,67
2024-01-13,62
2024-01-14,45
2024-01-15,56
2024-01-16,62
2024-01-17,63
2024-01-18,64
2024-01-19,63
2024-01-20,60
