Time,britney spears
2023-12-22,26
2023-12-23,31
2023-12-24,29
2023-12-25,23
2023-12-26,27
2023-12-27,26
2023-12-28,25
2023-12-29,26
2023-12-30,29
2023-12-31,24
2024-01-01,29
2024-01-02,22
2024-01-03,25
2024-01-04,33
2024-01-05,29
2024-01-06,26
2024-01-07,23
2024-01-08,21
2024-01-09,22
2024-01-10,20
2024-01-11,23
2024-01-12,25
2024-01-13,29
2024-01-14,28
2024-01-15,21
2024-01-16,20
2024-01-17,21
2024-01-18,24
2024-01-19,27
2024-01-20,26
2024-01-21,25
2024-01-22,20
2024-01-23,23
2024-01-24,27
2024-01-25,28
2024-01-26,32
2024-01-27,40
2024-01-28,39
2024-01-29,29
2024-01-30,27
2024-01-31,21
2024-02-01,26
2024-02-02,28
2024-02-03,30
2024-02-04,29
2024-02-05,19
2024-02-06,18
2024-02-07,19
2024-02-08,25
2024-02-09,24
2024-02-10,28
2024-02-11,31
2024-02-12,24
2024-02-13,20
2024-02-14,18
2024-02-15,19
2024-02-16,22
2024-02-17,26
2024-02-18,35
2024-02-19,33
2024-02-20,29
2024-02-21,27
2024-02-22,25
2024-02-23,24
2024-02-24,32
2024-02-25,32
2024-02-26,21
2024-02-27,19
2024-02-28,19
2024-02-29,19
2024-03-01,19
2024-03-02,22
2024-03-03,25
2024-03-04,19
2024-03-05,19
2024-03-06,23
2024-03-07,20
2024-03-08,23
2024-03-09,28
2024-03-10,25
2024-03-11,20
2024-03-12,19
2024-03-13,18
2024-03-14,18
2024-03-15,22
2024-03-16,24
2024-03-17,26
2024-03-18,20
2024-03-19,20
2024-03-20,29
2024-03-21,24
2024-03-22,27
2024-03-23,35
2024-03-24,30
2024-03-25,24
2024-03-26,20
2024-03-27,25
2024-03-28,33
2024-03-29,28
2024-03-30,26
2024-03-31,29
2024-04-01,22
2024-04-02,19
2024-04-03,17
2024-04-04,19
2024-04-05,20
2024-04-06,23
2024-04-07,25
2024-04-08,17
2024-04-09,19
2024-04-10,19
2024-04-11,17
2024-04-12,18
2024-04-13,18
2024-04-14,20
2024-04-15,15
2024-04-16,16
2024-04-17,17
2024-04-18,16
2024-04-19,17
2024-04-20,19
2024-04-21,22
2024-04-22,18
2024-04-23,17
2024-04-24,17
2024-04-25,16
2024-04-26,17
2024-04-27,25
2024-04-28,24
2024-04-29,34
2024-04-30,34
2024-05-01,26
2024-05-02,51
2024-05-03,100
2024-05-04,63
2024-05-05,42
2024-05-06,27
2024-05-07,24
2024-05-08,21
2024-05-09,20
2024-05-10,18
2024-05-11,23
2024-05-12,22
2024-05-13,18
2024-05-14,17
2024-05-15,18
2024-05-16,18
2024-05-17,18
2024-05-18,22
2024-05-19,22
2024-05-20,20
2024-05-21,20
2024-05-22,18
2024-05-23,29
2024-05-24,31
2024-05-25,25
2024-05-26,24
2024-05-27,27
2024-05-28,20
2024-05-29,23
2024-05-30,19
2024-05-31,17
2024-06-01,19
2024-06-02,22
2024-06-03,17
2024-06-04,16
2024-06-05,16
2024-06-06,17
2024-06-07,18
2024-06-08,19
2024-06-09,18
2024-06-10,16
2024-06-11,15
2024-06-12,18
2024-06-13,17
2024-06-14,18
2024-06-15,19
2024-06-16,23
2024-06-17,16
2024-06-18,19
2024-06-19,25
2024-06-20,20
2024-06-21,20
2024-06-22,22
2024-06-23,21
2024-06-24,17
2024-06-25,30
2024-06-26,22
2024-06-27,21
2024-06-28,18
2024-06-29,22
2024-06-30,21
2024-07-01,18
2024-07-02,19
2024-07-03,17
2024-07-04,19
2024-07-05,18
2024-07-06,19
2024-07-07,18
2024-07-08,23
2024-07-09,18
2024-07-10,16
2024-07-11,17
2024-07-12,16
2024-07-13,17
2024-07-14,17
2024-07-15,15
2024-07-16,14
2024-07-17,16
2024-07-18,23
2024-07-19,19
2024-07-20,20
2024-07-21,22
2024-07-22,16
2024-07-23,16
2024-07-24,18
2024-07-25,17
2024-07-26,22
2024-07-27,33
2024-07-28,24
2024-07-29,21
2024-07-30,20
2024-07-31,21
2024-08-01,21
2024-08-02,23
2024-08-03,22
2024-08-04,21
2024-08-05,18
2024-08-06,18
2024-08-07,32
2024-08-08,21
2024-08-09,21
2024-08-10,22
2024-08-11,23
2024-08-12,17
2024-08-13,17
2024-08-14,17
2024-08-15,19
2024-08-16,18
2024-08-17,22
2024-08-18,23
2024-08-19,17
2024-08-20,16
2024-08-21,16
2024-08-22,16
2024-08-23,18
2024-08-24,19
2024-08-25,21
2024-08-26,16
2024-08-27,15
2024-08-28,15
2024-08-29,15
2024-08-30,18
2024-08-31,19
2024-09-01,20
2024-09-02,21
2024-09-03,15
2024-09-04,16
2024-09-05,15
2024-09-06,17
2024-09-07,18
2024-09-08,19
2024-09-09,16
2024-09-10,15
2024-09-11,17
2024-09-12,33
2024-09-13,45
2024-09-14,35
2024-09-15,28
2024-09-16,19
