Time,stranger things season 4
2023-04-26,44
2023-04-27,58
2023-04-28,46
2023-04-29,55
2023-04-30,77
2023-05-01,53
2023-05-02,52
2023-05-03,39
2023-05-04,42
2023-05-05,34
2023-05-06,44
2023-05-07,80
2023-05-08,54
2023-05-09,50
2023-05-10,45
2023-05-11,45
2023-05-12,47
2023-05-13,68
2023-05-14,61
2023-05-15,54
2023-05-16,40
2023-05-17,52
2023-05-18,46
2023-05-19,37
2023-05-20,75
2023-05-21,65
2023-05-22,55
2023-05-23,46
2023-05-24,45
2023-05-25,53
2023-05-26,56
2023-05-27,93
2023-05-28,78
2023-05-29,78
2023-05-30,63
2023-05-31,47
2023-06-01,63
2023-06-02,46
2023-06-03,73
2023-06-04,56
2023-06-05,58
2023-06-06,42
2023-06-07,59
2023-06-08,54
2023-06-09,49
2023-06-10,55
2023-06-11,75
2023-06-12,61
2023-06-13,61
2023-06-14,61
2023-06-15,59
2023-06-16,51
2023-06-17,56
2023-06-18,86
2023-06-19,68
2023-06-20,62
2023-06-21,60
2023-06-22,45
2023-06-23,48
2023-06-24,57
2023-06-25,69
2023-06-26,52
2023-06-27,55
2023-06-28,62
2023-06-29,62
2023-06-30,68
2023-07-01,71
2023-07-02,81
2023-07-03,59
2023-07-04,69
2023-07-05,60
2023-07-06,63
2023-07-07,50
2023-07-08,68
2023-07-09,64
2023-07-10,52
2023-07-11,43
2023-07-12,52
2023-07-13,67
2023-07-14,49
2023-07-15,53
2023-07-16,67
2023-07-17,55
2023-07-18,43
2023-07-19,58
2023-07-20,67
2023-07-21,53
2023-07-22,55
2023-07-23,58
2023-07-24,57
2023-07-25,51
2023-07-26,43
2023-07-27,42
2023-07-28,48
2023-07-29,46
2023-07-30,63
2023-07-31,54
2023-08-01,47
2023-08-02,44
2023-08-03,39
2023-08-04,55
2023-08-05,46
2023-08-06,54
2023-08-07,45
2023-08-08,42
2023-08-09,55
2023-08-10,24
2023-08-11,46
2023-08-12,59
2023-08-13,49
2023-08-14,46
2023-08-15,43
2023-08-16,62
2023-08-17,45
2023-08-18,45
2023-08-19,63
2023-08-20,62
2023-08-21,44
2023-08-22,30
2023-08-23,37
2023-08-24,36
2023-08-25,39
2023-08-26,51
2023-08-27,61
2023-08-28,39
2023-08-29,32
2023-08-30,33
2023-08-31,47
2023-09-01,53
2023-09-02,49
2023-09-03,61
2023-09-04,50
2023-09-05,54
2023-09-06,38
2023-09-07,29
2023-09-08,34
2023-09-09,49
2023-09-10,48
2023-09-11,35
2023-09-12,31
2023-09-13,37
2023-09-14,34
2023-09-15,23
2023-09-16,48
2023-09-17,47
2023-09-18,42
2023-09-19,46
2023-09-20,32
2023-09-21,38
2023-09-22,29
2023-09-23,61
2023-09-24,52
2023-09-25,49
2023-09-26,33
2023-09-27,36
2023-09-28,33
2023-09-29,31
2023-09-30,50
2023-10-01,46
2023-10-02,44
2023-10-03,47
2023-10-04,39
2023-10-05,38
2023-10-06,35
2023-10-07,41
2023-10-08,51
2023-10-09,53
2023-10-10,39
2023-10-11,40
2023-10-12,39
2023-10-13,31
2023-10-14,51
2023-10-15,49
2023-10-16,47
2023-10-17,43
2023-10-18,50
2023-10-19,38
2023-10-20,38
2023-10-21,56
2023-10-22,58
2023-10-23,43
2023-10-24,41
2023-10-25,50
2023-10-26,47
2023-10-27,46
2023-10-28,45
2023-10-29,48
2023-10-30,31
2023-10-31,53
2023-11-01,53
2023-11-02,45
2023-11-03,57
2023-11-04,78
2023-11-05,82
2023-11-06,100
2023-11-07,70
2023-11-08,51
2023-11-09,50
2023-11-10,58
2023-11-11,63
2023-11-12,66
2023-11-13,62
2023-11-14,42
2023-11-15,37
2023-11-16,38
2023-11-17,30
2023-11-18,44
2023-11-19,56
2023-11-20,44
2023-11-21,40
2023-11-22,41
2023-11-23,27
2023-11-24,41
2023-11-25,36
2023-11-26,42
2023-11-27,46
2023-11-28,35
2023-11-29,45
2023-11-30,26
2023-12-01,35
2023-12-02,46
2023-12-03,41
2023-12-04,29
2023-12-05,36
2023-12-06,45
2023-12-07,25
2023-12-08,33
2023-12-09,43
2023-12-10,34
2023-12-11,25
2023-12-12,25
2023-12-13,34
2023-12-14,32
2023-12-15,28
2023-12-16,36
2023-12-17,37
2023-12-18,28
2023-12-19,37
2023-12-20,34
2023-12-21,38
2023-12-22,43
2023-12-23,44
2023-12-24,35
2023-12-25,30
2023-12-26,32
2023-12-27,48
2023-12-28,42
2023-12-29,40
2023-12-30,41
2023-12-31,58
2024-01-01,53
2024-01-02,54
2024-01-03,45
2024-01-04,38
2024-01-05,43
2024-01-06,66
2024-01-07,61
2024-01-08,46
2024-01-09,49
2024-01-10,32
2024-01-11,39
2024-01-12,57
2024-01-13,49
2024-01-14,55
2024-01-15,61
2024-01-16,62
2024-01-17,54
2024-01-18,32
2024-01-19,43
2024-01-20,54
