Time,stranger things season 4
2023-12-22,48
2023-12-23,49
2023-12-24,39
2023-12-25,34
2023-12-26,36
2023-12-27,53
2023-12-28,46
2023-12-29,44
2023-12-30,46
2023-12-31,65
2024-01-01,59
2024-01-02,60
2024-01-03,50
2024-01-04,42
2024-01-05,48
2024-01-06,74
2024-01-07,67
2024-01-08,51
2024-01-09,55
2024-01-10,35
2024-01-11,43
2024-01-12,63
2024-01-13,54
2024-01-14,61
2024-01-15,68
2024-01-16,69
2024-01-17,60
2024-01-18,36
2024-01-19,48
2024-01-20,60
2024-01-21,67
2024-01-22,39
2024-01-23,48
2024-01-24,34
2024-01-25,38
2024-01-26,40
2024-01-27,46
2024-01-28,52
2024-01-29,49
2024-01-30,37
2024-01-31,31
2024-02-01,33
2024-02-02,45
2024-02-03,45
2024-02-04,55
2024-02-05,51
2024-02-06,37
2024-02-07,39
2024-02-08,34
2024-02-09,41
2024-02-10,45
2024-02-11,50
2024-02-12,40
2024-02-13,45
2024-02-14,41
2024-02-15,44
2024-02-16,30
2024-02-17,46
2024-02-18,67
2024-02-19,57
2024-02-20,58
2024-02-21,36
2024-02-22,44
2024-02-23,41
2024-02-24,44
2024-02-25,61
2024-02-26,36
2024-02-27,35
2024-02-28,45
2024-02-29,41
2024-03-01,42
2024-03-02,68
2024-03-03,64
2024-03-04,53
2024-03-05,46
2024-03-06,48
2024-03-07,42
2024-03-08,41
2024-03-09,53
2024-03-10,84
2024-03-11,68
2024-03-12,66
2024-03-13,39
2024-03-14,58
2024-03-15,39
2024-03-16,52
2024-03-17,65
2024-03-18,54
2024-03-19,46
2024-03-20,48
2024-03-21,45
2024-03-22,48
2024-03-23,66
2024-03-24,58
2024-03-25,60
2024-03-26,34
2024-03-27,45
2024-03-28,55
2024-03-29,55
2024-03-30,60
2024-03-31,58
2024-04-01,51
2024-04-02,40
2024-04-03,38
2024-04-04,40
2024-04-05,37
2024-04-06,61
2024-04-07,69
2024-04-08,45
2024-04-09,36
2024-04-10,40
2024-04-11,42
2024-04-12,44
2024-04-13,49
2024-04-14,58
2024-04-15,37
2024-04-16,34
2024-04-17,41
2024-04-18,48
2024-04-19,37
2024-04-20,37
2024-04-21,62
2024-04-22,40
2024-04-23,45
2024-04-24,45
2024-04-25,41
2024-04-26,40
2024-04-27,57
2024-04-28,74
2024-04-29,52
2024-04-30,46
2024-05-01,40
2024-05-02,43
2024-05-03,40
2024-05-04,54
2024-05-05,69
2024-05-06,52
2024-05-07,41
2024-05-08,45
2024-05-09,45
2024-05-10,28
2024-05-11,47
2024-05-12,66
2024-05-13,49
2024-05-14,56
2024-05-15,42
2024-05-16,49
2024-05-17,56
2024-05-18,74
2024-05-19,83
2024-05-20,58
2024-05-21,57
2024-05-22,63
2024-05-23,49
2024-05-24,52
2024-05-25,63
2024-05-26,66
2024-05-27,84
2024-05-28,73
2024-05-29,54
2024-05-30,64
2024-05-31,55
2024-06-01,55
2024-06-02,85
2024-06-03,57
2024-06-04,52
2024-06-05,54
2024-06-06,50
2024-06-07,58
2024-06-08,68
2024-06-09,80
2024-06-10,75
2024-06-11,72
2024-06-12,64
2024-06-13,72
2024-06-14,62
2024-06-15,69
2024-06-16,91
2024-06-17,52
2024-06-18,79
2024-06-19,70
2024-06-20,63
2024-06-21,56
2024-06-22,64
2024-06-23,83
2024-06-24,65
2024-06-25,48
2024-06-26,60
2024-06-27,57
2024-06-28,63
2024-06-29,74
2024-06-30,92
2024-07-01,73
2024-07-02,69
2024-07-03,63
2024-07-04,80
2024-07-05,84
2024-07-06,88
2024-07-07,80
2024-07-08,88
2024-07-09,55
2024-07-10,66
2024-07-11,59
2024-07-12,71
2024-07-13,59
2024-07-14,73
2024-07-15,76
2024-07-16,87
2024-07-17,77
2024-07-18,100
2024-07-19,67
2024-07-20,77
2024-07-21,76
2024-07-22,56
2024-07-23,75
2024-07-24,54
2024-07-25,60
2024-07-26,59
2024-07-27,70
2024-07-28,84
2024-07-29,57
2024-07-30,67
2024-07-31,51
2024-08-01,49
2024-08-02,48
2024-08-03,66
2024-08-04,71
2024-08-05,54
2024-08-06,48
2024-08-07,51
2024-08-08,42
2024-08-09,56
2024-08-10,43
2024-08-11,66
2024-08-12,70
2024-08-13,58
2024-08-14,53
2024-08-15,46
2024-08-16,46
2024-08-17,58
2024-08-18,58
2024-08-19,59
2024-08-20,51
2024-08-21,45
2024-08-22,48
2024-08-23,41
2024-08-24,51
2024-08-25,49
2024-08-26,45
2024-08-27,41
2024-08-28,39
2024-08-29,39
2024-08-30,39
2024-08-31,45
2024-09-01,79
2024-09-02,65
2024-09-03,44
2024-09-04,28
2024-09-05,39
2024-09-06,43
2024-09-07,41
2024-09-08,50
2024-09-09,44
2024-09-10,30
2024-09-11,17
2024-09-12,30
2024-09-13,35
2024-09-14,44
2024-09-15,48
2024-09-16,46
