Time,urban dictionary
2022-08-29,72
2022-08-30,68
2022-08-31,72
2022-09-01,79
2022-09-02,77
2022-09-03,83
2022-09-04,88
2022-09-05,84
2022-09-06,76
2022-09-07,68
2022-09-08,68
2022-09-09,71
2022-09-10,77
2022-09-11,80
2022-09-12,70
2022-09-13,75
2022-09-14,70
2022-09-15,75
2022-09-16,74
2022-09-17,81
2022-09-18,80
2022-09-19,71
2022-09-20,75
2022-09-21,76
2022-09-22,81
2022-09-23,70
2022-09-24,86
2022-09-25,85
2022-09-26,71
2022-09-27,73
2022-09-28,75
2022-09-29,73
2022-09-30,76
2022-10-01,76
2022-10-02,85
2022-10-03,69
2022-10-04,76
2022-10-05,74
2022-10-06,78
2022-10-07,78
2022-10-08,83
2022-10-09,79
2022-10-10,71
2022-10-11,78
2022-10-12,77
2022-10-13,80
2022-10-14,80
2022-10-15,83
2022-10-16,80
2022-10-17,79
2022-10-18,81
2022-10-19,87
2022-10-20,77
2022-10-21,78
2022-10-22,88
2022-10-23,83
2022-10-24,72
2022-10-25,77
2022-10-26,80
2022-10-27,75
2022-10-28,74
2022-10-29,81
2022-10-30,77
2022-10-31,75
2022-11-01,71
2022-11-02,78
2022-11-03,76
2022-11-04,77
2022-11-05,78
2022-11-06,87
2022-11-07,74
2022-11-08,65
2022-11-09,69
2022-11-10,77
2022-11-11,83
2022-11-12,85
2022-11-13,91
2022-11-14,72
2022-11-15,74
2022-11-16,77
2022-11-17,77
2022-11-18,78
2022-11-19,81
2022-11-20,83
2022-11-21,71
2022-11-22,75
2022-11-23,79
2022-11-24,84
2022-11-25,92
2022-11-26,80
2022-11-27,88
2022-11-28,68
2022-11-29,76
2022-11-30,74
2022-12-01,81
2022-12-02,74
2022-12-03,83
2022-12-04,83
2022-12-05,73
2022-12-06,76
2022-12-07,77
2022-12-08,80
2022-12-09,77
2022-12-10,82
2022-12-11,86
2022-12-12,77
2022-12-13,74
2022-12-14,84
2022-12-15,85
2022-12-16,86
2022-12-17,87
2022-12-18,81
2022-12-19,79
2022-12-20,84
2022-12-21,88
2022-12-22,82
2022-12-23,88
2022-12-24,85
2022-12-25,88
2022-12-26,82
2022-12-27,82
2022-12-28,89
2022-12-29,91
2022-12-30,85
2022-12-31,87
2023-01-01,91
2023-01-02,78
2023-01-03,78
2023-01-04,77
2023-01-05,79
2023-01-06,83
2023-01-07,84
2023-01-08,86
2023-01-09,74
2023-01-10,79
2023-01-11,71
2023-01-12,81
2023-01-13,80
2023-01-14,90
2023-01-15,87
2023-01-16,79
2023-01-17,81
2023-01-18,76
2023-01-19,82
2023-01-20,87
2023-01-21,81
2023-01-22,84
2023-01-23,74
2023-01-24,80
2023-01-25,81
2023-01-26,79
2023-01-27,77
2023-01-28,87
2023-01-29,75
2023-01-30,81
2023-01-31,82
2023-02-01,71
2023-02-02,86
2023-02-03,79
2023-02-04,85
2023-02-05,93
2023-02-06,84
2023-02-07,88
2023-02-08,83
2023-02-09,89
2023-02-10,89
2023-02-11,98
2023-02-12,92
2023-02-13,73
2023-02-14,75
2023-02-15,78
2023-02-16,81
2023-02-17,79
2023-02-18,81
2023-02-19,89
2023-02-20,82
2023-02-21,81
2023-02-22,79
2023-02-23,78
2023-02-24,85
2023-02-25,89
2023-02-26,100
2023-02-27,73
2023-02-28,76
2023-03-01,78
2023-03-02,81
2023-03-03,76
2023-03-04,90
2023-03-05,93
2023-03-06,76
2023-03-07,78
2023-03-08,75
2023-03-09,75
2023-03-10,84
2023-03-11,81
2023-03-12,86
2023-03-13,80
2023-03-14,79
2023-03-15,76
2023-03-16,86
2023-03-17,84
2023-03-18,86
2023-03-19,94
2023-03-20,81
2023-03-21,82
2023-03-22,76
2023-03-23,78
2023-03-24,77
2023-03-25,74
2023-03-26,85
2023-03-27,79
2023-03-28,77
2023-03-29,76
2023-03-30,75
2023-03-31,74
2023-04-01,80
2023-04-02,76
2023-04-03,70
2023-04-04,73
2023-04-05,71
2023-04-06,76
2023-04-07,82
2023-04-08,85
2023-04-09,84
2023-04-10,76
2023-04-11,77
2023-04-12,72
2023-04-13,72
2023-04-14,77
2023-04-15,100
2023-04-16,81
2023-04-17,68
2023-04-18,66
2023-04-19,69
2023-04-20,75
2023-04-21,69
2023-04-22,76
2023-04-23,79
2023-04-24,68
2023-04-25,68
2023-04-26,80
2023-04-27,83
2023-04-28,71
2023-04-29,72
2023-04-30,79
2023-05-01,69
2023-05-02,79
2023-05-03,68
2023-05-04,70
2023-05-05,72
2023-05-06,74
2023-05-07,75
2023-05-08,72
2023-05-09,66
2023-05-10,68
2023-05-11,70
2023-05-12,71
2023-05-13,76
2023-05-14,79
2023-05-15,72
2023-05-16,69
2023-05-17,68
2023-05-18,72
2023-05-19,71
2023-05-20,78
2023-05-21,87
2023-05-22,66
2023-05-23,72
2023-05-24,76
2023-05-25,73
