Time,urban dictionary
2025-12-11,69
2025-12-12,72
2025-12-13,80
2025-12-14,80
2025-12-15,72
2025-12-16,68
2025-12-17,72
2025-12-18,69
2025-12-19,70
2025-12-20,73
2025-12-21,79
2025-12-22,74
2025-12-23,70
2025-12-24,75
2025-12-25,75
2025-12-26,70
2025-12-27,85
2025-12-28,88
2025-12-29,75
2025-12-30,83
2025-12-31,80
2026-01-01,85
2026-01-02,71
2026-01-03,76
2026-01-04,74
2026-01-05,66
2026-01-06,69
2026-01-07,67
2026-01-08,69
2026-01-09,75
2026-01-10,91
2026-01-11,89
2026-01-12,72
2026-01-13,73
2026-01-14,74
2026-01-15,78
2026-01-16,87
2026-01-17,79
2026-01-18,72
2026-01-19,66
2026-01-20,64
2026-01-21,68
2026-01-22,69
2026-01-23,67
2026-01-24,74
2026-01-25,74
2026-01-26,67
2026-01-27,65
2026-01-28,63
2026-01-29,67
2026-01-30,69
2026-01-31,72
2026-02-01,75
2026-02-02,62
2026-02-03,69
2026-02-04,65
2026-02-05,64
2026-02-06,65
2026-02-07,73
2026-02-08,69
2026-02-09,59
2026-02-10,61
2026-02-11,66
2026-02-12,61
2026-02-13,60
2026-02-14,71
2026-02-15,68
2026-02-16,59
2026-02-17,57
2026-02-18,66
2026-02-19,69
2026-02-20,66
2026-02-21,73
2026-02-22,67
2026-02-23,60
2026-02-24,62
2026-02-25,65
2026-02-26,65
2026-02-27,63
2026-02-28,71
2026-03-01,69
2026-03-02,60
2026-03-03,63
2026-03-04,64
2026-03-05,63
2026-03-06,68
2026-03-07,73
2026-03-08,76
2026-03-09,62
2026-03-10,62
2026-03-11,64
2026-03-12,67
2026-03-13,73
2026-03-14,87
2026-03-15,80
2026-03-16,67
2026-03-17,64
2026-03-18,69
2026-03-19,65
2026-03-20,64
2026-03-21,73
2026-03-22,71
2026-03-23,63
2026-03-24,64
2026-03-25,67
2026-03-26,64
2026-03-27,73
2026-03-28,74
2026-03-29,67
2026-03-30,60
2026-03-31,60
2026-04-01,59
2026-04-02,63
2026-04-03,66
2026-04-04,67
2026-04-05,72
2026-04-06,60
2026-04-07,64
2026-04-08,65
2026-04-09,63
2026-04-10,65
2026-04-11,63
2026-04-12,66
2026-04-13,57
2026-04-14,57
2026-04-15,58
2026-04-16,60
2026-04-17,61
2026-04-18,64
2026-04-19,69
2026-04-20,56
2026-04-21,59
2026-04-22,56
2026-04-23,58
2026-04-24,61
2026-04-25,62
2026-04-26,64
2026-04-27,57
2026-04-28,57
2026-04-29,56
2026-04-30,59
2026-05-01,57
2026-05-02,60
2026-05-03,63
2026-05-04,57
2026-05-05,55
2026-05-06,59
2026-05-07,54
2026-05-08,59
2026-05-09,61
2026-05-10,61
2026-05-11,52
2026-05-12,56
2026-05-13,56
2026-05-14,57
2026-05-15,65
2026-05-16,64
2026-05-17,64
2026-05-18,58
2026-05-19,55
2026-05-20,57
2026-05-21,59
2026-05-22,57
2026-05-23,63
2026-05-24,67
2026-05-25,61
2026-05-26,58
2026-05-27,61
2026-05-28,86
2026-05-29,88
2026-05-30,94
2026-05-31,100
