Time,urban dictionary
2025-04-15,80
2025-04-16,75
2025-04-17,75
2025-04-18,75
2025-04-19,78
2025-04-20,87
2025-04-21,70
2025-04-22,68
2025-04-23,69
2025-04-24,71
2025-04-25,76
2025-04-26,76
2025-04-27,78
2025-04-28,71
2025-04-29,72
2025-04-30,70
2025-05-01,71
2025-05-02,78
2025-05-03,79
2025-05-04,83
2025-05-05,67
2025-05-06,69
2025-05-07,70
2025-05-08,76
2025-05-09,82
2025-05-10,82
2025-05-11,87
2025-05-12,71
2025-05-13,72
2025-05-14,71
2025-05-15,79
2025-05-16,78
2025-05-17,90
2025-05-18,85
2025-05-19,73
2025-05-20,73
2025-05-21,73
2025-05-22,79
2025-05-23,83
2025-05-24,86
2025-05-25,93
2025-05-26,85
2025-05-27,77
2025-05-28,79
2025-05-29,82
2025-05-30,80
2025-05-31,83
2025-06-01,91
2025-06-02,77
2025-06-03,84
2025-06-04,79
2025-06-05,79
2025-06-06,82
2025-06-07,82
2025-06-08,97
2025-06-09,71
2025-06-10,78
2025-06-11,78
2025-06-12,91
2025-06-13,83
2025-06-14,81
2025-06-15,82
2025-06-16,71
2025-06-17,75
2025-06-18,78
2025-06-19,84
2025-06-20,74
2025-06-21,80
2025-06-22,77
2025-06-23,67
2025-06-24,72
2025-06-25,76
2025-06-26,74
2025-06-27,78
2025-06-28,80
2025-06-29,78
2025-06-30,68
2025-07-01,68
2025-07-02,76
2025-07-03,78
2025-07-04,84
2025-07-05,82
2025-07-06,82
2025-07-07,71
2025-07-08,77
2025-07-09,100
2025-07-10,79
2025-07-11,79
2025-07-12,89
2025-07-13,84
2025-07-14,74
2025-07-15,76
2025-07-16,74
2025-07-17,76
2025-07-18,77
2025-07-19,80
2025-07-20,91
2025-07-21,75
2025-07-22,70
2025-07-23,73
2025-07-24,70
2025-07-25,71
2025-07-26,80
2025-07-27,79
2025-07-28,68
2025-07-29,68
2025-07-30,64
2025-07-31,70
2025-08-01,73
2025-08-02,79
2025-08-03,77
2025-08-04,68
2025-08-05,68
2025-08-06,68
2025-08-07,70
2025-08-08,71
2025-08-09,72
2025-08-10,77
2025-08-11,67
2025-08-12,68
2025-08-13,70
2025-08-14,70
2025-08-15,69
2025-08-16,70
2025-08-17,78
2025-08-18,68
2025-08-19,66
2025-08-20,66
2025-08-21,69
2025-08-22,72
2025-08-23,76
2025-08-24,76
2025-08-25,68
2025-08-26,67
2025-08-27,69
2025-08-28,66
2025-08-29,70
2025-08-30,73
2025-08-31,80
2025-09-01,72
2025-09-02,61
2025-09-03,65
2025-09-04,66
2025-09-05,64
2025-09-06,70
2025-09-07,70
2025-09-08,60
2025-09-09,61
2025-09-10,58
2025-09-11,60
2025-09-12,68
2025-09-13,73
2025-09-14,72
2025-09-15,60
2025-09-16,60
2025-09-17,61
2025-09-18,62
2025-09-19,65
2025-09-20,73
2025-09-21,67
2025-09-22,59
2025-09-23,61
2025-09-24,60
2025-09-25,63
2025-09-26,62
2025-09-27,68
2025-09-28,66
2025-09-29,56
2025-09-30,58
2025-10-01,55
2025-10-02,59
2025-10-03,61
2025-10-04,67
2025-10-05,66
2025-10-06,55
2025-10-07,56
2025-10-08,61
2025-10-09,58
2025-10-10,64
2025-10-11,67
2025-10-12,63
2025-10-13,58
2025-10-14,61
2025-10-15,60
2025-10-16,64
2025-10-17,61
2025-10-18,63
2025-10-19,64
2025-10-20,56
2025-10-21,59
2025-10-22,59
2025-10-23,59
2025-10-24,61
2025-10-25,65
2025-10-26,66
2025-10-27,55
2025-10-28,54
2025-10-29,55
2025-10-30,60
2025-10-31,62
2025-11-01,67
2025-11-02,62
2025-11-03,57
2025-11-04,53
2025-11-05,51
2025-11-06,59
2025-11-07,61
2025-11-08,65
2025-11-09,63
2025-11-10,53
2025-11-11,55
2025-11-12,56
2025-11-13,57
2025-11-14,57
2025-11-15,61
2025-11-16,59
2025-11-17,54
2025-11-18,59
2025-11-19,55
2025-11-20,59
2025-11-21,56
2025-11-22,58
2025-11-23,63
2025-11-24,54
2025-11-25,57
2025-11-26,60
2025-11-27,65
2025-11-28,54
2025-11-29,58
2025-11-30,60
2025-12-01,48
2025-12-02,51
2025-12-03,56
2025-12-04,56
2025-12-05,54
2025-12-06,61
2025-12-07,59
2025-12-08,54
2025-12-09,55
2025-12-10,59
2025-12-11,53
2025-12-12,55
2025-12-13,61
2025-12-14,62
2025-12-15,56
2025-12-16,52
2025-12-17,55
2025-12-18,53
2025-12-19,54
2025-12-20,56
2025-12-21,61
2025-12-22,57
2025-12-23,54
2025-12-24,58
2025-12-25,57
2025-12-26,53
2025-12-27,65
2025-12-28,67
2025-12-29,58
2025-12-30,63
2025-12-31,61
2026-01-01,65
2026-01-02,55
2026-01-03,58
2026-01-04,57
2026-01-05,51
2026-01-06,53
2026-01-07,51
2026-01-08,53
2026-01-09,57
