Time,ncedcloud
2023-12-22,10
2023-12-23,8
2023-12-24,6
2023-12-25,6
2023-12-26,8
2023-12-27,6
2023-12-28,6
2023-12-29,6
2023-12-30,7
2023-12-31,5
2024-01-01,10
2024-01-02,23
2024-01-03,69
2024-01-04,75
2024-01-05,70
2024-01-06,13
2024-01-07,15
2024-01-08,90
2024-01-09,38
2024-01-10,77
2024-01-11,89
2024-01-12,89
2024-01-13,15
2024-01-14,11
2024-01-15,17
2024-01-16,87
2024-01-17,86
2024-01-18,84
2024-01-19,86
2024-01-20,22
2024-01-21,20
2024-01-22,78
2024-01-23,89
2024-01-24,92
2024-01-25,87
2024-01-26,92
2024-01-27,14
2024-01-28,15
2024-01-29,91
2024-01-30,87
2024-01-31,85
2024-02-01,81
2024-02-02,84
2024-02-03,14
2024-02-04,14
2024-02-05,92
2024-02-06,86
2024-02-07,84
2024-02-08,87
2024-02-09,77
2024-02-10,11
2024-02-11,13
2024-02-12,73
2024-02-13,83
2024-02-14,80
2024-02-15,86
2024-02-16,82
2024-02-17,9
2024-02-18,13
2024-02-19,58
2024-02-20,93
2024-02-21,90
2024-02-22,85
2024-02-23,83
2024-02-24,12
2024-02-25,14
2024-02-26,93
2024-02-27,72
2024-02-28,84
2024-02-29,80
2024-03-01,82
2024-03-02,13
2024-03-03,14
2024-03-04,86
2024-03-05,60
2024-03-06,85
2024-03-07,79
2024-03-08,77
2024-03-09,13
2024-03-10,15
2024-03-11,88
2024-03-12,81
2024-03-13,86
2024-03-14,85
2024-03-15,75
2024-03-16,15
2024-03-17,14
2024-03-18,93
2024-03-19,89
2024-03-20,85
2024-03-21,84
2024-03-22,89
2024-03-23,13
2024-03-24,14
2024-03-25,70
2024-03-26,61
2024-03-27,72
2024-03-28,59
2024-03-29,11
2024-03-30,9
2024-03-31,8
2024-04-01,13
2024-04-02,36
2024-04-03,31
2024-04-04,33
2024-04-05,33
2024-04-06,7
2024-04-07,10
2024-04-08,79
2024-04-09,80
2024-04-10,78
2024-04-11,75
2024-04-12,79
2024-04-13,10
2024-04-14,12
2024-04-15,95
2024-04-16,81
2024-04-17,82
2024-04-18,84
2024-04-19,77
2024-04-20,11
2024-04-21,13
2024-04-22,95
2024-04-23,84
2024-04-24,82
2024-04-25,79
2024-04-26,71
2024-04-27,11
2024-04-28,13
2024-04-29,91
2024-04-30,88
2024-05-01,82
2024-05-02,80
2024-05-03,78
2024-05-04,12
2024-05-05,12
2024-05-06,98
2024-05-07,87
2024-05-08,91
2024-05-09,80
2024-05-10,77
2024-05-11,11
2024-05-12,12
2024-05-13,98
2024-05-14,83
2024-05-15,86
2024-05-16,78
2024-05-17,81
2024-05-18,14
2024-05-19,16
2024-05-20,86
2024-05-21,75
2024-05-22,75
2024-05-23,71
2024-05-24,59
2024-05-25,16
2024-05-26,13
2024-05-27,14
2024-05-28,69
2024-05-29,56
2024-05-30,55
2024-05-31,50
2024-06-01,18
2024-06-02,15
2024-06-03,38
2024-06-04,32
2024-06-05,33
2024-06-06,32
2024-06-07,26
2024-06-08,13
2024-06-09,10
2024-06-10,17
2024-06-11,14
2024-06-12,11
2024-06-13,10
2024-06-14,8
2024-06-15,7
2024-06-16,6
2024-06-17,9
2024-06-18,7
2024-06-19,6
2024-06-20,6
2024-06-21,5
2024-06-22,5
2024-06-23,6
2024-06-24,8
2024-06-25,9
2024-06-26,6
2024-06-27,6
2024-06-28,4
2024-06-29,4
2024-06-30,3
2024-07-01,8
2024-07-02,6
2024-07-03,4
2024-07-04,4
2024-07-05,7
2024-07-06,7
2024-07-07,7
2024-07-08,9
2024-07-09,9
2024-07-10,8
2024-07-11,7
2024-07-12,7
2024-07-13,5
2024-07-14,5
2024-07-15,6
2024-07-16,6
2024-07-17,8
2024-07-18,27
2024-07-19,15
2024-07-20,8
2024-07-21,7
2024-07-22,9
2024-07-23,12
2024-07-24,14
2024-07-25,11
2024-07-26,10
2024-07-27,10
2024-07-28,9
2024-07-29,12
2024-07-30,14
2024-07-31,15
2024-08-01,17
2024-08-02,17
2024-08-03,13
2024-08-04,12
2024-08-05,21
2024-08-06,23
2024-08-07,25
2024-08-08,22
2024-08-09,22
2024-08-10,14
2024-08-11,14
2024-08-12,34
2024-08-13,34
2024-08-14,33
2024-08-15,38
2024-08-16,41
2024-08-17,16
2024-08-18,17
2024-08-19,50
2024-08-20,57
2024-08-21,49
2024-08-22,45
2024-08-23,40
2024-08-24,17
2024-08-25,24
2024-08-26,79
2024-08-27,65
2024-08-28,66
2024-08-29,67
2024-08-30,71
2024-08-31,11
2024-09-01,9
2024-09-02,15
2024-09-03,81
2024-09-04,84
2024-09-05,78
2024-09-06,84
2024-09-07,14
2024-09-08,14
2024-09-09,96
2024-09-10,84
2024-09-11,87
2024-09-12,97
2024-09-13,90
2024-09-14,14
2024-09-15,17
2024-09-16,100
