Time,ncedcloud
2024-08-18,17
2024-08-19,50
2024-08-20,57
2024-08-21,49
2024-08-22,45
2024-08-23,40
2024-08-24,17
2024-08-25,24
2024-08-26,79
2024-08-27,65
2024-08-28,66
2024-08-29,67
2024-08-30,71
2024-08-31,11
2024-09-01,9
2024-09-02,15
2024-09-03,81
2024-09-04,84
2024-09-05,78
2024-09-06,84
2024-09-07,14
2024-09-08,14
2024-09-09,96
2024-09-10,84
2024-09-11,87
2024-09-12,97
2024-09-13,90
2024-09-14,14
2024-09-15,17
2024-09-16,100
2024-09-17,82
2024-09-18,99
2024-09-19,96
2024-09-20,90
2024-09-21,14
2024-09-22,16
2024-09-23,97
2024-09-24,92
2024-09-25,87
2024-09-26,89
2024-09-27,39
2024-09-28,14
2024-09-29,16
2024-09-30,77
2024-10-01,76
2024-10-02,82
2024-10-03,79
2024-10-04,72
2024-10-05,13
2024-10-06,16
2024-10-07,95
2024-10-08,87
2024-10-09,89
2024-10-10,86
2024-10-11,80
2024-10-12,15
2024-10-13,16
2024-10-14,85
2024-10-15,88
2024-10-16,84
2024-10-17,84
2024-10-18,68
2024-10-19,13
2024-10-20,18
2024-10-21,89
2024-10-22,85
2024-10-23,88
2024-10-24,85
2024-10-25,73
2024-10-26,15
2024-10-27,18
2024-10-28,89
2024-10-29,93
2024-10-30,87
2024-10-31,79
2024-11-01,88
2024-11-02,14
2024-11-03,12
2024-11-04,76
2024-11-05,40
2024-11-06,68
2024-11-07,78
2024-11-08,80
2024-11-09,11
2024-11-10,10
2024-11-11,13
2024-11-12,87
2024-11-13,85
2024-11-14,83
2024-11-15,86
2024-11-16,13
2024-11-17,13
2024-11-18,89
2024-11-19,81
2024-11-20,82
2024-11-21,87
2024-11-22,87
2024-11-23,14
2024-11-24,15
2024-11-25,87
2024-11-26,63
2024-11-27,11
2024-11-28,7
2024-11-29,9
2024-11-30,8
2024-12-01,11
2024-12-02,81
2024-12-03,62
2024-12-04,82
2024-12-05,78
2024-12-06,83
2024-12-07,12
2024-12-08,12
2024-12-09,88
2024-12-10,86
2024-12-11,79
2024-12-12,85
2024-12-13,82
2024-12-14,15
2024-12-15,18
2024-12-16,80
2024-12-17,79
2024-12-18,81
2024-12-19,69
2024-12-20,44
2024-12-21,14
2024-12-22,12
2024-12-23,8
2024-12-24,7
2024-12-25,9
2024-12-26,7
2024-12-27,7
2024-12-28,6
2024-12-29,7
2024-12-30,6
2024-12-31,7
2025-01-01,7
2025-01-02,13
2025-01-03,13
2025-01-04,10
2025-01-05,18
2025-01-06,67
2025-01-07,57
2025-01-08,82
2025-01-09,78
2025-01-10,57
2025-01-11,16
2025-01-12,17
2025-01-13,74
2025-01-14,73
2025-01-15,83
2025-01-16,78
2025-01-17,77
2025-01-18,16
2025-01-19,12
2025-01-20,17
2025-01-21,72
2025-01-22,47
2025-01-23,57
2025-01-24,56
2025-01-25,16
2025-01-26,17
2025-01-27,88
2025-01-28,98
2025-01-29,79
2025-01-30,76
2025-01-31,81
2025-02-01,14
2025-02-02,14
2025-02-03,74
2025-02-04,75
2025-02-05,79
2025-02-06,76
2025-02-07,76
2025-02-08,11
2025-02-09,11
2025-02-10,70
2025-02-11,71
2025-02-12,78
2025-02-13,74
2025-02-14,68
2025-02-15,11
2025-02-16,11
2025-02-17,48
2025-02-18,80
2025-02-19,45
2025-02-20,44
2025-02-21,58
2025-02-22,12
2025-02-23,14
2025-02-24,87
2025-02-25,75
2025-02-26,79
2025-02-27,76
2025-02-28,76
2025-03-01,12
2025-03-02,13
2025-03-03,80
2025-03-04,77
2025-03-05,66
2025-03-06,87
2025-03-07,71
2025-03-08,13
2025-03-09,15
2025-03-10,73
2025-03-11,61
2025-03-12,70
2025-03-13,69
2025-03-14,65
2025-03-15,11
2025-03-16,14
2025-03-17,70
2025-03-18,72
2025-03-19,74
2025-03-20,67
2025-03-21,71
2025-03-22,14
2025-03-23,14
2025-03-24,82
2025-03-25,75
2025-03-26,77
2025-03-27,83
2025-03-28,76
2025-03-29,15
2025-03-30,15
2025-03-31,65
2025-04-01,70
2025-04-02,63
2025-04-03,65
2025-04-04,66
2025-04-05,9
2025-04-06,11
2025-04-07,72
2025-04-08,69
2025-04-09,66
2025-04-10,73
2025-04-11,65
2025-04-12,10
2025-04-13,9
2025-04-14,47
2025-04-15,42
2025-04-16,46
2025-04-17,36
2025-04-18,7
2025-04-19,7
2025-04-20,8
2025-04-21,25
2025-04-22,52
2025-04-23,51
2025-04-24,49
2025-04-25,48
2025-04-26,9
2025-04-27,9
2025-04-28,80
2025-04-29,73
2025-04-30,67
2025-05-01,77
2025-05-02,65
2025-05-03,9
2025-05-04,14
2025-05-05,80
2025-05-06,72
2025-05-07,71
2025-05-08,70
2025-05-09,64
2025-05-10,11
2025-05-11,12
2025-05-12,79
2025-05-13,66
2025-05-14,66
