Time,alan jackson
2023-12-22,10
2023-12-23,12
2023-12-24,15
2023-12-25,16
2023-12-26,11
2023-12-27,8
2023-12-28,10
2023-12-29,14
2023-12-30,13
2023-12-31,17
2024-01-01,17
2024-01-02,9
2024-01-03,7
2024-01-04,9
2024-01-05,8
2024-01-06,11
2024-01-07,9
2024-01-08,6
2024-01-09,6
2024-01-10,7
2024-01-11,7
2024-01-12,9
2024-01-13,8
2024-01-14,7
2024-01-15,6
2024-01-16,6
2024-01-17,7
2024-01-18,6
2024-01-19,7
2024-01-20,10
2024-01-21,9
2024-01-22,8
2024-01-23,8
2024-01-24,8
2024-01-25,14
2024-01-26,9
2024-01-27,11
2024-01-28,10
2024-01-29,7
2024-01-30,7
2024-01-31,7
2024-02-01,8
2024-02-02,7
2024-02-03,11
2024-02-04,12
2024-02-05,8
2024-02-06,27
2024-02-07,20
2024-02-08,15
2024-02-09,14
2024-02-10,20
2024-02-11,16
2024-02-12,9
2024-02-13,9
2024-02-14,9
2024-02-15,9
2024-02-16,9
2024-02-17,12
2024-02-18,10
2024-02-19,8
2024-02-20,7
2024-02-21,7
2024-02-22,7
2024-02-23,9
2024-02-24,12
2024-02-25,11
2024-02-26,8
2024-02-27,8
2024-02-28,8
2024-02-29,7
2024-03-01,8
2024-03-02,11
2024-03-03,13
2024-03-04,8
2024-03-05,8
2024-03-06,7
2024-03-07,7
2024-03-08,10
2024-03-09,11
2024-03-10,10
2024-03-11,7
2024-03-12,8
2024-03-13,9
2024-03-14,8
2024-03-15,11
2024-03-16,12
2024-03-17,14
2024-03-18,7
2024-03-19,8
2024-03-20,7
2024-03-21,9
2024-03-22,8
2024-03-23,10
2024-03-24,11
2024-03-25,8
2024-03-26,7
2024-03-27,7
2024-03-28,9
2024-03-29,12
2024-03-30,14
2024-03-31,16
2024-04-01,10
2024-04-02,9
2024-04-03,7
2024-04-04,8
2024-04-05,11
2024-04-06,9
2024-04-07,12
2024-04-08,9
2024-04-09,8
2024-04-10,9
2024-04-11,8
2024-04-12,7
2024-04-13,10
2024-04-14,11
2024-04-15,8
2024-04-16,8
2024-04-17,9
2024-04-18,9
2024-04-19,9
2024-04-20,12
2024-04-21,12
2024-04-22,8
2024-04-23,9
2024-04-24,7
2024-04-25,8
2024-04-26,8
2024-04-27,11
2024-04-28,12
2024-04-29,8
2024-04-30,8
2024-05-01,8
2024-05-02,8
2024-05-03,11
2024-05-04,10
2024-05-05,11
2024-05-06,7
2024-05-07,8
2024-05-08,6
2024-05-09,9
2024-05-10,8
2024-05-11,10
2024-05-12,14
2024-05-13,10
2024-05-14,9
2024-05-15,10
2024-05-16,10
2024-05-17,11
2024-05-18,15
2024-05-19,13
2024-05-20,9
2024-05-21,11
2024-05-22,10
2024-05-23,9
2024-05-24,11
2024-05-25,14
2024-05-26,14
2024-05-27,13
2024-05-28,10
2024-05-29,8
2024-05-30,48
2024-05-31,91
2024-06-01,60
2024-06-02,45
2024-06-03,29
2024-06-04,23
2024-06-05,21
2024-06-06,24
2024-06-07,31
2024-06-08,27
2024-06-09,26
2024-06-10,18
2024-06-11,16
2024-06-12,21
2024-06-13,19
2024-06-14,16
2024-06-15,21
2024-06-16,22
2024-06-17,19
2024-06-18,14
2024-06-19,15
2024-06-20,14
2024-06-21,16
2024-06-22,25
2024-06-23,19
2024-06-24,14
2024-06-25,18
2024-06-26,19
2024-06-27,18
2024-06-28,28
2024-06-29,35
2024-06-30,24
2024-07-01,18
2024-07-02,15
2024-07-03,19
2024-07-04,88
2024-07-05,96
2024-07-06,100
2024-07-07,44
2024-07-08,14
2024-07-09,12
2024-07-10,12
2024-07-11,11
2024-07-12,12
2024-07-13,15
2024-07-14,12
2024-07-15,9
2024-07-16,10
2024-07-17,11
2024-07-18,11
2024-07-19,12
2024-07-20,16
2024-07-21,14
2024-07-22,11
2024-07-23,12
2024-07-24,10
2024-07-25,10
2024-07-26,13
2024-07-27,15
2024-07-28,15
2024-07-29,10
2024-07-30,10
2024-07-31,10
2024-08-01,12
2024-08-02,17
2024-08-03,22
2024-08-04,16
2024-08-05,9
2024-08-06,10
2024-08-07,10
2024-08-08,10
2024-08-09,11
2024-08-10,14
2024-08-11,14
2024-08-12,9
2024-08-13,9
2024-08-14,9
2024-08-15,10
2024-08-16,10
2024-08-17,12
2024-08-18,14
2024-08-19,9
2024-08-20,9
2024-08-21,10
2024-08-22,10
2024-08-23,13
2024-08-24,21
2024-08-25,21
2024-08-26,11
2024-08-27,9
2024-08-28,11
2024-08-29,16
2024-08-30,14
2024-08-31,14
2024-09-01,15
2024-09-02,14
2024-09-03,9
2024-09-04,9
2024-09-05,7
2024-09-06,8
2024-09-07,13
2024-09-08,11
2024-09-09,7
2024-09-10,8
2024-09-11,16
2024-09-12,13
2024-09-13,10
2024-09-14,13
2024-09-15,11
2024-09-16,8
