Time,kahoot join
2022-08-29,49
2022-08-30,48
2022-08-31,63
2022-09-01,73
2022-09-02,64
2022-09-03,5
2022-09-04,3
2022-09-05,5
2022-09-06,53
2022-09-07,52
2022-09-08,69
2022-09-09,81
2022-09-10,5
2022-09-11,7
2022-09-12,54
2022-09-13,65
2022-09-14,66
2022-09-15,79
2022-09-16,80
2022-09-17,6
2022-09-18,8
2022-09-19,58
2022-09-20,58
2022-09-21,81
2022-09-22,74
2022-09-23,83
2022-09-24,7
2022-09-25,6
2022-09-26,45
2022-09-27,51
2022-09-28,66
2022-09-29,95
2022-09-30,90
2022-10-01,6
2022-10-02,7
2022-10-03,61
2022-10-04,66
2022-10-05,63
2022-10-06,78
2022-10-07,84
2022-10-08,7
2022-10-09,5
2022-10-10,37
2022-10-11,52
2022-10-12,53
2022-10-13,72
2022-10-14,79
2022-10-15,6
2022-10-16,6
2022-10-17,46
2022-10-18,57
2022-10-19,59
2022-10-20,64
2022-10-21,68
2022-10-22,6
2022-10-23,7
2022-10-24,48
2022-10-25,51
2022-10-26,63
2022-10-27,68
2022-10-28,75
2022-10-29,5
2022-10-30,5
2022-10-31,68
2022-11-01,48
2022-11-02,60
2022-11-03,64
2022-11-04,62
2022-11-05,10
2022-11-06,7
2022-11-07,48
2022-11-08,40
2022-11-09,51
2022-11-10,61
2022-11-11,43
2022-11-12,6
2022-11-13,5
2022-11-14,55
2022-11-15,52
2022-11-16,62
2022-11-17,78
2022-11-18,76
2022-11-19,8
2022-11-20,8
2022-11-21,42
2022-11-22,41
2022-11-23,21
2022-11-24,6
2022-11-25,4
2022-11-26,4
2022-11-27,3
2022-11-28,39
2022-11-29,44
2022-11-30,50
2022-12-01,55
2022-12-02,61
2022-12-03,7
2022-12-04,6
2022-12-05,50
2022-12-06,54
2022-12-07,61
2022-12-08,64
2022-12-09,66
2022-12-10,4
2022-12-11,6
2022-12-12,61
2022-12-13,70
2022-12-14,62
2022-12-15,57
2022-12-16,71
2022-12-17,7
2022-12-18,6
2022-12-19,45
2022-12-20,39
2022-12-21,41
2022-12-22,31
2022-12-23,16
2022-12-24,4
2022-12-25,9
2022-12-26,3
2022-12-27,3
2022-12-28,3
2022-12-29,2
2022-12-30,2
2022-12-31,3
2023-01-01,4
2023-01-02,5
2023-01-03,24
2023-01-04,35
2023-01-05,44
2023-01-06,51
2023-01-07,4
2023-01-08,3
2023-01-09,51
2023-01-10,49
2023-01-11,67
2023-01-12,69
2023-01-13,77
2023-01-14,6
2023-01-15,3
2023-01-16,5
2023-01-17,61
2023-01-18,52
2023-01-19,64
2023-01-20,68
2023-01-21,6
2023-01-22,5
2023-01-23,57
2023-01-24,53
2023-01-25,57
2023-01-26,65
2023-01-27,59
2023-01-28,7
2023-01-29,4
2023-01-30,49
2023-01-31,63
2023-02-01,56
2023-02-02,60
2023-02-03,67
2023-02-04,5
2023-02-05,7
2023-02-06,67
2023-02-07,64
2023-02-08,64
2023-02-09,70
2023-02-10,68
2023-02-11,5
2023-02-12,5
2023-02-13,63
2023-02-14,56
2023-02-15,55
2023-02-16,48
2023-02-17,39
2023-02-18,4
2023-02-19,3
2023-02-20,9
2023-02-21,30
2023-02-22,31
2023-02-23,42
2023-02-24,47
2023-02-25,6
2023-02-26,5
2023-02-27,42
2023-02-28,44
2023-03-01,48
2023-03-02,51
2023-03-03,51
2023-03-04,6
2023-03-05,4
2023-03-06,49
2023-03-07,54
2023-03-08,49
2023-03-09,53
2023-03-10,50
2023-03-11,6
2023-03-12,5
2023-03-13,38
2023-03-14,42
2023-03-15,42
2023-03-16,41
2023-03-17,41
2023-03-18,5
2023-03-19,4
2023-03-20,39
2023-03-21,47
2023-03-22,66
2023-03-23,73
2023-03-24,83
2023-03-25,6
2023-03-26,5
2023-03-27,65
2023-03-28,71
2023-03-29,76
2023-03-30,77
2023-03-31,73
2023-04-01,6
2023-04-02,3
2023-04-03,53
2023-04-04,55
2023-04-05,55
2023-04-06,58
2023-04-07,18
2023-04-08,5
2023-04-09,3
2023-04-10,44
2023-04-11,55
2023-04-12,55
2023-04-13,71
2023-04-14,73
2023-04-15,5
2023-04-16,4
2023-04-17,74
2023-04-18,75
2023-04-19,75
2023-04-20,82
2023-04-21,77
2023-04-22,5
2023-04-23,5
2023-04-24,92
2023-04-25,89
2023-04-26,87
2023-04-27,95
2023-04-28,100
2023-04-29,8
2023-04-30,9
2023-05-01,92
2023-05-02,80
2023-05-03,82
2023-05-04,96
2023-05-05,84
2023-05-06,6
2023-05-07,4
2023-05-08,77
2023-05-09,74
2023-05-10,75
2023-05-11,82
2023-05-12,88
2023-05-13,5
2023-05-14,5
2023-05-15,82
2023-05-16,80
2023-05-17,80
2023-05-18,79
2023-05-19,83
2023-05-20,7
2023-05-21,6
2023-05-22,83
2023-05-23,71
2023-05-24,67
2023-05-25,60
