Time,kahoot join
2023-04-26,47
2023-04-27,52
2023-04-28,54
2023-04-29,5
2023-04-30,5
2023-05-01,50
2023-05-02,43
2023-05-03,44
2023-05-04,52
2023-05-05,46
2023-05-06,3
2023-05-07,2
2023-05-08,42
2023-05-09,40
2023-05-10,41
2023-05-11,44
2023-05-12,47
2023-05-13,3
2023-05-14,3
2023-05-15,44
2023-05-16,43
2023-05-17,43
2023-05-18,43
2023-05-19,45
2023-05-20,4
2023-05-21,3
2023-05-22,45
2023-05-23,38
2023-05-24,36
2023-05-25,32
2023-05-26,26
2023-05-27,4
2023-05-28,3
2023-05-29,2
2023-05-30,25
2023-05-31,25
2023-06-01,23
2023-06-02,23
2023-06-03,3
2023-06-04,2
2023-06-05,25
2023-06-06,20
2023-06-07,19
2023-06-08,19
2023-06-09,18
2023-06-10,2
2023-06-11,1
2023-06-12,16
2023-06-13,16
2023-06-14,12
2023-06-15,13
2023-06-16,8
2023-06-17,3
2023-06-18,1
2023-06-19,4
2023-06-20,9
2023-06-21,8
2023-06-22,8
2023-06-23,6
2023-06-24,1
2023-06-25,2
2023-06-26,5
2023-06-27,5
2023-06-28,5
2023-06-29,4
2023-06-30,6
2023-07-01,1
2023-07-02,0
2023-07-03,1
2023-07-04,0
2023-07-05,3
2023-07-06,3
2023-07-07,2
2023-07-08,2
2023-07-09,1
2023-07-10,3
2023-07-11,4
2023-07-12,4
2023-07-13,4
2023-07-14,4
2023-07-15,1
2023-07-16,1
2023-07-17,4
2023-07-18,4
2023-07-19,4
2023-07-20,4
2023-07-21,3
2023-07-22,1
2023-07-23,1
2023-07-24,5
2023-07-25,4
2023-07-26,4
2023-07-27,4
2023-07-28,4
2023-07-29,1
2023-07-30,0
2023-07-31,3
2023-08-01,5
2023-08-02,5
2023-08-03,9
2023-08-04,11
2023-08-05,0
2023-08-06,0
2023-08-07,10
2023-08-08,12
2023-08-09,15
2023-08-10,19
2023-08-11,28
2023-08-12,2
2023-08-13,2
2023-08-14,23
2023-08-15,28
2023-08-16,32
2023-08-17,43
2023-08-18,57
2023-08-19,2
2023-08-20,1
2023-08-21,38
2023-08-22,44
2023-08-23,52
2023-08-24,62
2023-08-25,72
2023-08-26,3
2023-08-27,2
2023-08-28,64
2023-08-29,64
2023-08-30,63
2023-08-31,75
2023-09-01,75
2023-09-02,4
2023-09-03,2
2023-09-04,2
2023-09-05,59
2023-09-06,75
2023-09-07,93
2023-09-08,99
2023-09-09,3
2023-09-10,2
2023-09-11,67
2023-09-12,76
2023-09-13,85
2023-09-14,96
2023-09-15,100
2023-09-16,4
2023-09-17,3
2023-09-18,54
2023-09-19,61
2023-09-20,63
2023-09-21,75
2023-09-22,76
2023-09-23,4
2023-09-24,2
2023-09-25,44
2023-09-26,57
2023-09-27,63
2023-09-28,70
2023-09-29,74
2023-09-30,3
2023-10-01,3
2023-10-02,57
2023-10-03,61
2023-10-04,60
2023-10-05,75
2023-10-06,60
2023-10-07,3
2023-10-08,3
2023-10-09,30
2023-10-10,48
2023-10-11,48
2023-10-12,48
2023-10-13,47
2023-10-14,3
2023-10-15,2
2023-10-16,56
2023-10-17,63
2023-10-18,67
2023-10-19,71
2023-10-20,69
2023-10-21,5
2023-10-22,3
2023-10-23,71
2023-10-24,68
2023-10-25,68
2023-10-26,73
2023-10-27,76
2023-10-28,4
2023-10-29,3
2023-10-30,63
2023-10-31,95
2023-11-01,64
2023-11-02,72
2023-11-03,66
2023-11-04,5
2023-11-05,3
2023-11-06,63
2023-11-07,52
2023-11-08,68
2023-11-09,70
2023-11-10,40
2023-11-11,3
2023-11-12,3
2023-11-13,58
2023-11-14,62
2023-11-15,63
2023-11-16,72
2023-11-17,81
2023-11-18,6
2023-11-19,5
2023-11-20,45
2023-11-21,48
2023-11-22,18
2023-11-23,3
2023-11-24,3
2023-11-25,3
2023-11-26,1
2023-11-27,56
2023-11-28,58
2023-11-29,67
2023-11-30,73
2023-12-01,81
2023-12-02,4
2023-12-03,4
2023-12-04,69
2023-12-05,69
2023-12-06,70
2023-12-07,75
2023-12-08,77
2023-12-09,5
2023-12-10,5
2023-12-11,58
2023-12-12,59
2023-12-13,81
2023-12-14,94
2023-12-15,86
2023-12-16,5
2023-12-17,5
2023-12-18,72
2023-12-19,77
2023-12-20,63
2023-12-21,55
2023-12-22,37
2023-12-23,3
2023-12-24,3
2023-12-25,4
2023-12-26,3
2023-12-27,3
2023-12-28,2
2023-12-29,2
2023-12-30,2
2023-12-31,1
2024-01-01,3
2024-01-02,16
2024-01-03,36
2024-01-04,42
2024-01-05,48
2024-01-06,3
2024-01-07,2
2024-01-08,54
2024-01-09,52
2024-01-10,64
2024-01-11,76
2024-01-12,71
2024-01-13,4
2024-01-14,3
2024-01-15,4
2024-01-16,42
2024-01-17,58
2024-01-18,74
2024-01-19,66
2024-01-20,4
