Time,kahoot join
2023-12-22,27
2023-12-23,2
2023-12-24,2
2023-12-25,3
2023-12-26,2
2023-12-27,2
2023-12-28,2
2023-12-29,1
2023-12-30,1
2023-12-31,1
2024-01-01,2
2024-01-02,11
2024-01-03,25
2024-01-04,30
2024-01-05,34
2024-01-06,2
2024-01-07,2
2024-01-08,38
2024-01-09,37
2024-01-10,46
2024-01-11,54
2024-01-12,51
2024-01-13,3
2024-01-14,2
2024-01-15,3
2024-01-16,30
2024-01-17,41
2024-01-18,52
2024-01-19,47
2024-01-20,3
2024-01-21,2
2024-01-22,44
2024-01-23,45
2024-01-24,51
2024-01-25,58
2024-01-26,58
2024-01-27,4
2024-01-28,2
2024-01-29,47
2024-01-30,53
2024-01-31,55
2024-02-01,63
2024-02-02,60
2024-02-03,4
2024-02-04,2
2024-02-05,50
2024-02-06,52
2024-02-07,53
2024-02-08,60
2024-02-09,60
2024-02-10,5
2024-02-11,3
2024-02-12,44
2024-02-13,48
2024-02-14,61
2024-02-15,55
2024-02-16,45
2024-02-17,3
2024-02-18,3
2024-02-19,10
2024-02-20,41
2024-02-21,48
2024-02-22,51
2024-02-23,55
2024-02-24,3
2024-02-25,2
2024-02-26,47
2024-02-27,46
2024-02-28,53
2024-02-29,56
2024-03-01,60
2024-03-02,3
2024-03-03,2
2024-03-04,51
2024-03-05,49
2024-03-06,52
2024-03-07,56
2024-03-08,53
2024-03-09,4
2024-03-10,3
2024-03-11,37
2024-03-12,40
2024-03-13,43
2024-03-14,44
2024-03-15,41
2024-03-16,3
2024-03-17,2
2024-03-18,43
2024-03-19,45
2024-03-20,52
2024-03-21,48
2024-03-22,56
2024-03-23,4
2024-03-24,2
2024-03-25,39
2024-03-26,41
2024-03-27,43
2024-03-28,43
2024-03-29,15
2024-03-30,2
2024-03-31,2
2024-04-01,24
2024-04-02,35
2024-04-03,38
2024-04-04,41
2024-04-05,45
2024-04-06,3
2024-04-07,2
2024-04-08,40
2024-04-09,52
2024-04-10,46
2024-04-11,59
2024-04-12,63
2024-04-13,4
2024-04-14,2
2024-04-15,57
2024-04-16,54
2024-04-17,58
2024-04-18,58
2024-04-19,66
2024-04-20,3
2024-04-21,3
2024-04-22,58
2024-04-23,56
2024-04-24,56
2024-04-25,60
2024-04-26,63
2024-04-27,4
2024-04-28,2
2024-04-29,53
2024-04-30,56
2024-05-01,54
2024-05-02,58
2024-05-03,68
2024-05-04,3
2024-05-05,3
2024-05-06,55
2024-05-07,52
2024-05-08,54
2024-05-09,54
2024-05-10,53
2024-05-11,3
2024-05-12,2
2024-05-13,53
2024-05-14,55
2024-05-15,53
2024-05-16,56
2024-05-17,50
2024-05-18,2
2024-05-19,2
2024-05-20,48
2024-05-21,48
2024-05-22,42
2024-05-23,40
2024-05-24,30
2024-05-25,3
2024-05-26,2
2024-05-27,2
2024-05-28,29
2024-05-29,28
2024-05-30,30
2024-05-31,25
2024-06-01,2
2024-06-02,2
2024-06-03,22
2024-06-04,22
2024-06-05,23
2024-06-06,21
2024-06-07,17
2024-06-08,2
2024-06-09,2
2024-06-10,18
2024-06-11,18
2024-06-12,15
2024-06-13,16
2024-06-14,8
2024-06-15,1
2024-06-16,1
2024-06-17,8
2024-06-18,8
2024-06-19,3
2024-06-20,8
2024-06-21,7
2024-06-22,1
2024-06-23,1
2024-06-24,6
2024-06-25,7
2024-06-26,6
2024-06-27,5
2024-06-28,4
2024-06-29,2
2024-06-30,1
2024-07-01,3
2024-07-02,3
2024-07-03,3
2024-07-04,1
2024-07-05,1
2024-07-06,1
2024-07-07,1
2024-07-08,4
2024-07-09,3
2024-07-10,4
2024-07-11,4
2024-07-12,3
2024-07-13,1
2024-07-14,1
2024-07-15,3
2024-07-16,4
2024-07-17,3
2024-07-18,5
2024-07-19,3
2024-07-20,1
2024-07-21,2
2024-07-22,3
2024-07-23,4
2024-07-24,3
2024-07-25,5
2024-07-26,3
2024-07-27,2
2024-07-28,1
2024-07-29,4
2024-07-30,4
2024-07-31,4
2024-08-01,6
2024-08-02,8
2024-08-03,1
2024-08-04,1
2024-08-05,8
2024-08-06,8
2024-08-07,13
2024-08-08,16
2024-08-09,19
2024-08-10,2
2024-08-11,1
2024-08-12,18
2024-08-13,24
2024-08-14,34
2024-08-15,49
2024-08-16,63
2024-08-17,2
2024-08-18,2
2024-08-19,41
2024-08-20,51
2024-08-21,59
2024-08-22,74
2024-08-23,94
2024-08-24,3
2024-08-25,3
2024-08-26,58
2024-08-27,70
2024-08-28,81
2024-08-29,93
2024-08-30,83
2024-08-31,2
2024-09-01,2
2024-09-02,2
2024-09-03,67
2024-09-04,85
2024-09-05,96
2024-09-06,95
2024-09-07,3
2024-09-08,3
2024-09-09,74
2024-09-10,88
2024-09-11,87
2024-09-12,98
2024-09-13,100
2024-09-14,3
2024-09-15,3
2024-09-16,83
