Time,peaky blinders
2024-08-18,65
2024-08-19,49
2024-08-20,47
2024-08-21,41
2024-08-22,44
2024-08-23,45
2024-08-24,50
2024-08-25,61
2024-08-26,51
2024-08-27,45
2024-08-28,48
2024-08-29,61
2024-08-30,61
2024-08-31,66
2024-09-01,68
2024-09-02,85
2024-09-03,58
2024-09-04,48
2024-09-05,49
2024-09-06,49
2024-09-07,53
2024-09-08,56
2024-09-09,41
2024-09-10,43
2024-09-11,38
2024-09-12,46
2024-09-13,46
2024-09-14,52
2024-09-15,54
2024-09-16,45
2024-09-17,45
2024-09-18,41
2024-09-19,48
2024-09-20,47
2024-09-21,52
2024-09-22,52
2024-09-23,52
2024-09-24,45
2024-09-25,48
2024-09-26,48
2024-09-27,49
2024-09-28,58
2024-09-29,58
2024-09-30,61
2024-10-01,73
2024-10-02,60
2024-10-03,54
2024-10-04,49
2024-10-05,62
2024-10-06,60
2024-10-07,47
2024-10-08,46
2024-10-09,45
2024-10-10,41
2024-10-11,52
2024-10-12,57
2024-10-13,59
2024-10-14,49
2024-10-15,55
2024-10-16,55
2024-10-17,51
2024-10-18,53
2024-10-19,59
2024-10-20,65
2024-10-21,50
2024-10-22,50
2024-10-23,62
2024-10-24,54
2024-10-25,51
2024-10-26,72
2024-10-27,67
2024-10-28,57
2024-10-29,55
2024-10-30,53
2024-10-31,65
2024-11-01,62
2024-11-02,74
2024-11-03,72
2024-11-04,52
2024-11-05,50
2024-11-06,35
2024-11-07,46
2024-11-08,53
2024-11-09,64
2024-11-10,63
2024-11-11,51
2024-11-12,51
2024-11-13,51
2024-11-14,52
2024-11-15,49
2024-11-16,52
2024-11-17,61
2024-11-18,49
2024-11-19,45
2024-11-20,51
2024-11-21,44
2024-11-22,46
2024-11-23,61
2024-11-24,57
2024-11-25,48
2024-11-26,50
2024-11-27,54
2024-11-28,61
2024-11-29,61
2024-11-30,62
2024-12-01,62
2024-12-02,45
2024-12-03,49
2024-12-04,46
2024-12-05,50
2024-12-06,55
2024-12-07,61
2024-12-08,56
2024-12-09,51
2024-12-10,54
2024-12-11,51
2024-12-12,55
2024-12-13,57
2024-12-14,59
2024-12-15,72
2024-12-16,53
2024-12-17,54
2024-12-18,56
2024-12-19,71
2024-12-20,81
2024-12-21,69
2024-12-22,72
2024-12-23,62
2024-12-24,65
2024-12-25,74
2024-12-26,62
2024-12-27,71
2024-12-28,72
2024-12-29,80
2024-12-30,93
2024-12-31,83
2025-01-01,79
2025-01-02,73
2025-01-03,73
2025-01-04,100
2025-01-05,85
2025-01-06,76
2025-01-07,71
2025-01-08,57
2025-01-09,61
2025-01-10,63
2025-01-11,73
2025-01-12,75
2025-01-13,59
2025-01-14,53
2025-01-15,60
2025-01-16,61
2025-01-17,80
2025-01-18,80
2025-01-19,65
2025-01-20,70
2025-01-21,63
2025-01-22,66
2025-01-23,59
2025-01-24,57
2025-01-25,66
2025-01-26,78
2025-01-27,49
2025-01-28,61
2025-01-29,58
2025-01-30,53
2025-01-31,55
2025-02-01,65
2025-02-02,75
2025-02-03,53
2025-02-04,51
2025-02-05,53
2025-02-06,50
2025-02-07,54
2025-02-08,68
2025-02-09,70
2025-02-10,46
2025-02-11,48
2025-02-12,58
2025-02-13,54
2025-02-14,55
2025-02-15,67
2025-02-16,74
2025-02-17,62
2025-02-18,62
2025-02-19,63
2025-02-20,57
2025-02-21,58
2025-02-22,72
2025-02-23,77
2025-02-24,62
2025-02-25,58
2025-02-26,56
2025-02-27,52
2025-02-28,51
2025-03-01,68
2025-03-02,72
2025-03-03,69
2025-03-04,63
2025-03-05,56
2025-03-06,58
2025-03-07,59
2025-03-08,71
2025-03-09,73
2025-03-10,58
2025-03-11,55
2025-03-12,51
2025-03-13,54
2025-03-14,49
2025-03-15,69
2025-03-16,67
2025-03-17,58
2025-03-18,49
2025-03-19,50
2025-03-20,53
2025-03-21,52
2025-03-22,56
2025-03-23,81
2025-03-24,50
2025-03-25,48
2025-03-26,44
2025-03-27,46
2025-03-28,46
2025-03-29,57
2025-03-30,68
2025-03-31,52
2025-04-01,47
2025-04-02,47
2025-04-03,46
2025-04-04,44
2025-04-05,60
2025-04-06,65
2025-04-07,48
2025-04-08,43
2025-04-09,42
2025-04-10,39
2025-04-11,45
2025-04-12,56
2025-04-13,57
2025-04-14,44
2025-04-15,44
2025-04-16,48
2025-04-17,49
2025-04-18,53
2025-04-19,55
2025-04-20,60
2025-04-21,47
2025-04-22,39
2025-04-23,38
2025-04-24,41
2025-04-25,43
2025-04-26,52
2025-04-27,55
2025-04-28,41
2025-04-29,42
2025-04-30,47
2025-05-01,43
2025-05-02,44
2025-05-03,59
2025-05-04,57
2025-05-05,45
2025-05-06,50
2025-05-07,38
2025-05-08,40
2025-05-09,38
2025-05-10,48
2025-05-11,56
2025-05-12,42
2025-05-13,41
2025-05-14,41
