Time,quizizz
2023-12-22,10
2023-12-23,1
2023-12-24,2
2023-12-25,2
2023-12-26,2
2023-12-27,1
2023-12-28,2
2023-12-29,1
2023-12-30,1
2023-12-31,1
2024-01-01,2
2024-01-02,12
2024-01-03,26
2024-01-04,39
2024-01-05,45
2024-01-06,3
2024-01-07,3
2024-01-08,55
2024-01-09,56
2024-01-10,72
2024-01-11,79
2024-01-12,75
2024-01-13,3
2024-01-14,2
2024-01-15,6
2024-01-16,40
2024-01-17,58
2024-01-18,72
2024-01-19,71
2024-01-20,4
2024-01-21,4
2024-01-22,70
2024-01-23,72
2024-01-24,79
2024-01-25,80
2024-01-26,83
2024-01-27,3
2024-01-28,4
2024-01-29,74
2024-01-30,77
2024-01-31,82
2024-02-01,88
2024-02-02,78
2024-02-03,4
2024-02-04,5
2024-02-05,70
2024-02-06,76
2024-02-07,81
2024-02-08,84
2024-02-09,100
2024-02-10,4
2024-02-11,4
2024-02-12,67
2024-02-13,80
2024-02-14,79
2024-02-15,85
2024-02-16,60
2024-02-17,4
2024-02-18,3
2024-02-19,19
2024-02-20,65
2024-02-21,73
2024-02-22,84
2024-02-23,78
2024-02-24,4
2024-02-25,4
2024-02-26,74
2024-02-27,79
2024-02-28,84
2024-02-29,83
2024-03-01,80
2024-03-02,4
2024-03-03,4
2024-03-04,81
2024-03-05,75
2024-03-06,79
2024-03-07,93
2024-03-08,73
2024-03-09,4
2024-03-10,3
2024-03-11,52
2024-03-12,59
2024-03-13,60
2024-03-14,56
2024-03-15,49
2024-03-16,2
2024-03-17,4
2024-03-18,66
2024-03-19,70
2024-03-20,78
2024-03-21,79
2024-03-22,76
2024-03-23,4
2024-03-24,3
2024-03-25,66
2024-03-26,70
2024-03-27,68
2024-03-28,63
2024-03-29,17
2024-03-30,3
2024-03-31,2
2024-04-01,32
2024-04-02,54
2024-04-03,58
2024-04-04,58
2024-04-05,55
2024-04-06,4
2024-04-07,3
2024-04-08,56
2024-04-09,83
2024-04-10,76
2024-04-11,87
2024-04-12,92
2024-04-13,5
2024-04-14,4
2024-04-15,90
2024-04-16,84
2024-04-17,91
2024-04-18,92
2024-04-19,91
2024-04-20,4
2024-04-21,4
2024-04-22,84
2024-04-23,79
2024-04-24,77
2024-04-25,80
2024-04-26,70
2024-04-27,4
2024-04-28,4
2024-04-29,76
2024-04-30,76
2024-05-01,68
2024-05-02,74
2024-05-03,70
2024-05-04,4
2024-05-05,4
2024-05-06,71
2024-05-07,69
2024-05-08,74
2024-05-09,69
2024-05-10,63
2024-05-11,3
2024-05-12,4
2024-05-13,71
2024-05-14,66
2024-05-15,69
2024-05-16,61
2024-05-17,54
2024-05-18,3
2024-05-19,4
2024-05-20,54
2024-05-21,44
2024-05-22,42
2024-05-23,38
2024-05-24,22
2024-05-25,2
2024-05-26,2
2024-05-27,3
2024-05-28,26
2024-05-29,25
2024-05-30,22
2024-05-31,20
2024-06-01,2
2024-06-02,2
2024-06-03,18
2024-06-04,17
2024-06-05,17
2024-06-06,14
2024-06-07,8
2024-06-08,2
2024-06-09,1
2024-06-10,12
2024-06-11,13
2024-06-12,12
2024-06-13,10
2024-06-14,6
2024-06-15,1
2024-06-16,1
2024-06-17,7
2024-06-18,7
2024-06-19,3
2024-06-20,6
2024-06-21,3
2024-06-22,1
2024-06-23,1
2024-06-24,4
2024-06-25,7
2024-06-26,6
2024-06-27,5
2024-06-28,3
2024-06-29,1
2024-06-30,1
2024-07-01,3
2024-07-02,3
2024-07-03,3
2024-07-04,0
2024-07-05,1
2024-07-06,1
2024-07-07,0
2024-07-08,3
2024-07-09,3
2024-07-10,4
2024-07-11,3
2024-07-12,2
2024-07-13,1
2024-07-14,1
2024-07-15,4
2024-07-16,3
2024-07-17,4
2024-07-18,3
2024-07-19,2
2024-07-20,1
2024-07-21,1
2024-07-22,3
2024-07-23,3
2024-07-24,3
2024-07-25,4
2024-07-26,3
2024-07-27,1
2024-07-28,1
2024-07-29,3
2024-07-30,4
2024-07-31,4
2024-08-01,5
2024-08-02,8
2024-08-03,2
2024-08-04,1
2024-08-05,10
2024-08-06,12
2024-08-07,15
2024-08-08,21
2024-08-09,23
2024-08-10,2
2024-08-11,2
2024-08-12,25
2024-08-13,31
2024-08-14,38
2024-08-15,51
2024-08-16,62
2024-08-17,2
2024-08-18,3
2024-08-19,49
2024-08-20,60
2024-08-21,64
2024-08-22,78
2024-08-23,87
2024-08-24,3
2024-08-25,5
2024-08-26,69
2024-08-27,76
2024-08-28,82
2024-08-29,89
2024-08-30,90
2024-08-31,3
2024-09-01,3
2024-09-02,6
2024-09-03,70
2024-09-04,82
2024-09-05,93
2024-09-06,90
2024-09-07,3
2024-09-08,5
2024-09-09,76
2024-09-10,81
2024-09-11,81
2024-09-12,89
2024-09-13,95
2024-09-14,3
2024-09-15,5
2024-09-16,75
