Time,liga mx
2025-04-15,10
2025-04-16,37
2025-04-17,36
2025-04-18,13
2025-04-19,30
2025-04-20,79
2025-04-21,30
2025-04-22,8
2025-04-23,7
2025-04-24,8
2025-04-25,6
2025-04-26,13
2025-04-27,23
2025-04-28,33
2025-04-29,8
2025-04-30,6
2025-05-01,6
2025-05-02,8
2025-05-03,11
2025-05-04,16
2025-05-05,20
2025-05-06,9
2025-05-07,12
2025-05-08,35
2025-05-09,31
2025-05-10,20
2025-05-11,68
2025-05-12,49
2025-05-13,13
2025-05-14,13
2025-05-15,31
2025-05-16,30
2025-05-17,16
2025-05-18,47
2025-05-19,46
2025-05-20,7
2025-05-21,7
2025-05-22,12
2025-05-23,29
2025-05-24,7
2025-05-25,20
2025-05-26,40
2025-05-27,4
2025-05-28,3
2025-05-29,2
2025-05-30,2
2025-05-31,2
2025-06-01,4
2025-06-02,2
2025-06-03,2
2025-06-04,1
2025-06-05,2
2025-06-06,1
2025-06-07,2
2025-06-08,2
2025-06-09,1
2025-06-10,1
2025-06-11,1
2025-06-12,1
2025-06-13,1
2025-06-14,1
2025-06-15,2
2025-06-16,1
2025-06-17,1
2025-06-18,2
2025-06-19,1
2025-06-20,1
2025-06-21,1
2025-06-22,2
2025-06-23,1
2025-06-24,1
2025-06-25,1
2025-06-26,2
2025-06-27,1
2025-06-28,2
2025-06-29,2
2025-06-30,1
2025-07-01,1
2025-07-02,2
2025-07-03,2
2025-07-04,1
2025-07-05,2
2025-07-06,3
2025-07-07,3
2025-07-08,2
2025-07-09,3
2025-07-10,3
2025-07-11,7
2025-07-12,34
2025-07-13,34
2025-07-14,16
2025-07-15,6
2025-07-16,8
2025-07-17,24
2025-07-18,10
2025-07-19,27
2025-07-20,41
2025-07-21,12
2025-07-22,7
2025-07-23,13
2025-07-24,28
2025-07-25,10
2025-07-26,33
2025-07-27,50
2025-07-28,8
2025-07-29,5
2025-07-30,5
2025-07-31,5
2025-08-01,5
2025-08-02,6
2025-08-03,6
2025-08-04,4
2025-08-05,3
2025-08-06,3
2025-08-07,4
2025-08-08,6
2025-08-09,24
2025-08-10,39
2025-08-11,22
2025-08-12,20
2025-08-13,6
2025-08-14,5
2025-08-15,7
2025-08-16,26
2025-08-17,48
2025-08-18,15
2025-08-19,5
2025-08-20,5
2025-08-21,5
2025-08-22,8
2025-08-23,34
2025-08-24,41
2025-08-25,25
2025-08-26,5
2025-08-27,5
2025-08-28,4
2025-08-29,8
2025-08-30,30
2025-08-31,51
2025-09-01,19
2025-09-02,5
2025-09-03,4
2025-09-04,3
2025-09-05,4
2025-09-06,7
2025-09-07,6
2025-09-08,4
2025-09-09,2
2025-09-10,3
2025-09-11,3
2025-09-12,6
2025-09-13,26
2025-09-14,54
2025-09-15,13
2025-09-16,4
2025-09-17,6
2025-09-18,20
2025-09-19,8
2025-09-20,31
2025-09-21,43
2025-09-22,10
2025-09-23,9
2025-09-24,27
2025-09-25,39
2025-09-26,10
2025-09-27,40
2025-09-28,54
2025-09-29,21
2025-09-30,5
2025-10-01,4
2025-10-02,5
2025-10-03,8
2025-10-04,30
2025-10-05,46
2025-10-06,26
2025-10-07,6
2025-10-08,4
2025-10-09,3
2025-10-10,4
2025-10-11,8
2025-10-12,6
2025-10-13,3
2025-10-14,2
2025-10-15,3
2025-10-16,4
2025-10-17,7
2025-10-18,33
2025-10-19,52
2025-10-20,8
2025-10-21,9
2025-10-22,32
2025-10-23,29
2025-10-24,9
2025-10-25,34
2025-10-26,63
2025-10-27,22
2025-10-28,5
2025-10-29,5
2025-10-30,5
2025-10-31,8
2025-11-01,37
2025-11-02,58
2025-11-03,27
2025-11-04,6
2025-11-05,5
2025-11-06,6
2025-11-07,10
2025-11-08,47
2025-11-09,87
2025-11-10,20
2025-11-11,8
2025-11-12,7
2025-11-13,6
2025-11-14,8
2025-11-15,7
2025-11-16,8
2025-11-17,7
2025-11-18,4
2025-11-19,5
2025-11-20,10
2025-11-21,28
2025-11-22,14
2025-11-23,19
2025-11-24,26
2025-11-25,11
2025-11-26,19
2025-11-27,82
2025-11-28,41
2025-11-29,30
2025-11-30,100
2025-12-01,47
2025-12-02,11
2025-12-03,15
2025-12-04,41
2025-12-05,8
2025-12-06,21
2025-12-07,91
2025-12-08,10
2025-12-09,7
2025-12-10,9
2025-12-11,12
2025-12-12,30
2025-12-13,9
2025-12-14,19
2025-12-15,47
2025-12-16,4
2025-12-17,3
2025-12-18,2
2025-12-19,2
2025-12-20,2
2025-12-21,2
2025-12-22,1
2025-12-23,2
2025-12-24,2
2025-12-25,2
2025-12-26,2
2025-12-27,2
2025-12-28,2
2025-12-29,2
2025-12-30,2
2025-12-31,2
2026-01-01,2
2026-01-02,2
2026-01-03,4
2026-01-04,4
2026-01-05,3
2026-01-06,3
2026-01-07,3
2026-01-08,3
2026-01-09,7
