Time,liga mx
2023-12-22,3
2023-12-23,2
2023-12-24,2
2023-12-25,2
2023-12-26,2
2023-12-27,2
2023-12-28,2
2023-12-29,2
2023-12-30,2
2023-12-31,2
2024-01-01,2
2024-01-02,2
2024-01-03,3
2024-01-04,3
2024-01-05,3
2024-01-06,6
2024-01-07,5
2024-01-08,3
2024-01-09,3
2024-01-10,3
2024-01-11,4
2024-01-12,8
2024-01-13,32
2024-01-14,61
2024-01-15,16
2024-01-16,6
2024-01-17,6
2024-01-18,14
2024-01-19,9
2024-01-20,39
2024-01-21,49
2024-01-22,29
2024-01-23,7
2024-01-24,10
2024-01-25,31
2024-01-26,14
2024-01-27,44
2024-01-28,53
2024-01-29,25
2024-01-30,11
2024-01-31,38
2024-02-01,20
2024-02-02,12
2024-02-03,40
2024-02-04,61
2024-02-05,30
2024-02-06,7
2024-02-07,8
2024-02-08,13
2024-02-09,11
2024-02-10,37
2024-02-11,76
2024-02-12,11
2024-02-13,6
2024-02-14,8
2024-02-15,12
2024-02-16,10
2024-02-17,44
2024-02-18,63
2024-02-19,33
2024-02-20,11
2024-02-21,30
2024-02-22,40
2024-02-23,14
2024-02-24,45
2024-02-25,78
2024-02-26,20
2024-02-27,8
2024-02-28,14
2024-02-29,21
2024-03-01,12
2024-03-02,40
2024-03-03,71
2024-03-04,27
2024-03-05,8
2024-03-06,8
2024-03-07,11
2024-03-08,9
2024-03-09,39
2024-03-10,93
2024-03-11,19
2024-03-12,6
2024-03-13,7
2024-03-14,11
2024-03-15,9
2024-03-16,40
2024-03-17,68
2024-03-18,26
2024-03-19,6
2024-03-20,5
2024-03-21,4
2024-03-22,4
2024-03-23,10
2024-03-24,14
2024-03-25,4
2024-03-26,3
2024-03-27,4
2024-03-28,4
2024-03-29,9
2024-03-30,43
2024-03-31,54
2024-04-01,21
2024-04-02,5
2024-04-03,5
2024-04-04,5
2024-04-05,8
2024-04-06,33
2024-04-07,72
2024-04-08,18
2024-04-09,6
2024-04-10,6
2024-04-11,6
2024-04-12,9
2024-04-13,43
2024-04-14,74
2024-04-15,25
2024-04-16,7
2024-04-17,6
2024-04-18,5
2024-04-19,9
2024-04-20,44
2024-04-21,81
2024-04-22,23
2024-04-23,8
2024-04-24,8
2024-04-25,6
2024-04-26,12
2024-04-27,55
2024-04-28,91
2024-04-29,38
2024-04-30,11
2024-05-01,11
2024-05-02,11
2024-05-03,39
2024-05-04,19
2024-05-05,21
2024-05-06,33
2024-05-07,14
2024-05-08,19
2024-05-09,56
2024-05-10,42
2024-05-11,27
2024-05-12,100
2024-05-13,70
2024-05-14,18
2024-05-15,19
2024-05-16,47
2024-05-17,38
2024-05-18,23
2024-05-19,63
2024-05-20,45
2024-05-21,12
2024-05-22,10
2024-05-23,15
2024-05-24,37
2024-05-25,13
2024-05-26,24
2024-05-27,55
2024-05-28,9
2024-05-29,3
2024-05-30,3
2024-05-31,2
2024-06-01,3
2024-06-02,3
2024-06-03,2
2024-06-04,2
2024-06-05,2
2024-06-06,2
2024-06-07,2
2024-06-08,2
2024-06-09,2
2024-06-10,1
2024-06-11,1
2024-06-12,1
2024-06-13,1
2024-06-14,1
2024-06-15,2
2024-06-16,2
2024-06-17,1
2024-06-18,1
2024-06-19,1
2024-06-20,1
2024-06-21,1
2024-06-22,2
2024-06-23,2
2024-06-24,2
2024-06-25,1
2024-06-26,1
2024-06-27,2
2024-06-28,1
2024-06-29,1
2024-06-30,3
2024-07-01,3
2024-07-02,2
2024-07-03,3
2024-07-04,3
2024-07-05,7
2024-07-06,25
2024-07-07,45
2024-07-08,14
2024-07-09,4
2024-07-10,3
2024-07-11,4
2024-07-12,8
2024-07-13,44
2024-07-14,29
2024-07-15,7
2024-07-16,10
2024-07-17,36
2024-07-18,35
2024-07-19,12
2024-07-20,32
2024-07-21,67
2024-07-22,20
2024-07-23,8
2024-07-24,14
2024-07-25,23
2024-07-26,6
2024-07-27,8
2024-07-28,8
2024-07-29,4
2024-07-30,3
2024-07-31,3
2024-08-01,3
2024-08-02,3
2024-08-03,4
2024-08-04,4
2024-08-05,3
2024-08-06,2
2024-08-07,2
2024-08-08,2
2024-08-09,2
2024-08-10,4
2024-08-11,4
2024-08-12,2
2024-08-13,3
2024-08-14,3
2024-08-15,2
2024-08-16,4
2024-08-17,11
2024-08-18,8
2024-08-19,8
2024-08-20,4
2024-08-21,3
2024-08-22,4
2024-08-23,7
2024-08-24,26
2024-08-25,44
2024-08-26,8
2024-08-27,5
2024-08-28,4
2024-08-29,4
2024-08-30,8
2024-08-31,27
2024-09-01,56
2024-09-02,20
2024-09-03,6
2024-09-04,4
2024-09-05,4
2024-09-06,4
2024-09-07,7
2024-09-08,5
2024-09-09,3
2024-09-10,3
2024-09-11,3
2024-09-12,3
2024-09-13,7
2024-09-14,33
2024-09-15,45
2024-09-16,8
